"L.p.","Nr pow","Powiat","Organizator","Nazwa wtz","Ulica","Miejscowość","Kod","Poczta","Data utworzenia wtz"
"148","80","międzyrzecki","Dom Pomocy Społecznej","Warsztat Terapii Zajęciowej","Podbielskiego 2","Międzyrzecz","66300","Międzyrzecz","10-02-99"
"149","81","nowosolski","Stowarzyszenie Dzieci i Młodzieży Niepełnosprawnej ""Pomóż nie będę sam""","Warsztat Terapii Zajęciowej","Wróblewskiego 9","Nowa Sól","67100","Nowa Sól","12-30-10"
"150","82","słubicki","Gmina Górzyca ","Warsztat Terapii Zajęciowej w Żabicach","Lipowa 12","Żabice","69113","Górzyca","12-30-09"
"151","83","strzelecko-drezdenecki","Gmina Strzelce Krajeńskie","Warsztat Terapii Zajęciowej","Słowackiego 14","Strzelce Krajeńskie","66500","Strzelce Krajeńskie","09-26-10"
"152","84","sulęciński","Stowarzyszenie ""Razem"" w Sulęcinie","Warsztat Terapii Zajęciowej","Lipowa 16c","Sulęcin","69200","Sulęcin","09-16-98"
"153","85","świebodziński","PPH ""POSTĘP"" Zakład Pracy Chronionej","Warsztat Terapii Zajęciowej przy ""Postęp"" S.A.","Strzelecka 1","Świebodzin","66200","Świebodzin","10-15-97"
"154","86","wschowski","Stowarzyszenie Na Rzecz Osób Niepełnosprawnych ""Nasz Ośrodek""","Warsztat Terapii Zajęciowej","Plac Kosynierów 1c","Wschowa","67400","Wschowa","06-18-00"
"155","88","żagański","Szprotawskie Stowarzyszenie Osób Niepełnosprawnych","Warsztat Terapii Zajęciowej","Jesionowa 3","Wiechlice","67300","Szprotawa","01-03-06"
"156","89","żarski","Miejski Ośrodek Pomocy Społecznej","Warsztat Terapii Zajęciowej","Bohaterów Getta 19","Żary","68200","Żary","12-26-09"
"157","89","żarski","Parafia Rzymsko - Katolicka pw. NNMP","Warsztat Terapii Zajęciowej","Emilii Plater 28","Lubsko","68300","Lubsko","11-11-04"
"158","90","Gorzów Wielkopolski","Stowarzyszenie Rodzin Katolickich Zarząd Główny Diecezji Zielonogórski-Gorzowskiej","Warsztat Terapii Zajęciowej","Czereśniowa 15","Gorzów Wielkopolski","66400","Gorzów Wielkopolski","12-31-02"
"159","90","Gorzów Wielkopolski","Fundacja ,,Złota Jesień""","Warsztat Terapii Zajęciowej","Walczaka 42","Gorzów Wielkopolski","66400","Gorzów Wielkopolski","11-10-03"
"160","91","Zielona Góra","Katolickie Stowarzyszenie na Rzecz Osób Niepełnosprawnych ""Tęcza""","Warsztat Terapii Zajęciowej ""PRZYSTAŃ""","Kościuszkowców 9","Zielona Góra","65249","Zielona Góra","10-31-05"
"161","91","Zielona Góra","Katolickie Stowarzyszenie na Rzecz Osób Niepełnosprawnych ""Tęcza""","Warsztat Terapii Zajęciowej ""WINNICA""","Os. Pomorskie 8","Zielona Góra","65548","Zielona Góra","01-03-97"
"162","91","Zielona Góra","Katolickie Stowarzyszenie na Rzecz Osób Niepełnosprawnych ""Tęcza"" w Zielonej Górze","Warsztat Terapii Zajęciowej ""TĘCZA""","Żołnierzy 2 Armii 30-40","Zielona Góra","65936","Zielona Góra","11-23-04"
"163","92","bełchatowski","Towarzystwo Przyjaciół Dzieci Oddział Powiatowy w Bełchatowie","Warsztat Terapii Zajęciowej","Targowa  20 A","Bełchatów","97400","Bełchatów","01-04-04"
"164","92","bełchatowski","Stowarzyszenie Pomocy Osobom Niepełnosprawnych 'Kuźnia Życzliwości""","Warsztat Terapii Zajęciowej w Dąbrowie Rusieckiej","","Dąbrowa Rusiecka 51","97438","Rusiec","12-22-21"
"165","93","brzeziński","Stowarzyszenie Rodziców i Opiekunów Dzieci Niepełnosprawnych ""Naszym Dzieciom""","Warsztat Terapii Zajęciowej  ""Blisko Ciebie""","Konstytucji 3 Maja 3/5","Brzeziny","95060","Brzeziny","12-29-09"
"166","94","kutnowski","Polskie Stowarzyszenie na Rzecz Osób z Upośledzeniem Umysłowym Koło w Żychlinie","Warsztat Terapii Zajęciowej","Dobrzelińska 6","Żychlin","99320","Żychlin","12-16-03"
"167","94","kutnowski","Polskie Stowarzyszenie na Rzecz Osób z Upośledzeniem Umysłowym Koło nr 1 w Kutnie ","Warsztat Terapii Zajęciowej","29-go Listopada 27","Kutno","99300","Kutno","04-02-00"
"168","95","łaski","Miejsko-Gminny Ośrodek Pomocy Społecznej w Łasku","Warsztat Terapii Zajęciowej ","Warszawska 14","Łask","98100","Łask","05-02-02"
"169","96","łęczycki","Spółdzielnia Inwalidów ""Tęcza""","Warsztat Terapii Zajęciowej ","Lotnicza","Łęczyca","99100","Łęczyca","10-28-97"
"170","97","łowicki","Caritas Diecezji Łowickiej","Warsztat Terapii Zajęciowej","","Urzecze 22","99440","Zduny","01-01-05"
"171","97","łowicki","Stowarzyszenie Osób Niepełnosprawnych ""Tacy Sami"" w Łowiczu ","Warsztat Terapii Zajęciowej","","Parma 37","99400","Łowicz","01-01-04"
"172","98","łódzki wschodni","ZPCH Discol obecnie Stowarzyszenie na Rzecz Osób Niepełnosprawnych Razem","Warsztat Terapii Zajęciowej","Pomorska 5","Koluszki","95040","Koluszki","01-18-00"
"173","99","opoczyński","Stowarzyszenie Rodziców i Opiekunów Osób Niepełnosprawnych","Warsztat Terapii Zajęciowej ","Kopernika 3","Opoczno","26300","Opoczno","11-08-05"
"174","99","opoczyński","Gmina i Miasto Drzewica","Warsztat Terapii Zajęciowej ","Braci Kobylańskich 26","Drzewica","26340","Drzewica","12-16-09"
"175","99","opoczyński","Gmina Żarnów","Warsztat Terapii Zajęciowej ","Przedborska 12","Żarnów","26330","Żarnów","12-25-16"
"176","100","pabianicki","Gmina Miejska Pabianice","Warsztat Terapii Zajęciowej","Jana Pawła II 68","Pabianice","95200","Pabianice","10-27-99"
"177","100","pabianicki","Stowarzyszenie ""Czuję sercem""","Warsztat Terapii Zajęciowej","8-go Marca 1","Konstantynów Łódzki","95050","Konstantynów Łódzki","11-26-96"
"178","102","piotrkowski","Stowarzyszenie Koło Pomocy Dzieciom Niepełnosprawnym","Warsztat Terapii Zajęciowej","Kubusia Puchatka","Sulejów","97330","Sulejów","11-02-11"
"179","103","poddębicki","Stowarzyszenie Gospodarczo - Edukacyjne","Warsztat Terapii Zajęciowej","","Wilkowice 8","99220","Wartkowice","03-02-04"
"180","104","radomszczański","Chrześcijańskie Stowarzyszenie Dobroczynne","Warsztat Terapii Zajęciowej","Kopiec 17","Radomsko","97500","Radomsko","12-02-07"
"181","105","rawski","Samorządowe  Stowarzyszenie Rozwoju Ziemi Rawskiej","Warsztat Terapii Zajęciowej","Miła","Rawa Mazowiecka","96200","Rawa Mazowiecka","12-28-10"
"182","106","sieradzki","Miejski Ośrodek Pomocy Społecznej","Warsztat Terapii Zajęciowej","Polna 18/20","Sieradz","98200","Sieradz","11-02-99"
"183","108","tomaszowski maz.","Fundacja Społeczna ""Razem"" w Tomaszowie Maz.","Warsztat Terapii Zajęciowej","Polna 56 a","Tomaszów Maz.","97200","Tomaszów Maz.","06-02-02"
"184","108","tomaszowski maz.","Stowarzyszenie Rodzin Dzieci i Osób Niepełnosprawnych w Tomaszowie Maz.","Warsztat Terapii Zajęciowej","Warszawska 95/97","Tomaszów Maz.","97200","Tomaszów Maz.","06-02-98"
"185","108","tomaszowski maz.","Stowarzyszenie Osób Niepełnosprawnych ""Pomocna Dłoń""","Warsztat Terapii Zajęciowej","","Popielawy 108","97221","Rokiciny","11-03-12"
"186","109","wieluński","Miejsko Gminny Ośrodek Pomocy Społecznej","Warsztat Terapii Zajęciowej","","Olewin","98300","Wieluń","03-21-00"
"187","110","wieruszowski","Towarzystwo Przyjaciół Dzieci Oddział Miejski w Wieruszowie","Warsztat Terapii Zajęciowej ","Sportowa 7 ","Wieruszów","98400","Wieruszów","11-03-99"
"188","111","zduńskowolski","Stowarzyszenie Tkalnia","Warsztat Terapii Zajęciowej ","Zielona 5","Zduńska Wola","98220","Zduńska Wola","04-08-97"
"189","112","zgierski","Polskie Stowarzyszenie na Rzecz Osób z Upośledzeniem Umysłowym Koło w Aleksandrowie Łódzkim","Warsztat Terapii Zajęciowej w Aleksandrowie Łódzkim","1-go Maja 43/47","Aleksandrów Łódzki","95070","Aleksandrów Łódzki","12-01-03"
"190","112","zgierski","Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Intelektualną Koło w Zgierzu","Warsztat Terapii Zajęciowej","Chełmska 42/42a","Zgierz","95100","Zgierz","11-02-99"
"191","112","zgierski","Fundacja Osób Społecznie Aktywnych F.O.S.A.","Warsztat Terapii Zajęciowej ","Rąbień AB 59","Rąbień","95070","Aleksandrów Łódzki","12-23-97"
"192","112","zgierski","Polskie Stowarzyszenie Ludzi Cierpiących na Padaczkę w Ozorkowie","Warsztat Terapii Zajęciowej ","Kościuszki 31","Ozorków","95035","Ozorków","10-02-10"
"193","113","Łódź"," Stowarzyszenie Przyjaciół Osób Niepełnosprawnych ""Nowa Zorza""","WTZ ""Nowa Zorza"" przy SPON ""Nowa Zorza""","Św. Jerzego 12 lok.29 U","Łódź","91072","Łódź","09-02-98"
"194","113","Łódź","Spółdzielnia Usług Techniczno-Handlowych i Wdrożeń ""ORPEL""","Warsztat Terapii Zajęciowej przy Społdzielni Usług Techniczno-Handlowych i Wdrożeń ""ORPEL""","Lodowa 101","Łódź","93232","Łódź","01-02-99"
"195","113","Łódź","Spółdzielcze Zakłady Chemiczne MORS","WTZ przy Spółdzielczych Zakładach Chemicznych MORS","Telefoniczna 28","Łódź","90950","Łódź","05-16-00"
"196","113","Łódź","Specjalny Ośrodek Szkolno-Wychowawczy nr 3 w Łodzi","Warsztat Terapii Zajeciowej przy Specjalnym Ośrodki Szkolno-Wychowawczym nr 3 w Łodzi","Tkacka 34/36","Łódź","90156","Łódź","10-02-97"
"197","113","Łódź","Polski Związek Głuchych Oddział Łódzki","WTZ przy Oddziale Łódzkim Polskiego Związku Głuchych","Nawrot 94/96","Łódź","90040","Łódź","01-02-04"
"198","113","Łódź","Stowarzyszenie na Rzecz Osób Niepełnosprawnych ""Pokój""","WTZ przy Stowarzyszeniu na Rzecz Osób Niepełnosprawnych ""Pokój""","Al. I Dywizji 16/18","Łódź","91836","Łódź","10-02-98"
"199","113","Łódź","Towarzystwo Przyjaciół Dzieci Oddział Dzielnicowy Łódź-Bałuty","WTZ przy TDP Lódź - Bałuty","Plantowa 7","Łódź","91149","Łódź","12-02-07"
"200","113","Łódź","Międzynarodowe Stowarzyszenie Pomocy ""Słyszę Serce""","WTZ przy Międzynarodowym Stowarzyszeniu Pomocy ""Słyszę Serce""","Skarbowa 28","Łódź","91473","Łódź","12-02-07"
"201","113","Łódź","Fundacja JIM","Warsztat Terapii Zajęciowej przy Fundacji JIM","Tatrzańska 105","Łodź","93279","Łódź","11-16-09"
"202","114","Piotrków Trybunalski","Stowarzyszenie Koło Pomocy Dzieciom Niepełnosprawnym","Warsztat Terapii Zajęciowej ","Rycerska 16","Piotrków Trybunalski","97300","Piotrków Trybunalski","10-02-99"
"203","115","Skierniewice","Stowarzyszenie Osób Niepełnosprawnych ""Sprawni Inaczej""","Warsztat Terapii Zajęciowej ","Nowobielańska 92B","Skierniewice","96100","Skierniewice","06-20-99"
"204","116","bocheński","Stowarzyszenie na rzecz Osób Specjalnej Troski ""Amicus Hominis""","Warsztat Terapii Zajęciowej w Proszówkach","","Proszówki","32700","Bochnia","12-02-99"
"205","116","bocheński","Katolickie Stowarzyszenie Przyjaciół Niepełnosprawnych ""Otwarte Serca"" w Łapanowie ","Warsztat Terapii Zajęciowej ","","Łapanów","32740","Łapanów","12-31-07"
"206","117","brzeski","Stowarzyszenie Osób Niepełnosprawnych, Opiekunów i Wolontariuszy ""OSTOJA""","Warsztat Terapii Zajęciowej","Przemysłowa","Brzesko","32800","Brzesko","02-02-05"
"207","117","brzeski","Stowarzyszenie na Rzecz Pomocy Potrzebującym i Zapobiegania Patologiom Społecznym ""Pomocna Dłoń""","Warsztat Terapii Zajęciowej","","Zawada Uszewska","32865","Uszew","12-02-08"
"208","118","chrzanowski","Fundacja im. Brata Alberta","Warsztat Terapii Zajęciowej ","Sokoła 8","Chrzanów","32500","Chrzanów","01-26-99"
"209","118","chrzanowski","Fundacja im. Brata Alberta","Warsztat Terapii Zajęciowej w Libiążu","Piłsudskiego 4","Libiąż","32590","Libiąż","07-19-99"
"210","118","chrzanowski","Fundacja im. Brata Alberta","Warsztat Terapii Zajęciowej ","Luzara 1","Trzebinia","32540","Trzebinia","12-16-03"
"211","119","dąbrowski","Stowarzyszenie Na Rzecz Osób Niepełnosprawnych ""Pomocna Dłoń"" w Dąbrowie Tarnowskiej","Warsztat Terapii Zajęciowej ","Kościuszki 34","Dąbrowa Tarnowska ","33200","Dąbrowa Tarnowska ","12-02-08"
"212","119","dąbrowski","Stowarzyszenie Pomocy Dziecku i Rodzinie ""Przyjazny Świat"" w Mędrzechowie","Warsztat Terapii Zajęciowej w Kupieninie","Mędrzechów 325","Mędrzechów","33221","Mędrzechów","01-02-23"
"213","120","gorlicki","Dom Rehabilitacyjno-Opiekuńczy ""CARITAS"" w Gorlicach","Warsztat Terapii Zajęciowej ","M.Konopnickiej 21","Gorlice","38300","Gorlice","01-02-05"
"214","120","gorlicki","Stowarzyszenie Na Rzecz Pomocy Rodzinie ""Nadzieja"" w Bieczu","Warsztat Terapii Zajęciowej ","Parkowa 1","Biecz","38340","Biecz","12-28-10"
"215","120","gorlicki","Gmina Gorlice","Warsztat Terapii Zajęciowej ","","Bielanka 25","38311","Szymbark","05-26-97"
"216","120","gorlicki","Stowarzyszenie Trzeźwościowe ""Wolność i Miłość"" Diecezji Rzeszowskiej","Warsztat Terapii Zajęciowej ","","Lipinki 8","38305","Lipinki","12-28-12"
"217","120","gorlicki","Stowarzyszenie Na Rzecz Osób Niepełnosprawnych ""Rodzina""","Warsztat Terapii Zajęciowej","Kard.S.Wyszyńskiego 18","Gorlice","38300","Gorlice","02-16-97"
"218","120","gorlicki","Prawosławny Ośrodek Miłosierdzia Diecezji Przemysko-Gorlickiej ""ELEOS"" w Gładyszowie","Warsztat Terapii Zajęciowej ","","Gładyszów 45","38315","Uście Gorlickie","12-21-17"
"219","121","krakowski","Fundacja im. Brata Alberta","Warsztat Terapii Zajęciowej w Radwanowicach","","Radwanowice 1","32064","Rudawa","03-16-97"
"220","121","krakowski","Bonifraterska Fundacja Dobroczynna ","Bonifraterska Fundacja Dobroczynna - Warsztat Terapii Zajęciowej","Bonifraterska 11","Konary","32031","Mogilany","12-20-03"
"221","121","krakowski","Fundacja Wspierania Rozwoju Społecznego ""Leonardo""","Warsztat Terapii Zajęciowej Fundacji ""Leonardo""","Langiewicza 8","Skała","32043","Skała","12-02-10"
"222","121","krakowski"," Chrześcijańskie Stowarzyszenie Osób Niepełnosprawnych, Ich Rodzin i Przyjaciół ""Ognisko""","Warsztat Terapii Zajęciowej w Pobiedniku Małym","","Pobiednik Mały 67","32125","Wawrzeńczyce","12-24-13"
"223","121","krakowski","Stowarzyszenie Pomocy Osobom Niepełnosprawnym i Ich Rodzinom ""Kruszynki""","Warsztat Terapii Zajęciowej w Rzozowie","","Rzozów 14","32052","Radziszów","12-18-22"
"224","122","limanowski","Stowarzyszenie Remedium","Warsztat Terapii Zajęciowej ","","Tymbark 158","34650","Tymbark","11-30-97"
"225","123","miechowski","Urząd Gminy w Książu Wielkim","Warsztat Terapii Zajęciowej ","","Rzędowice","32210","Książ Wielki","10-04-98"
"226","123","miechowski","Stowarzyszenie Pomocy Szansa w Witowicach ","Warsztat Terapii Zajęciowej ","","Podlesice","32250","Charsznica","12-02-07"
"227","123","miechowski","Polskie Stowarzyszenie na Rzecz Osób z Upośledzeniem Umysłowym, Koło w Miechowie ","Warsztat Terapii Zajęciowej ","Sienkiewicza","Miechów","32200","Miechów","03-02-98"
"228","124","myślenicki","Dom omocy Społecznej W Harbutowicach","Warsztat Terapii Zajęciowej ","","Harbutowice 1","32440","Sułkowice","10-18-99"
"229","125","nowosądecki","Gmina Grybów","Warsztat Terapii Zajęciowej ","","Siołkowa 31","33330","Grybów","10-20-99"
"230","125","nowosądecki","Stowarzyszenie ""KARPATIA""","Warsztat Terapii Zajęciowej ","Grunwaldzka 14","Grybów","33330","Grybów","11-01-00"
"231","125","nowosądecki","Fundacja Pomocy Osobom Niepełnosprawnym","Warsztat Terapii Zajęciowej ","","Stróże 735/B","33331","Stróże","01-01-06"
"232","125","nowosądecki","Stowarzyszenie Rodziców Przyjaciół Dzieci i Osób Niepełnosprawnych ""PROMYK""","Warsztat Terapii Zajęciowej ","","Gostwica 27","33386","Podegrodzie","11-29-07"
"233","125","nowosądecki","Stowarzyszenie ""Dolina Dunajca""","Warsztat Terapii Zajęciowej ","Czarny Potok","Czarny Potok","33390","Łącko","11-29-08"
"234","125","nowosądecki","Gmina Korzenna","Warsztat Terapii Zajęciowej ","","Korzenna 248","33322","Korzenna","12-03-09"
"235","126","nowotarski","Polskie Stowarzyszenie na Rzecz Osób z Niepłnosprawnością Intelektualną Koło w Szczawnicy","Warsztat Terapii Zajęciowej ""Perła"" w Szczawnicy","Park Dolny 6","Szczawnica","34460","Szczawnica","12-02-08"
"236","126","nowotarski","Caritas Archidiecezji Krakowskiej","Warsztat Terapii Zajęciowej w Odrowążu","","Odrowąż 33","34408","Odrowąż","01-01-06"
"237","127","olkuski","Stowarzyszenie Otwartych Serc Aktywnych Kobiet (SOS)","Warsztat Terapii Zajęciowej ","Gęsia 25","Olkusz","32300","Olkusz","12-03-06"
"238","127","olkuski","Chrześcijańskie Stowarzyszenie Dobroczynne w Kluczach","Warsztat Terapii Zajęciowej ","Bolesławska 23","Klucze","32310","Klucze","12-03-06"
"239","127","olkuski","Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Intelektualną","Warsztat Terapii Zajęciowej ","Skalska 22","Lgota Wolbromska","32340","Wolbrom","12-03-06"
"240","128","oświęcimski","Fundacja im. Brata Alberta","Warsztat Terapii Zajęciowej","Przemysłowa 2","Chełmek","32660","Chełmek","12-15-03"
"241","129","proszowicki","Dom Pomocy Społecznej im. A.Chmielewskiego","Warsztat Terapii Zajęciowej","","Łyszkowice 64","32104","Koniusza","12-16-03"
"242","130","suski","Gmina Stryszawa","Warsztat Terapii Zajęciowej w Kukowie","","Kuków 157","34206","Kuków","10-29-07"
"243","130","suski","Caritas Archidiecezji Krakowskiej","Warsztat Terapii Zajęciowej w Zembrzycach","","Zembrzyce 1","34210","Zembrzyce","12-15-08"
"244","130","suski","Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Intelektualną Koło w Zawoi","Warsztat Terapii Zajęciowej w Juszczynie","","Juszczyn 542 b","34231","Juszczyn","12-15-19"
"245","131","tarnowski","Stowarzyszenie Kulturalno-Oświatowe ""PIAST"" im. W. Witosa","Warsztat Terapii Zajęciowej","","Wola Rzędzińska 297a","33150","Wola Rzędzińska","02-02-03"
"246","131","tarnowski","Stowarzyszenie Pomocy Osobom Niepełnosprawnym ""Przyjaźń"" ","Warsztat Terapii Zajęciowej","","Karwodrza 116","33170","Tuchów","12-31-17"
"247","131","tarnowski","Stowarzyszenie Przyjaciół Domu Pomocy Społecznej w Stróżach","Warsztat Terapii Zajęciowej","","Dzierżaniny 72","32840","Zakliczyn","12-31-19"
"248","132","tatrzański","Polskie Stowarzyszenie na Rzecz Osób z Upośledzeniem Umysłowym Koło w Zakopanem","Warsztat Terapii Zajęciowej ","Kamieniec 32 d","Zakopane","34500","Zakopane","12-03-96"
"249","133","wadowicki","Caritas Archidiecezji Krakowskiej","Warsztat Terapii Zajęciowej ","Górki 28A","Spytkowice","34116","Spytkowice","12-30-18"
"250","133","wadowicki","Dom Pomocy Społecznej OO Bonifratrów w Zebrzydowicach","Warsztat Terapii Zajęciowej ","","Zebrzydowice 1","34130","Kalwaria Zebrzydowska","09-02-97"
"251","134","wielicki","Fundacja Osób Niepełnosprawnych ","Warsztat Terapii Zajęciowej ","","Podolany 74","32420","Gdów","03-02-05"
"252","134","wielicki","Fundacja L'ARCHE","Warsztat Terapii Zajęciowej ","","Śledziejowice  336","32320","Wieliczka ","06-12-97"
"253","135","Kraków","Stowarzyszenie Pomocy Socjalnej ""Gaudium et Spes""os. Szkolne 35","Warsztat Terapii Zajęciowej ","Królowej Jadwigi 81","Kraków","30209","Kraków","11-29-99"
"254","135","Kraków","Stowarzyszenie Pomocy Socjalnej ""Gaudium et Spes""os. Szkolne 35","Warsztat Terapii Zajęciowej ","os.Górali 19","Kraków","31961","Kraków","11-14-02"
"255","135","Kraków","Szpital Specjalistyczny im. dr J.Babińskiego","Warsztat Terapii Zajęciowej ","Babińskiego 29","Kraków","30393","Kraków","09-22-99"
"256","135","Kraków","Dom Pomocy Społecznej","Warsztat Terapii Zajęciowej ","Łanowa 43","Kraków","30725","Kraków","10-25-98"
"257","135","Kraków","Stowarzyszenie na Rzecz Rozwoju Psychiatrii i Opieki Środowiskowej","Warsztat Terapii Zajęciowej ","Miodowa 9","Kraków","31055","Krakow","09-30-97"
"258","135","Kraków","Fundacja im. Brata Alberta","Warsztat Terapii Zajęciowej ","os.Dywizjonu 303 nr 65","Kraków","31875","Kraków","12-18-00"
"259","135","Kraków","Towarzystwo Przyjaciół Dzieci Oddział Nowa Huta","Warsztat Terapii Zajęciowej ","os.Wandy 18","Kraków","31906","Kraków","12-21-98"
"260","135","Kraków","Towarzystwo Przyjaciół Dzieci Oddział Kraków Nowa Huta","Warsztat Terapii Zajęciowej ","Truskawkowa 4","Kraków","31985","Kraków","09-10-07"
"261","135","Kraków","Chrześcijańskie Stowarzyszenie Osób Niepełnosprawnych, Ich Rodzin i Przyjaciół ""Ognisko""","Warsztat Terapii Zajęciowej ","Basztowa 3","Kraków","30002","Kraków","10-23-08"
"262","135","Kraków","Duszpasterskie Stowarzyszenie Osób z Upośledzeniem Umysłowym","Warsztat Terapii Zajęciowej ","os. Centrum C 7","Kraków","31930","Kraków","11-23-03"
"263","135","Kraków","Katolickie Stowarzyszenie osób Niepełnosprawnych i Ich Przyjaciół ""Klika""","Warsztat Terapii Zajęciowej ","ul. Fatimska 41 a, b i Estery 3","Kraków","31828","Kraków","06-06-12"
"264","135","Kraków","Stowarzyszenie ""Dobrej Nadziei""","Warsztat Terapii Zajęciowej ","Za Torem 22","Kraków","30542","Kraków","03-04-09"
"265","135","Kraków","Stowarzyszenie Integracji oraz Aktywizacji Zawodowej i Społecznej Osób Niepelnosprawnych""EMAUS""","Warsztat Terapii Zajęciowej ","Rondo Mogilskie 1","Kraków","31516","Kraków","03-04-97"
"266","135","Kraków","Dom Pomocy Społecznej ul.Łanowa 41","Warsztat Terapii Zajęciowej ","Cechowa 142","Kraków","30685","Kraków","12-31-19"
"267","136","Nowy Sącz","Stowarzyszenie Rodziców i Przyjaciół Dzieci Niepełnosprawnych Ruchowo i Umysłowo ""Nadzieja""","Warsztat Terapii Zajęciowej ","Fraislera 10","Nowy Sącz","33300","Nowy Sącz","07-02-98"
"268","136","Nowy Sącz","Fundacja Pomocy Osobom z Autyzmem MADA","Warsztat Terapii Zajęciowej ","Tarnowska 109","Nowy Sącz","33300","Nowy Sącz","12-02-10"
"269","137","Tarnów","Fundacja Rozwoju Edukacji, Pracy, Integracji","Warsztat Terapii Zajęciowej im. Jana Pawła II","Hodowlana 6","Tarnów","33100","Tarnów","10-11-10"
"270","137","Tarnów","Polskie Stowarzyszenie na rzecz Osób z Niepełnosprawnością Intelektualną - Koło w Tarnowie","Warsztat Terapii Zajęciowej","Ostrogskich 5B","Tarnów","33100","Tarnów","12-02-03"
"271","137","Tarnów","Specjalny Ośrodek Szkolno-Wychowawczy","Warsztat Terapii Zajęciowej","Klikowska 190","Tarnów","33100","Tarnów","04-25-99"
"272","138","białobrzeski","Stowarzyszenie ""Rodzina Policyjna""","Warsztat Terapii Zajęciowej  ""OLSZYNKA""","","Białobrzegi","26800","Białobrzegi","02-15-09"
"273","139","ciechanowski","MUSI NOVUM sp. z o.o. ","Warsztat Terapii Zajęciowej","Pułtuska 20a","Ciechanów","06400","Ciechanów","07-02-98"
"274","140","garwoliński","Zarząd Oddziału Województwa Mazowieckiego Towarzystwa Przyjaciół Dzieci ","Warsztat Terapii Zajęciowej ","Główna 49","Miętne","08400","Garwolin ","03-02-04"
"275","140","garwoliński","Katolickie Stowarzyszenie Niepełnosprawnych Diecezji Siedleckiej ","Warsztat Terapii Zajęciowej","Letnisko 9","Żelechów","08430","Żelechów ","12-16-07"
"276","141","gostyniński","Rzymskokatolicka Parafia pw. św. Marcina w Gostyninie","Warsztat Terapii Zajęciowej","Ozdowskiego 1a","Gostynin","09500","Gostynin","06-02-04"
"277","142","grodziski maz.","Stowarzyszenie na Rzecz Osób Niepełnosprawnych ""Malwa Plus""","Warsztat Terapii Zajęciowej","Traugutta 40","Grodzisk Mazowiecki","05825","Grodzisk Mazowiecki","09-02-98"
"278","142","grodziski maz.","Dom Rehabilitacyjno-Opiekuńczy KSNAW","Warsztat Terapii Zajęciowej","Piasta 30","Milanówek","05825","Milanówek","01-23-06"
"279","143","grójecki","Parafia Miłosierdzia Bożego w Grójcu","Warsztat Terapii Zajęciowej","Jana Pawła II 24","Grójec","05600","Grójec","09-27-07"
"280","143","grójecki","Stowarzyszenie Na Rzecz Dzieci i Osób Niepełnosprawnych ""Tęcza"" ","Warsztat Terapii Zajęciowej","Grójecka","Warka","05660","Warka","09-21-09"
"281","144","kozienicki","Miejsko Gminny Ośrodek Pomocy Społecznej w Kozienicach","Warsztat Terapii Zajęciowej","","Przewóz 2a","26900","Kozienice","09-19-00"
"282","145","legionowski","Ośrodek Pomocy Społecznej","Warsztat Terapii Zajęciowej","Zwycięstwa","Legionowo","05120","Legionowo","11-02-00"
"283","145","legionowski","Legionowskie Stowarzyszenie ""AMICUS""","Warsztat Terapii Zajęciowej","Orląt Lwowskich 8","Legionowo","05119","Legionowo","12-29-19"
"284","146","lipski","Stowarzyszenie Pomocna Dłoń im. Św. Brata Alberta ","Warsztat Terapii Zajęciowej","Zwoleńska 14","Lipsko","27300","Lipsko","12-17-07"
"285","146","lipski","Stowarzyszenie Pomocna Dłoń im. Św. Brata Alberta ","Warsztat Terapii Zajęciowej","Szkolna 41","Sienno","27350","Sienno","02-02-05"
"286","149","miński","CARITAS Diecezji Warszawsko-Praskiej","Warsztat Terapii Zajęciowej","Wyszyńskiego 58","Mińsk Mazowiecki","05300","Mińsk Mazowiecki","12-10-02"
"287","149","miński","Fundacja LEKO","Warsztat Terapii Zajęciowej","Południowa 8","Okuniew","05079","Okuniew","03-29-00"
"288","151","nowodworski maz.","Mazowiecki Oddział Wojewódzki Towarzystwa Przyjaciół Dzieci","Warsztat Terapii Zajęciowej","Bohaterów Modlina 77A","Nowy Dwór Mazowiecki","05100","Nowy Dwór Mazowiecki","10-13-08"
"289","151","nowodworski maz.","Fundacja Pomocy Dzieciom ""A kuku""","Warsztat Terapii Zajęciowej ""W sercu kampinosu""","","Górki 67","05155","Leoncin","01-01-24"
"290","152","ostrołęcki","Polski Czerwony Krzyż","Warsztat Terapii Zajęciowej""Otwarte Serca""","Celna 11A","Ostrołęka","07410","Ostrołęka","01-02-18"
"291","153","ostrowski maz.","Stowarzyszenie Pomocy Szansa","Warsztaty Terapi Zajęciowej nr 4","Słoneczna 4","Stare Lubiejewo","07300","Ostrów Mazowiecka","12-29-20"
"292","154","otwocki","Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Intelektualną","Warsztat Terapii Zajęciowej","Moniuszki","Otwock","05400","Otwock","10-02-97"
"293","154","otwocki","Stowarzyszenie Na Rzecz Osób z Niepełnosprawnościami ""Po-Godne Życie""","Warsztat Terapii Zajęciowej","Słoneczna 15","Józefów","05410","Józefów","06-30-98"
