L.p.;NAZWA URZĘDU;WOJEWÓDZTWO;POWIAT;MIEJSCOWOŚĆ;ULICA;NR DOMU;KOD POCZTOWY;NR TELEFONU wraz z nr kierunkowym;NR TELEFONU 2 wraz z nr kierunkowym;NR FAXU        wraz z nr kierunkowym;NR FAXU 2       wraz z nr kierunkowym;ADRES E-MAIL URZĘDU;ADRES 2 E-MAIL URZĘDU;ADRES WWW URZĘDU;SZEROKOŚĆ GEOGRAFICZNA;DŁUGOŚĆ GEOGRAFICZNA
417.;Powiatowy Inspektor Nadzoru Budowlanego w Świebodzinie;lubuskie;świebodziński;Świebodzin;Wałowa;3;66-200;684 754 691;684 754 690;;;sekretariat@swiebodzin.pinb.gov.pl;;www.bip.wrota.lubuskie.pl/pinbswiebodzin;52.2489;15.531
418.;Powiatowy Inspektor Nadzoru Budowlanego w Żarach;lubuskie;żarski;Żary;Zwycięzców;3;68-200;683 634 416;683 634 416;683 634 415;;sekretariat@zary.pinb.gov.pl;;www.powiatzary.pl/d_pinb/pinb;51.6343;15.1276
419.;Powiatowy Inspektor Nadzoru Budowlanego w Żaganiu;lubuskie;żagański;Żagań;Rybacka;38;68-100;684 787 496;;684 787 496;;sekretariat@zagan.pinb.gov.pl;;www.bip.wrota.lubuskie.pl/pinbzagan/;51.6124;15.3213
420.;Powiatowy Inspektor Nadzoru Budowlanego w Nowej Soli;lubuskie;nowosolski;Nowa Sól;Kossaka;24;67-100;684 583 855;;684 583 857;;sekretariat@nowasol.pinb.gov.pl;;www.pinb.powiat-nowosolski.pl;51.8017;15.7006
421.;Powiatowy Inspektor Nadzoru Budowlanego w Krośnie Odrzańskim;lubuskie;krosnieński;Krosno Odrz.;Piastów;10B;66-600;683 830 251;;683 835 209;;sekretariat@krosnoodrzanskie.pinb.gov.pl;;www.bip.pinbko.lo.pl;52.056;15.1056
422.;Powiatowy Inspektor Nadzoru Budowlanego we Wschowie;lubuskie;wschowski;Wschowa;Plac Kosynierów;1c;67-400;655 402 110;;655 402 110;;sekretariat@wschowa.pinb.gov.pl;;http://pinb.pl/prezentacje/lubuskie/wschowa/;52.737;16.3263
423.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Drezdenku;lubuskie;strzelecko-drezdenecki;Drezdenko;Chrobrego;11;66-530;957 620 520;;957 620 899;;pssedrezdenko@wsse.gorzow.pl;;https://www.gov.pl/web/psse-drezdenko;52.8393;15.8359
424.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Gorzowie Wlkp.;lubuskie;gorzowski;Gorzów Wlkp.;Kosynierów Gdyńskich ;27;66-400;957 228 986;;957 206 447;;pssegorzow@wsse.gorzow.pl;;https://www.gov.pl/web/psse-gorzow-wielkopolski;52.7368;15.2291
425.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Krośnie Odrzańskim;lubuskie;krosnieński;Krosno Odrz.;Nadodrzańska;24;66-600;683 835 370;;683 835 370;;pssekrosno@wsse.gorzow.pl;;https://www.gov.pl/web/psse-krosno-odrzanskie;52.0518;15.0885
426.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Międzyrzeczu;lubuskie;międzyrzecki;Międzyrzecz;Osiedle Centrum;16;66-300;957 412 227;;957 412 787;;pssemiedzyrzecz@wsse.gorzow.pl;;https://www.gov.pl/web/psse-miedzyrzecz;52.4429;15.5812
427.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Nowej Soli;lubuskie;nowosolski;Nowa Sól;Wojska Polskiego;11;67-100;683 872 461;;683 874 738;;pssenowasol@wsse.gorzow.pl;;https://www.gov.pl/web/psse-nowa-sol;51.8027;15.7149
428.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Słubicach;lubuskie;słubicki;Słubice;Mickiewicza ;6;69-100;957 582 003;;957 582 004;;psseslubice@wsse.gorzow.pl;;https://www.gov.pl/web/psse-slubice;52.3499;14.5575
429.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Sulęcinie;lubuskie;sulęciński;Sulęcin;Lipowa ;14 b;69-200;957 553 421;;957 553 421;;pssesulecin@wsse.gorzow.pl;;https://www.gov.pl/web/psse-sulecin;52.4496;15.1169
430.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Świebodzinie;lubuskie;świebodziński;Świebodzin; 30 Stycznia;5;66-200;683 820 747;;683 822 321;;psseswiebodzin@wsse.gorzow.pl;;https://www.gov.pl/web/psse-swiebodzin;52.2492;15.5319
431.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Zielonej Górze;lubuskie;zielonogórski;Zielona Góra;Jasna;10;65-470;683 254 671;;683 514 796;;pssezielonagora@wsse.gorzow .pl;;https://www.gov.pl/web/psse-zielona-gora;51.9299;15.5029
432.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Żaganiu;lubuskie;żagański;Żagań;Szprotawska ;45a;68-100;684 776 600;;684 776 600;;pssezagan@wsse.gorzow.pl;;https://www.gov.pl/web/psse-zagan;51.6124;15.3306
433.;Powiatowa Stacja Sanitarno-Epidemiologiczna w Żarach;lubuskie;żarski;Żary;Podchorążych ;23A ;68-200;684 706 258;;684 706 259;;pssezary@wsse.gorzow.pl;;https://www.gov.pl/web/psse-zary;51.6401;15.1359
434.;Powiatowy Inspektorat Weterynarii w Zielonej Górze;lubuskie;zielonogórski;Zielona Góra;Browarna ;4;65 - 849;684 537 324;;684 537 324;;zielonagora.piw@wet.zgora.pl;;http://www.piw-zielonagora.4bip.pl;51.925;15.5108
435.;Powiatowy Inspektorat Weterynarii w Gorzowie Wlkp.;lubuskie;gorzowski;Gorzów Wlkp.;Żwirowa;9;66-400;957 202 072;;957 202 072;;gorzowwlkp.piw@wet.zgora.pl;;http://piw.gorzow.com/;52.7509;15.2168
436.;Powiatowy Inspektorat Weterynarii w Krośnie Odrzańskim;lubuskie;krosnieński;Krosno Odrz.;Chopina ;1;66-600;683 835 173;;683 834 205;;krosnoodrz.piw@wet.zgora.pl;;http://www.bip-piwkrosnoodrz.pl/;52.0584;15.0854
437.;Powiatowy Inspektorat Weterynarii w Międzyrzeczu;lubuskie;międzyrzecki;Międzyrzecz;Zakaszewskiego ;2;66-300;957 412 238;;957 412 238;;miedzyrzecz.piw@wet.zgora.pl;;http://bip.piw.powiat-miedzyrzecki.pl/;52.454;15.5741
438.;Powiatowy Inspektorat Weterynarii w Nowej Soli;lubuskie;nowosolski;Nowa Sól;Kossaka ;24;67-100;684 583 858;;684 583 859;;nowasol.piw@wet.zgora.pl;;http://www.piwnowasol.pl;51.8017;15.7006
439.;Powiatowy Inspektorat Weterynarii w Słubicach z siedzibą  w Ośnie Lubuskim;lubuskie;słubicki;Ośno Lubuskie;3 Maja ;34;69-220;957 576 056;;957 576 056;;slubice.piw@wet.zgora.pl;;http://bip.piwslubice.e-line.pl/;52.4572;14.8784
440.;Powiatowy Inspektorat Weterynarii w Strzelcach Krajeńskich;lubuskie;strzelecko-drezdenecki;Strzelce Kraj.;ks. St. Wyszyńskiego ;7;66-500;957 631 058;;957 631 058;;strzelcekraj.piw@wet.zgora.pl;;http://www.piwstrzelce.pl/;52.8736;15.5364
441.;Powiatowy Inspektorat Weterynarii w Sulęcinie;lubuskie;sulęciński;Sulęcin;Lipowa ;27;69-200;957 550 040;;957 559 294;;sulecin.piw@wet.zgora.pl;;http://www.piw-sulecin.4bip.pl;52.4528;15.1171
442.;Powiatowy Inspektorat Weterynarii w Świebodzinie;lubuskie;świebodziński;Świebodzin;Zachodnia;58;66-200;683 822 554;;683 823 875;;swiebodzin.piw@wet.zgora.pl;;http://piw.swiebodzin.pl;52.2519;15.5178
443.;Powiatowy Inspektorat Weterynarii w Żaganiu;lubuskie;żagański;Żagań;Szprotawska ;30 b;68-100;683 671 099;;683 671 099;;zagan.piw@wet.zgora.pl;;http://www.bip.piw.zagan.pl/;51.6124;15.3285
444.;Powiatowy Inspektorat Weterynarii w Żarach z siedzibą w Lubsku;lubuskie;żarski;Lubsko; Wrocławska;54;68-300;683 720 446;;683 720 446;;zary.piw@wet.zgora.pl;;http://www.piw-zary.4bip.pl;51.7817;14.9779
445.;Powiatowy Inspektorat Weterynarii we Wschowie z siedzibą w Sławie;lubuskie;wschowski;Sława;Ogrodowa ;1;67-410;683 565 105;;683 566 345;;wschowa.piw@wet.zgora.pl;;http://www.bip.piwwschowa.pl/;51.6124;16.0684
446.;Łódzki Urząd Wojewódzki w Łodzi;łódzkie;;Łódź;Piotrkowska;104;90-926;042-664-1000;042-664-10-01;042-664-1130;;kancelaria@lodz.uw.gov.pl;;https://www.gov.pl/web/uw-lodzki;51.7646;19.4575
447.;Komenda Wojewódzka Państwowej Straży Pożarnej w Łodzi;łódzkie;;Łódź;Wólczańska;111/113;90-521;042-631-5103;042-631-5104;042-631-5108;042-631-5208;sekretariat@straz.lodz.pl;kancelaria@straz.lodz.pl;www.gov.pl/web/kwpsp-lodz;51.7606;19.4532
448.;Komenda Wojewódzka Policji w Łodzi;łódzkie;;Łódź;Lutomierska;108/112;91-048;47 841-22-56;47 841-22-00;47 841-17-33;47 841-17-80;dyzurny@ld.policja.gov.pl;komendant@ld.policja.gov.pl;www.lodzka.policja.gov.pl,;51.7843;19.4395
449.;Kuratorium Oświaty w Łodzi;łódzkie;;Łódź;Kościuszki;120a;90-446;042-637-7055;;042636-0385;;kolodz@kuratorium.lodz.pl;;www.kuratorium.lodz.pl;51.7566;19.4581
450.;Kuratorium Oświaty - Delegatura w Piotrkowie Trybunalskim;łódzkie;;Piotrków Trybunalski;Sienkiewicza;16a;97-300;044-649-7741;;044-647-0188;;delegatura-pt@kuratorium.lodz.pl;;www.kuratorium.lodz.pl;51.4081;19.6889
451.;Kuratorium Oświaty - Delegatura w Sieradzu;łódzkie;;Sieradz;Pl. Wojewódzki;3;98-200;043-827-1947;043-822-79-27;043-822-5295;;delegatura-si@kuratorium.lodz.pl;;www.kuratorium.lodz.pl;51.5937;18.7323
452.;Kuratorium Oświaty - Delegatura w Skierniewicach;łódzkie;;Skierniewice;Jagiellońska;29;96-100;046-834-1609;046-833-44-62;046-833-4561;;delegatura-sk@kuratorium.lodz.pl;;www.kuratorium.lodz.pl;51.9599;20.1449
453.;Wojewódzki Inspektorat Farmaceutyczny w Łodzi;łódzkie;;Łódź;Fabryczna;25;90-341;042-630-2171;042-630-2179;042-630-2514;;sekretariat@lwif.pl;kancelaria@lwif.pl;www.lwif.pl;51.7575;19.4823
454.;Wojewódzki Inspektorat Ochrony Roślin i Nasiennictwa w Łodzi;łódzkie;;Łódź;Siewna;13A;94-250;042-611-6660;042-633-99-72;042-633-8389;;wi-lodz@piorin.gov.pl;;www.piorin.gov.pl/lodz;51.7829;19.4036
455.;Wojewódzki Inspektorat Nadzoru Budowlanego w Łodzi;łódzkie;;Łódź;Traugutta;25;90-113;042-637-4733;;042-639-9879;;winb@lodz.uw.gov.pl;;http://bip.lodz.winb.gov.pl/;51.7691;19.4605
456.;Wojewódzka Inspekcja Geodezyjna i Kartograficzna w Łodzi;łódzkie;;Łódź;Tuwima;28;90-002;042-664-1866;042-664-18-68;042-664-1867;;lwingik@lodz.uw.gov.pl;;www.lodzkie.eu;51.7666;19.4633
457.;Wojewódzki Inspektorat Ochrony Środowiska w Łodzi;łódzkie;;Łódź;Lipowa;16;90-743;042-633-33-43;;042-633-33-33;;sekretariat@wios.lodz.pl;;www.wios.lodz.pl;51.7704;19.4442
458.;Wojewódzki Inspektorat Inspekcji Handlowej w Łodzi;łódzkie;;Łódź;Gdańska;38;90-730;42 636 03 57;42 632 25 51;42 636 85 50;42 632 97 16;sekretariat@wiih.lodz.pl;ba@wiih.lodz.pl;www.wiih.lodz.pl;51.7757;19.4715
459.;Wojewódzki Inspektorat Jakości Handlowej Artykułów Rolno-Spożywczych w Łodzi;łódzkie;;Łódź;Rewolucji 1905 r.;59;90-216;42-636-62-40;;42-636-62-40;;wi_lodz@ijhar-s.gov.pl;;www.wijhars.bip.lodz.pl;51.7718;19.4487
460.;Wojewódzki Inspektorat Weterynarii w Łodzi;łódzkie;;Łódź;Proletariacka;02.cze;93-569;042-635-1401;042-635-1400;042-630-1668;;lodz.wiw@wetgiw.gov.pl;lodz.wiw@wiw-lodz.pl;www.wiw.bip.lodz.pl;51.7484;19.4418
461.;Wojewódzki Urząd Ochrony Zabytków w Łodzi;łódzkie;"Łódź - miasto na prawach powiatu, Skierniewice - miasto na prawach powiatu;, powiaty: brzeziński, kutnowski, łęczycki, łowicki, pabianicki, rawski, skierniewicki, zgierski";Łódź;Piotrkowska;99;90-425;42 631 78 92;42 635 80 00;42 630 17 83;;sekretariat@wuoz-lodz.pl;;http://www.wuoz-lodz.pl/bip/;51.7651;19.4571
462.;Wojewódzki Inspektorat Transportu Drogowego w Łodzi;łódzkie;;Łódź;Łagiewnicka;54/56;91-463;42 639 80 68;042-639-80-69;42 639 81 02;;sekretariat@witd.lodz.pl;;www.witd.lodz.pl;51.7944;19.4525
463.;Wojewódzka Stacja Sanitarno - Epidemiologiczna w Łodzi;łódzkie;;Łódź;Wodna;40;90-046;42 253-62-10;42 253-62-00;42 253-62-19;;wsselodz@pis.lodz.pl;sekretariat@pis.lodz.pl;www.gov.pl/web/wsse-lodz;51.7616;19. 4768
464.;Komenda Miejska PSP w Łodzi;łódzkie;;Łódź;Zgierska;47;91-446;042-616-3000;;042-616-3063;;kmpsp07@straz.lodz.pl;;www.gov.pl/kmpsp-lodz;51.7892;19.4509
465.;Komenda Miejska PSP w Piotrkowie Trybunalskim;łódzkie;piotrkowski;Piotrków Trybunalski;Jagiellońska;11;97-300;044 647 39 19;44 647-44-90;044-647-3488;;kmpsp12@straz.lodz.pl;;www.gov.pl/kmpsp-piotrkow-trybunalski;51.4035;19.6942
466.;Komenda Miejska PSP w Skierniewicach;łódzkie;skierniewicki;Skierniewice;Aleja Macieja Rataja;4;96-100;46 833 36 11;;046-832-5762;;kmpsp17@straz.lodz.pl;;www.gov.pl/kmpsp-skierniewice;51.9551;20.1589
467.;Komenda Powiatowa PSP w Bełchatowie;łódzkie;bełchatowski;Bełchatów;Wspólna;7;97-400;044-633-8200;;044-633-8210;;kppsp01@straz.lodz.pl;;www.gov.pl/kppsp-belchatow;51.3685;19.4019
468.;Komenda Powiatowa PSP w Brzezinach;łódzkie;brzeziński;Brzeziny;Ludwika Waryńskiego;55;95-060;046-875-2736;;046-875-2736;;kppsp02@straz.lodz.pl;;www.gov.pl/kppsp-brzeziny;51.8195;19.7499
469.;Komenda Powiatowa PSP w Kutnie;łódzkie;kutnowski;Kutno;1-go Maja;7;99-300;024-251-0060;;024-251-0075;;kppsp03@straz.lodz.pl;;www.gov.pl/kppsp-kutno;52.2322;19.353
470.;Komenda Powiatowa PSP w Łasku;łódzkie;łaski;Łask;Strażacka;2;98-100;043-675-2326;;043-675-5641;;kppsp04@straz.lodz.pl;;www.gov.pl/kppsp-lask;51.5941;19.1314
471.;Komenda Powiatowa PSP w Łęczycy;łódzkie;łęczycki;Łęczyca;Lotnicza;21E;99-100;024-721-2632;;024-721-2632;;kppsp05@straz.lodz.pl;;www.gov.pl/kppsp-leczyca;52.0444;19.183
472.;Komenda Powiatowa PSP w Łowiczu;łódzkie;łowicki;Łowicz;Seminaryjna;4;99-400;046-830-2550;;046-830-2569;;kppsp06@straz.lodz.pl;;www.gov.pl/kppsp-lowicz;52.1164;19.9415
473.;Komenda Powiatowa PSP powiatu łódzkiego wschodniego z siedzibą w Koluszkach;łódzkie;łódzki wschodni;Koluszki;Słowackiego;28;95-040;044-725-6900;;044-714-0619;;kppsp08@straz.lodz.pl;;www.gov.pl/kppsp-koluszki;51.745;19.8029
474.;Komenda Powiatowa PSP w Opocznie;łódzkie;opoczyński;Opoczno;Rolna;1;26-300;044-645-3200;;044-645-3208;;kppsp09@straz.lodz.pl;;www.gov.pl/kppsp-opoczno;51.3916;20.2867
475.;Komenda Powiatowa PSP w Pabianicach;łódzkie;pabianicki;Pabianice;Kilińskiego;4;95-200;042-225-4300;042 -22-54-327;042-225-4326;;kppsp10@straz.lodz.pl;;www.gov.pl/kppsp-pabianice;51.6633;19.3553
476.;Komenda Powiatowa PSP w Pajęcznie;łódzkie;pajęczański;Pajęczno;Cmentarna;1;98-330;034-311-4204;;034-311-4218;;kppsp11@straz.lodz.pl;;www.gov.pl/kppsp-pajeczno;51.1476;19.0034
477.;Komenda Powiatowa PSP w Poddębicach;łódzkie;poddębicki;Poddębice;Narutowicza;3;99-200;043-678-7500;;043-678-7504;;kppsp13@straz.lodz.pl;;www.gov.pl/kppsp-poddebice;51.8924;18.9535
478.;Komenda Powiatowa PSP w Radomsku;łódzkie;radomszczański;Radomsko;Żeromskiego;19;97-500;044-685-9400;;044-685-9410;;kppsp14@straz.lodz.pl;;www.gov.pl/kppsp-radomsko;51.0651;19.444
479.;Komenda Powiatowa PSP w Rawie Mazowieckiej;łódzkie;rawski;Rawa Mazowiecka;Przemysłowa;2A;96-200;046-814-4027;46-814-26-11;046-814-4028;;kppsp15@straz.lodz.pl;;www.gov.pl/kppsp-rawa-mazowiecka;51.755;20.2474
480.;Komenda Powiatowa PSP w Sieradzu;łódzkie;sieradzki;Sieradz;T. Grzesika, R. Piwnika;1;98-200;043-828-1063;;043-828-1064;;kppsp16@straz.lodz.pl;;www.gov.pl/kppsp-sieradz;51.5781;18.6897
481.;Komenda Powiatowa PSP w Tomaszowie Mazowieckim;łódzkie;tomaszowski;Tomaszów Mazowiecki;Warszawska;105;97-200;044-725-9126;;044-725-9127;;kppsp18@straz.lodz.pl;;www.gov.pl/kppsp-tomaszow-mazowiecki;51.5494;20.0149
482.;Komenda Powiatowa PSP w Wieluniu;łódzkie;wieluński;Wieluń;Wodna;1;98-300;43-843-44-23;;043-841-1024;;kppsp19@straz.lodz.pl;;www.gov.pl/kppsp-wielun;51.2235;18.5694
483.;Komenda Powiatowa PSP w Wieruszowie;łódzkie;wieruszowski;Wieruszów;Bolesławiecka;10;98-400;062-784-1688;062-781-0033;062-784-1665;;kppsp20@straz.lodz.pl;;www.gov.pl/kppsp-wieruszow;51.2815;18.177
484.;Komenda Powiatowa PSP w Zduńskiej Woli;łódzkie;zduńskowolski;Zduńska Wola;Długa;4;98-220;43-823-41-81;;;;kppsp21@straz.lodz.pl;;www.gov.pl/kppsp-zdunska-wola;51.6;18.9571
485.;Komenda Powiatowa PSP w Zgierzu;łódzkie;zgierski;Zgierz;Łąkowa;6/8.;95-100;042-714-5570;;042-714-5553;;kppsp22@straz.lodz.pl;;www.gov.pl/kppsp-zgierz;51.8527;19.4111
486.;Wojewódzki Zespół do Spraw Orzekania o Niepełnopsrawnosci w województwie łódzkim;łódzkie;;Łódź;Lecznicza;6;93-173;042 664 20 48;042 664 20 50;;;wzon@lodz.uw.gov.pl;;;51.73479; 19.47326
487.;Państwowa Straż Rybacka;łódzkie;;Sieradz;Kowalskiego;7;98-200;43 827 10 00;;43 827 10 00;;kwpsrlodz@neostrada.pl;;http://www.bip.psr-lodz.finn.pl/;51.5856;18.7270
488.;Komenda Miejska Policji w Łodzi;łódzkie;łódzki;Łódź;Sienkiewicza;28/30;90-114;47 841-22-50;47 841-14-21;47 841-17-55;47 841-17-70;dyzurny@lodz.ld.policja.gov.pl;komendant@lodz.ld.policja.gov.pl;www.lodz.policja.gov.pl;51.7676;19.4622
489.;Komenda Miejska Policji w Skierniewicach;łódzkie;skierniewicki;Skierniewice;Jana III Sobieskiego;69;96-100;47 843-11-88;47 843-11-26;47 843-11-60;47 843-11-11;dyzurny@skierniewice.ld.policja.gov.pl;komendant@skierniewice.ld.policja.gov.pl;www.skierniewice.policja.gov.pl;51.9666;20.1612
490.;Komenda Miejska Policji w Piotrkowie Trybunalskim;łódzkie;piotrkowski;Piotrków Trybunalski;Szkolna;30/38;97-300;47 846-14-62;47 846-14-50;47 846-12-09;47 841-12-00;dyzurny@piotrkow-trybunalski.ld.policja.gov.pl ,;komendant@piotrkow-trybunalski.ld.policja.gov.pl;www.piotrkow-trybunalski.policja.gov.pl;51.4113;19.6778
491.;KPP w Bełchatowie;łódzkie;bełchatowski;Bełchatów;1 Maja;7;97-400;47 846-52-00;47 846-52-15;47 846-52-09;47 844-52-08;dyzurny@belchatow.ld.policja.gov.pl;komendant@belchatow.ld.policja.gov.pl;www.belchatow.policja.gov.pl;51.3644;19.3725
492.;KPP w Brzezinach;łódzkie;brzeziński;Brzeziny;Konstytucji 3-go Maja;5;95-060;47 842-63-00;47 842-63-33;47 842-63-48;47 842-63-48;dyzurny@brzeziny.ld.policja.gov.pl;komendant@brzeziny.ld.policja.gov.pl;www.brzeziny.policja.gov.pl;52.2380;19.3404
493.;KPP w Kutnie;łódzkie;kutnowski;Kutno;Toruńska;14;99-300;47 842-21-00;47 842-22-20;47 842-22-16;47 842-22-16;dyzurny@kutno.ld.policja.gov.pl;komendant@kutno.ld.policja.gov.pl;www.kutno.policja.gov.pl;52.1417;19.2025
494.;KPP w Łasku;łódzkie;łaski;Łask;9 Maja;32/36;98-100;47 845-42-11;47 845-42-10;47 845-42-46;47 845-42-46;dyzurny@lask.ld.policja.gov.pl;komendant@lask.ld.policja.gov.pl;www.lask.policja.gov.pl;51.5896;19.1386
495.;KPP w Łęczycy;łódzkie;łęczycki;Łęczyca;Ozorkowskie Przedmieście;4; 99-100;47 842-31-00;47 842-31-08;47 842-31-14;47 842-31-47;dyzurny@leczyca.ld.policja.gov.pl;komendant@leczyca.ld.policja.gov.pl;www.leczyca.policja.gov.pl;52.0528;19.2058
496.;KPP w Łowiczu;łódzkie;łowicki;Łowicz;Bonifraterska;12/14.;99 - 400;47 843-25-00;47 843-25-13;47 843-25-95;47 843-25-95;dyzurny@lowicz.ld.policja.gov.pl;komendant@lowicz.ld.policja.gov.pl;www.lowicz.policja.gov.pl;52.1063;19.9310
497.;KPP Łódź-Wschód;łódzkie;łódzki-wschodni;Koluszki;11 Listopada;62 F;95-040;47 842-12-11;47 842-12-13;47 842-12-09;47 842-12-10;dyzurny@lodz-wschod.ld.policja.gov.pl;komendant@lodz-wschod.ld.policja.gov.pl;www.lodz-wschod.policja.gov.pl;51.7422;19.8321
498.;KPP w Opocznie;łódzkie;opoczyński;Opoczno;Aleja Dąbrówki;1;26-300;47 846-32-04;47 846-32-58;47 846-32-09;47 846-32-58;dyzurny@opoczno.ld.policja.gov.pl;komendant@opoczno.ld.policja.gov.pl;www.opoczno.policja.gov.pl;51.3668;20.2998
499.;KPP w Pabianicach;łódzkie;pabianicki;Pabianice;Żeromskiego;18;95-200;(42) 22 53 300;;(42) 22 53 364;;komendant@pabianice.ld.policja.gov.pl;;www.pabianice.policja.gov.pl;51.4002;19.2047
500.;KPP w Pajęcznie;łódzkie;pajęczański;Pajęczno;1 Maja;52;98 -330;47 845-72-11;47 845-72-12;47 845-72-05;47 845-72-06;dyzurny@pajeczno.ld.policja.gov.pl;komendant@pajeczno.ld.policja.gov.pl;www.pajeczno.policja.gov.pl;51.1479;19.0026
501.;KPP Poddębice;łódzkie;poddębicki;Poddębice;Targowa;22.;99-200;47 845-22-11;47 845-22-12;47 845-22-05;47 845-22-00;dyzurny@poddebice.ld.policja.gov.pl;komendant@poddebice.ld.policja.gov.pl;www.poddebice.policja.gov.pl;51.8837;18.9658
502.;KPP w Radomsku;łódzkie;radomszczański;Radomsko;Piłsudskiego;56;97-500;47 846-42-11;47 846-42-12;47 846-42-90;47 846-42-90;dyzurny@radomsko.ld.policja.gov.pl;komendant@radomsko.ld.policja.gov.pl;www.radomsko.policja.gov.pl;51.0627;19.4331
503.;KPP w Rawie Maz.;łódzkie;rawski;Rawa Maz.;Kościuszki;23;96-200;47 843-31-03;47 843-31-01;47 843-31-98;47 843-31-98;dyzurny@rawa-mazowiecka.ld.policja.gov.pl;komendant@rawa-mazowiecka.ld.policja.gov.pl;www.rawa-mazowiecka.policja.gov.pl;51.7610;20.2468
504.;KPP Sieradz;łódzkie;sieradzki;Sieradz;Sikorskiego;2;98-200;47 845-17-05;47 845-17-01;47 845-14-26;47 845-14-26;dyzurny@sieradz.ld.policja.gov.pl;komendant@sieradz.ld.policja.gov.pl;www.sieradz.policja.gov.pl;51.5846;18.7139
505.;KPP Tomaszów Maz.;łódzkie;tomaszowski;Tomaszów Maz.;ul. Wandy Panfil;44;97-200;47 846-22-00;47 846-22-12;47 846-22-09;47 846-22-09;dyzurny@tomaszow-mazowiecki.ld.policja.gov.pl;komendant@tomaszow-mazowiecki.ld.policja.gov.pl;www.tomaszow-mazowiecki.policja.gov.pl;51.5213;20.0064
506.;KPP w Wieluniu;łódzkie;wieluński;Wieluń;Warszawska;22a;98-300;47 845-52-10;47 845-52-12;47 845-52-06;47 845-52-08;dyzurny@wielun.ld.policja.gov.pl;komendant@wielun.ld.policja.gov.pl;www.wielun.policja.gov.pl;51.2251;18.5855
507.;KPP w Wieruszowie;łódzkie;wieruszowski;Wieruszów;Kuźnicka;28A;98-400;47 845-62-11;47 845-62-12;47 845-62-34;47 845-62-61;dyzurny@wieruszow.ld.policja.gov.pl;komendant@wieruszow.ld.policja.gov.pl;www.wieruszow.policja.gov.pl;51.2938;18.1372
508.;KPP w Zduńskiej Woli;łódzkie;zduńskowolski;Zduńska Wola;Spacerowa;27;98-220;47 845-32-11;47 845-32-12;47 845-32-04;47 845-32-13;dyzurny@zdunska-wola.ld.policja.gov.pl;komendant@zdunska-wola.ld.policja.gov.pl;www.zdunska-wola.policja.gov.pl;51.6046;18.9560
509.;KPP w Zgierzu;łódzkie;zgierski;Zgierz;Długa;58/60;95-100;47 842-52-00;47 842-52-13;47 842-52-80;47 842-17-40;dyzurny@zgierz.ld.policja.gov.pl;komendant@zgierz.ld.policja.gov.pl;www.policja.zgierz.gov.pl;51.8535;19.4229
510.;Powiatowy Inspektorat Nadzoru Budowlanego w  Bełchatowie;łódzkie;Bełchatowski;Bełchatów;Kościuszki;13;97-400;44 633 29 06;;44 633 29 06;;nadzor@pinb-belchatow.lo.pl;;www.pinb-belchatow.lo.pl;51.3664;19.3693
511.;Powiatowy Inspektorat Nadzoru Budowlanego w  Brzezinach;łódzkie;Brzeziny;Brzeziny;Sienkiewicza;11;95-060;46-874-1285;;46-874-1285;;pinb-brze@o2.pl;;www.pinb-brzeziny.4bip.pl;51.7999;19.7577
512.;Powiatowy Inspektorat Nadzoru Budowlanego w  Kutnie;łódzkie;Kutno;Kutno;Wilcza;2A;99-300;24 355 47 01;;24 355 47 01;;pinb.kutno@poczta.onet.pl;;www.kutno.pinb.pl;52.2272;19.3687
513.;Powiatowy Inspektorat Nadzoru Budowlanego w  Łasku;łódzkie;Łaski;Łask;9 Maja;33;98-100;436753419;;436753419;;sekretariat@pinb-lask.pl;;www.pinb-lask.pl;51.3521;19.8263
514.;Powiatowy Inspektorat Nadzoru Budowlanego w  Łęczycy;łódzkie;Łęczycki;Łęczyca;A.Mickiewicza;18;99-100;24/7218674;;24/721-89-03;;pinbleczyca@op.pl;;www.pinbleczyca.eu;52.0486;19.2149
515.;Powiatowy Inspektorat Nadzoru Budowlanego w  Łowiczu;łódzkie;łowicki;Łowicz;Stanisława Stanisławskiego;30A;99-400;046-837-0347;601-611-882;046-837-0347;;pinb.lowicz@op.pl;;www.bip.pinb-lowicz.lo.pl;52.1021;19.9319
516.;Powiatowy Inspektorat Nadzoru Budowlanego w  Łodzi m.w;łódzkie;Łódź m.w.;Łódź;Warecka;3;91-202;42 655 98 30;42 655 98 31;42/655-98-39;;pinb@mazurek.man.lodz.pl;;www.pinb.lodz.pl;51.7973;19.4029
517.;Powiatowy Inspektorat Nadzoru Budowlanego w  Łodzi-Wschód;łódzkie;Łódź-Wschód;Łódź;Narutowicza;7/9.;90-117;042-632-78-81;;;;pinb@lodzkiwschodni.pl;;www.pinblodzkiwschodni.pl;51.7703;19.4585
