LP.  ,NAZWA                                                                                                                                                            ,ADRES                                                                    ,EMAIL                                                  ,TELEFON                           ,GODZINY SOBOTA ,                                                         ,WOJEWÓDZTWO
 151 ,OSKP Warowny                                                                                                                                                     ,"Dąbia Stara 32, 08-500 Ryki"                                            ,warowny@bosch-service.pl                               ,818 651 101                       ,               ,8:00-14:00                                               ,lubelskie
 152 ,SKP LLU/026/P                                                                                                                                                    ,"Dębowica 69A, 21-404 Trzebieszów"                                       ,ewa212@gazeta.pl                                       ,600 602 338                       ,               ,8:00-16:00                                               ,lubelskie
 153 ,"OKREGOWA STACJA KONTROLI POJAZDÓW ""WSCHÓD"""                                                                                                                   ,"Horodyszcze Kolonia 39D, Chełm"                                         ,wschod@wschod.pl                                       ,502 105 102                       ,               ,8:00-15:00                                               ,lubelskie
 154 ,Orkanika Sp. z o.o.                                                                                                                                              ,"Jacków 95, 21-007 Mełgiew"                                              ,orkanika@onet.pl                                       ,512 992 515                       ,               ,8:00-16:00                                               ,lubelskie
 155 ,Bosch Service Pilzak-Auto                                                                                                                                        ,"Jakubówka 17A, 08-503 Nowodwór"                                         ,pilzak@bosch-service.pl                                ,577 156 663                       ,               ,7:00-13:00                                               ,lubelskie
 156 ,CAR GAZ                                                                                                                                                          ,"Kłębów 60, 21-050 Kębłów"                                               ,cargaz@tlen.pl                                         ,509 028 111                       ,               ,7:30-16:00                                               ,lubelskie
 157 ,Speed Car Nałęczów                                                                                                                                               ,"Kolonia Bochotnica (przy Biedronce), 24-150 Nałęczów"                   ,centrala@speedcar.pl                                   ,815 014 605                       ,               ,8:00-15:00                                               ,lubelskie
 158 ,SOP Stanisław Kusiak                                                                                                                                             ,"Miączyn - Stacja 48a, 22-455 Miączyn"                                   ,stkusiak@wp.pl                                         ,602 332 827                       ,               ,8:00-13:00                                               ,lubelskie
 159 ,PSKP Zenon Wiak                                                                                                                                                  ,"Nowodwór 69C, 08-503 Nowodwór"                                          ,piotrwiak@o2.pl                                        ,81 866 13 47                      ,               ,8:00-15:00                                               ,lubelskie
 160 ,Carmax Dariusz Nowakowski                                                                                                                                        ,"Parchatka 3, 24-120 Kazimierz Dolny"                                    ,carmaxpulawy@wp.pl                                     ,510 122 204                       ,               ,8:00-14:00                                               ,lubelskie
 161 ,SKP LLU/041                                                                                                                                                      ,"Stanin 127K, 21-421 Tuchowicz"                                          ,ewa212@gazeta.pl                                       ,503 070 639                       ,               ,8:00-16:00                                               ,lubelskie
 162 ,Stacja Kontroli Pojazdów Allsat                                                                                                                                  ,"Trawniki-Kolonia 46, 21-044 Trawniki"                                   ,serwis@allsat.pl                                       ,727 726 555                       ,               ,8:00-16:00                                               ,lubelskie
 163 ,Rudnik Tumay                                                                                                                                                     ,"ul. Akacjowa 34, 23-206 Stróża-Kolonia"                                 ,rudniktumay@wp.pl                                      ,600 823 556                       ,               ,7:00-15:00                                               ,lubelskie
 164 ,OSKP MPK Lublin                                                                                                                                                  ,"ul. Antoniny Grygowej 56, 20-260 Lublin"                                ,gfijalkowski@mpk.lublin.pl                             ,515 071 751                       ,               ,całodobowo                                               ,lubelskie
 165 ,CAR GAZ                                                                                                                                                          ,"ul. Armii Krajowej 2, 21-050 Piaski"                                    ,cargaz@tlen.pl                                         ,509 028 111                       ,               ,7:30-16:00                                               ,lubelskie
 166 ,PZM OZDG Sp. z o.o.                                                                                                                                              ,"ul. B.Prusa 8, 20-064 Lublin"                                           ,kontrola-pojazdow.lublin@pzm.pl                        ,815 334 351                       ,               ,7:00-15:00                                               ,lubelskie
 167 ,MIREX                                                                                                                                                            ,"ul. Brzeska 111, 21-500 Biała Podlaska"                                 ,mirex.brzeska@bosch-service.pl                         ,833 424 121                       ,               ,8:00-16:00                                               ,lubelskie
 168 ,SABAT Sp. z o.o.                                                                                                                                                 ,"ul. Budowlana 24, 20-469 Lublin"                                        ,diagnosta@sabat.lublin.pl                              ,814 462 210                       ,               ,7:00-14:00                                               ,lubelskie
 169 ,Speed Car Tereszpol-Panasówka                                                                                                                                    ,"ul. Długa 4, 33-407 Tereszpol"                                          ,centrala@speedcar.pl                                   ,602 582 379                       ,               ,8:00-14:00                                               ,lubelskie
 170 ,SKP TOP SPIN                                                                                                                                                     ,"ul. Dzieci Zamojszczyzny 1d, 22-400 Zamość"                             ,biuro@topspin.zam.pl                                   ,846 399 399                       ,               ,7:00-20:00                                               ,lubelskie
 171 ,AUTOSTORCZYK                                                                                                                                                     ,"ul. Fabryczna 24, 08-500 Ryki"                                          ,autostorczyk.ryki@gmail.com                            ,734 820 000                       ,               ,8:00-14:00                                               ,lubelskie
 172 ,SMYK s.c.                                                                                                                                                        ,"ul. Grobla 17, 22-300 Krasnystaw"                                       ,smyk@o2.pl                                             ,825 421 505                       ,               ,8:00-14:00                                               ,lubelskie
 173 ,PSP Hrubieszów                                                                                                                                                   ,"ul. Gródecka 36, 22-500 Hrubieszów"                                     ,                                                       ,846 962 655                       ,               ,7:30-15:30                                               ,lubelskie
 174 ,"Speed Car Lublin, Jana Pawła II"                                                                                                                                ,"ul. Jana Pawła II 15, 20-535 Lublin"                                    ,centrala@speedcar.pl                                   ,814 420 020                       ,               ,8:00-20:00                                               ,lubelskie
 175 ,Speed Car Biała Podlaska                                                                                                                                         ,"ul. Jana Pawła II 15, 21-500 Biała Podlaska"                            ,centrala@speedcar.pl                                   ,833 433 337                       ,               ,8:00-17:00                                               ,lubelskie
 176 ,AUTO SERWIS WEJMAN                                                                                                                                               ,"ul. Kazimierska 33, 24-100 Puławy"                                      ,stacja.wejman@wp.pl                                    ,608 322 542                       ,               ,8:00-14:00                                               ,lubelskie
 177 ,LATEK                                                                                                                                                            ,"ul. Kleeberga 22, 21-150 Kock"                                          ,f.latek@liderserwis.pl                                 ,818 591 274                       ,               ,8:00-15:00                                               ,lubelskie
 178 ,Firma Handlowo-Usługowa Józef Szlendak                                                                                                                           ,"ul. Kocka 179, 08-530 Dęblin"                                           ,jszlendak.oskp@wp.pl                                   ,783 100 105                       ,               ,8:00-14:00                                               ,lubelskie
 179 ,OSKP Zaprzała                                                                                                                                                    ,"ul. Kolejowa 12A, 22-500 Hrubieszów"                                    ,biuro@zaprzala.pl                                      ,846 965 506                       ,               ,7:00-15:00                                               ,lubelskie
 180 ,Picar                                                                                                                                                            ,"ul. Kościuszki 48a, 23-213 Zakrzówek"                                   ,picar.zkr@gmail.com                                    ,500 700 472                       ,               ,8:00-14:00                                               ,lubelskie
 181 ,Olmed                                                                                                                                                            ,"ul. Krasnystawska 54, 21-010 Łęczna"                                    ,olmedok@wp.pl                                          ,518 518 315                       ,               ,7:00-19:00                                               ,lubelskie
 182 ,SKP AUTO-LUX                                                                                                                                                     ,"ul. Kryształowa 4, 22-550 Werbkowice"                                   ,pastuszak@op.pl                                        ,513 125 956                       ,               ,7:00-17:00                                               ,lubelskie
 183 ,ABS                                                                                                                                                              ,"ul. Krzeszowska 55, 23-400 Biłgoraj"                                    ,                                                       ,846 276 880                       ,               ,7:00-14:00                                               ,lubelskie
 184 ,Speed Car Lubartów                                                                                                                                               ,"ul. Lawendowa 3, 21-100 Lubartów"                                       ,centrala@speedcar.pl                                   ,889 944 441                       ,               ,8:00-14:00                                               ,lubelskie
 185 ,"Speed Car Lublin, Lubartowska"                                                                                                                                  ,"ul. Lubartowska 75, 20-400 Lublin"                                      ,centrala@speedcar.pl                                   ,814 420 044                       ,               ,8:00-17:00                                               ,lubelskie
 186 ,CDS Centrum Diagnostyczno-serwisowe LLE007                                                                                                                       ,"ul. Lubelska 11B, 21-070 Cyców"                                         ,agropol.cds@gmail.com                                  ,796 915 915                       ,               ,7:00-14:00                                               ,lubelskie
 187 ,CDS Urszulin                                                                                                                                                     ,"ul. Lubelska 43, 22-234 Urszulin"                                       ,skp.urszulin@gmail.com                                 ,798 751 530                       ,               ,7:00-14:00                                               ,lubelskie
 188 ,SKP S. Kujawski                                                                                                                                                  ,"ul. Lubelska 56, 22-200 Włodawa"                                        ,s.k.p@wp.pl                                            ,825 724 433                       ,               ,8:00-13:00                                               ,lubelskie
 189 ,SKP MADEX                                                                                                                                                        ,"ul. Lubelska 64, 22-400 Zamość"                                         ,madexzamosc@wp.pl                                      ,846 271 557                       ,               ,8:00-20:00                                               ,lubelskie
 190 ,Speed Car Zamość                                                                                                                                                 ,"ul. Lubelska 68, 22-400 Zamość"                                         ,centrala@speedcar.pl                                   ,846 397 540                       ,               ,8:00-20:00                                               ,lubelskie
 191 ,Okręgowa Stacja Kontroli                                                                                                                                         ,"ul. Lwowska 126, 22-600 Tomaszów Lubelski"                              ,                                                       ,846 650 904                       ,               ,8:00-14:00                                               ,lubelskie
 192 ,OSKP LLU/036                                                                                                                                                     ,"ul. Łapiguz 100, 21-400 Łuków"                                          ,autocelej@bosch-service.pl                             ,257 940 494                       ,               ,8:00-14:00                                               ,lubelskie
 193 ,Bosch Car Service AUTOKOMPLEKS                                                                                                                                   ,"ul. Marii Konopnickiej 2a, 08-530 Dęblin"                               ,autokompleks-deblin@bosch-service.pl                   ,600 874 648                       ,               ,8:00-13:00                                               ,lubelskie
 194 ,Hanesco Grupa Speed Car                                                                                                                                          ,"ul. Nałęczowska 73, 20-701 Lublin"                                      ,centrala@speedcar.pl                                   ,815 361 399                       ,               ,8:00-14:00                                               ,lubelskie
 195 ,Speed Car Zamość                                                                                                                                                 ,"ul. Odrodzenia 22A, 22-400 Zamość"                                      ,centrala@speedcar.pl                                   ,846 394 070                       ,               ,8:00-20:00                                               ,lubelskie
 196 ,Respol                                                                                                                                                           ,"ul. Oś. Kolonia Trębaczów 167, 21-010"                                  ,respol.sp@wp.pl                                        ,508 894 434                       ,               ,8:00-15:00                                               ,lubelskie
 197 ,MILEROL                                                                                                                                                          ,"ul. Partyzancka 11B, 21-020 Milejów"                                    ,skpleczna@gmait.com                                    ,609 420 183                       ,               ,8:00-15:00                                               ,lubelskie
 198 ,"Speed Car Lublin, Scania"                                                                                                                                       ,"ul. Piasecka 20 (na Scanii), 21-040 Świdnik"                            ,centrala@speedcar.pl                                   ,817 468 774                       ,               ,8:00-16:00                                               ,lubelskie
 199 ,Cejsi.Car                                                                                                                                                        ,"ul. Piasecka 32A, 21-007 Krępiec"                                       ,cejsicar@op.pl                                         ,815 810 471                       ,               ,8:00-14:00                                               ,lubelskie
 200 ,SKP LLU/002                                                                                                                                                      ,"ul. Piłsudskiego 29, 21-400 Łuków"                                      ,tomasz.madon@pks.lukow.pl                              ,531 726 341                       ,               ,8:00-14:00                                               ,lubelskie
 201 ,Speed Car                                                                                                                                                        ,"ul. Polna 4, 21-010 Łęczna"                                             ,centrala@speedcar.pl                                   ,814 627 462                       ,               ,8:00-14:00                                               ,lubelskie
 202 ,SKP nr LRA/019P                                                                                                                                                  ,"ul. Powstania Styczniowego 35, 21-300 Radzyń Podlaski"                  ,                                                       ,604 538 237                       ,               ,8:00-15:00                                               ,lubelskie
 203 ,MIREX Bosch Car Serwis                                                                                                                                           ,"ul. Północna 16, 21-500 Biała Podlaska"                                 ,mirex.polnocna@bosch-service.pl                        ,834 115 566                       ,               ,8:00-16:00                                               ,lubelskie
 204 ,Tomasz Tobiasz MAX OSKP                                                                                                                                          ,"ul. Przemysłowa 11g, 08-500 Ryki"                                       ,oskptomasztobiasz@wp.pl                                ,501 741 383                       ,               ,8:00-16:00                                               ,lubelskie
 205 ,AM TRANS SP. Z O.O.                                                                                                                                              ,"ul. Przemysłowa 28, 22-100 Chełm"                                       ,amtrans.chelm@interia.pl                               ,509 110 051                       ,               ,8:00-14:00                                               ,lubelskie
 206 ,AUTO PAR - OSKP                                                                                                                                                  ,"ul. Przemysłowa 3, 21-200 Parczew"                                      ,carbon2@op.pl                                          ,793 773 960                       ,               ,8:00-14:00                                               ,lubelskie
 207 ,Okręgowa stacja kontroli pojazdów LBI/013                                                                                                                        ,"ul. Radzyńska 4, 21-560 Międzyrzec Podlaski"                            ,biuro@tirmet.pl                                        ,83 371 74 60                      ,               ,7:30-16:00                                               ,lubelskie
 208 ,OSKP DAPEX                                                                                                                                                       ,"ul. Rampa Brzeska 25, 22-100 Chełm"                                     ,osk@dapex.pl                                           ,825 643 659                       ,               ,7:00-15:00                                               ,lubelskie
 209 ,Ad Rem Auto Complex                                                                                                                                              ,"ul. Rudzka 1E, 24-130 Końskowola"                                       ,biuro@adremautocomplex.pl                              ,575 698 216                       ,               ,7:00-15:00                                               ,lubelskie
 210 ,ETMUS Sp. z o.o. Okręgowa Stacja Kontroli Pojazdów LBI/028                                                                                                       ,"ul. Sadowa 2, 21-500 Styrzyniec"                                        ,skp2@etmus.pl                                          ,833 797 121                       ,               ,7:00-15:00                                               ,lubelskie
 211 ,"ETMUS Sp. z o.o. Okręgowa Stacja Kontroli Pojazdów LB/001"                                                                                                      ,"ul. Sidorska 117c, 21-500 Biała Podlaska"                               ,skp1@etmus.pl                                          ,833 449 162                       ,               ,7:00-15:00                                               ,lubelskie
 212 ,AS CAR                                                                                                                                                           ,"ul. Słowackiego 26, 08-500 Ryki"                                        ,info@ascar.pl                                          ,509 799 777                       ,               ,8:00-14:00                                               ,lubelskie
 213 ,Automik                                                                                                                                                          ,"ul. Sportowa 1, 21-010 Łęczna"                                          ,biuro@automik.pl                                       ,817 523 338                       ,               ,8:00-13:00                                               ,lubelskie
 214 ,OSKP Allstar                                                                                                                                                     ,"ul. Starowiejska 12, 22-400 Zamość"                                     ,alistar@alistar.com.pl                                 ,846 399 423                       ,               ,7:00-20:00                                               ,lubelskie
 215 ,OSKP AUTO-DIAG                                                                                                                                                   ,"ul. Starowiejska 2B, 22-400 Zamość"                                     ,autodiag@op.pl                                         ,846 391 600                       ,               ,8:00-20:00                                               ,lubelskie
 216 ,OSKP ZURIS                                                                                                                                                       ,"ul. Szczebrzeska 121, 22-400 Zamość"                                    ,                                                       ,846 384 195                       ,               ,7:00-16:00                                               ,lubelskie
 217 ,PSKP CKZ Zamość                                                                                                                                                  ,"ul. Szczebrzeska 41, 22-400 Zamość"                                     ,ckpzamosc@wp.pl                                        ,846 412 101                       ,               ,8:00-14:00                                               ,lubelskie
 218 ,Stacja Obsługi Samochodów Włodzimierz Lesisz                                                                                                                     ,"ul. Szpitalna 2, 08-530 Dęblin"                                         ,w.lesisz@wp.pl                                         ,506 170 095                       ,               ,8:00-14:00                                               ,lubelskie
 219 ,Trans Tyt                                                                                                                                                        ,"ul. Św. Jana Pawła II 11, 23-420 Tarnogród"                             ,transtyp@interia.eu                                    ,846 897 065                       ,               ,8:00-14:00                                               ,lubelskie
 220 ,OSKP LLU/024                                                                                                                                                     ,"ul. Świderska 143, 21-400 Łuków"                                        ,krzysztofcabaj@o2.pl                                   ,518 505 184                       ,               ,8:00-15:00                                               ,lubelskie
 221 ,OSKP LLU/025                                                                                                                                                     ,"ul. Świętochowskiego 30, 21-400 Łuków"                                  ,krzysztofcabaj@o2.pl                                   ,257 982 298                       ,               ,8:00-15:00                                               ,lubelskie
 222 ,OSKP Auto-Max Piotr Koryś                                                                                                                                        ,"ul. Targowa 6, 08-550 Kłoczew"                                          ,biuro@stacjakloczew.pl                                 ,783 100 105                       ,               ,7:00-14:00                                               ,lubelskie
 223 ,Rudnik Tumay                                                                                                                                                     ,"ul. Tatarakowa 10, 24-220 Niedrzwica Kościelna"                         ,rudnik-lubelska@wp.pl                                  ,692 703 580                       ,               ,7:00-22:00                                               ,lubelskie
 224 ,Okręgowa Stacja Kontroli Polazdów                                                                                                                                ,"ul. Tomaszowska 119, 22-678 Ulhówek"                                    ,                                                       ,669 717 178                       ,               ,8:00-14:00                                               ,lubelskie
 225 ,Stacja Kontroli Pojazdów MOTO SERVIS Mariusz Chlebicki                                                                                                           ,"ul. Tomaszowska 49, 22-650 Łaszczów"                                    ,                                                       ,660 543 906                       ,               ,8:00-13:00                                               ,lubelskie
 226 ,REPA-CAR                                                                                                                                                         ,"ul. Usługowa 4, 22-200 Włodawa"                                         ,repaautocar@gmail.com                                  ,605 650 978                       ,               ,7:00-14:00                                               ,lubelskie
 227 ,FAST-FIX Speed Car                                                                                                                                               ,"ul. Wiejska 20A, 23-400 Biłgoraj"                                       ,centrala@speedcar.pl                                   ,846 867 779                       ,               ,8:00-14:00                                               ,lubelskie
 228 ,Okręgowa Stacja Kontroli Pojazdów                                                                                                                                ,"ul. Wielka 96, 22-630 Tyszowce"                                         ,                                                       ,846 619 380                       ,               ,8:00-14:00                                               ,lubelskie
 229 ,"F.H.U Mateusz Arasimowicz Podstawowa Stacja Kontroli Pojazdów"                                                                                                  ,"ul. Wojska Polskiego 108, 21-230 Sosnowica"                             ,arasimowicz.m@gmail.com                                ,798 755 810                       ,               ,8:00-13:00                                               ,lubelskie
 230 ,Autodiagnostyka                                                                                                                                                  ,"ul. Zamojska 7, 22-600 Rogóźno"                                         ,                                                       ,846 658 333                       ,               ,8:00-12:00                                               ,lubelskie
 231 ,OSKP LHR/016                                                                                                                                                     ,"ul. Zamojska 8, 22-530 Mircze"                                          ,mb@wp.pl                                               ,518 093 718                       ,               ,8:00-16:00                                               ,lubelskie
 232 ,PSKP ZSS nr 1 im. Władysława Korżyka                                                                                                                             ,"ul. Żytnia 5, 08-500 Ryki"                                              ,zsz@mechanikryki.pl                                    ,81 865 12 97 wew. 26              ,               ,8:00-13:00                                               ,lubelskie
 233 ,CAR-GAZ I s.c.                                                                                                                                                   ,"Wólka Orłowska 65, 22 - 375 Izbica"                                     ,cargaz1@o2.pl                                          ,503 606 997                       ,               ,7:00-16:00                                               ,lubelskie
 234 ,ASMOT Krasnystaw                                                                                                                                                 ,"Zakręcie 2H, 22 - 300 Krasnystaw"                                       ,                                                       ,825 764 521                       ,               ,7:00-14:00                                               ,lubelskie
 235 ,Henryk Łagot                                                                                                                                                     ,"Żółkiew Kolonia 39, 22-335 Żółkiewka"                                   ,lagot.henry@gmail.com                                  ,501 203 809                       ,               ,7:00-16:00                                               ,lubelskie
 236 ,AGROPOL                                                                                                                                                          ,"Żółkiew Kolonia 92a, 22-335 Żółkiewka"                                  ,polski.patryk@wp.pl                                    ,661 438 626                       ,               ,7:00-17:00                                               ,lubelskie
 237 ,Falko - Trans Serwis                                                                                                                                             ,"Strzeszowice 37, 68-212 Trzebiel"                                       ,falkotrans@gmail.com                                   ,512 150 440                       ,               ,8:00-14:00                                               ,lubuskie
 238 ,Podstawowa Stacja Kontroli Pojazdów                                                                                                                              ,"ul. Aleja PCK 8, 67-400 Wschowa"                                        ,skp.ludwiczak@neostrada.pl                             ,655 402 629                       ,               ,8:00-13:00                                               ,lubuskie
 239 ,Okręgowa stacja kontroli pojazdów                                                                                                                                ,"ul. Aleja Piastów 19, 66-530 Drezdenko"                                 ,drezdenko.fsd002@onet.pl                               ,957 621 670                       ,               ,8:00-14:00                                               ,lubuskie
 240 ,OSKP Rafał Popowicz                                                                                                                                              ,"ul. Gołaszyn 12, 67-124 Nowe Miasteczko"                                ,                                                       ,536 583 801                       ,               ,8:00-14:00                                               ,lubuskie
 241 ,First Stop Bauimpex Stacja Kontroli Pojazdów                                                                                                                     ,"ul. Gorzowska 17, 66-500 Strzelce Krajeńskie"                           ,bauimpex@wp.pl                                         ,957 632 003                       ,               ,8:00-17:00                                               ,lubuskie
 242 ,Masa                                                                                                                                                             ,"ul. Gubińska 44, 66-600 Krosno Odrzańskie"                              ,krosno@masa.zg.pl                                      ,683 837 001                       ,               ,8:00-14:00                                               ,lubuskie
 243 ,WronCar-Trans Okręgowa Stacja Kontroli Pojazdów                                                                                                                  ,"ul. Inwestycyjna 13, 68-320 Jasień"                                     ,wroncartrans@wp.pl                                     ,792 763 344                       ,               ,8:00-16:00                                               ,lubuskie
 244 ,Filip sp. Z o.o. Okręgowa Stacja Kontroli Pojazdów                                                                                                               ,"ul. Jana III Sobieskiego 6, 66-200 Świebodzin"                          ,filipskp@wp.pl                                         ,683 822 525                       ,               ,8:00-14:00                                               ,lubuskie
 245 ,Stacja Kontroli Pojazdów Kościcki                                                                                                                                ,"ul. Jana Kilińskiego 30, 68-200 Żary"                                   ,skp-koscicki@mailplus.pl                               ,684 572 012                       ,               ,9:00-15:00                                               ,lubuskie
 246 ,ELEAR Sp. z o.o.                                                                                                                                                 ,"ul. Jana Pawla II 2, 66-400 Gorzów Wlkp."                               ,filia@elear.com.pl                                     ,957 353 000                       ,               ,7:00-15:00                                               ,lubuskie
 247 ,Samochodowa Stacja Diagnostyczna                                                                                                                                 ,"ul. Kolejowa 24, 68-100 Żagań"                                          ,agnieszkatylkowska@interia.pl                          ,683 770 011                       ,               ,8:00-13:00                                               ,lubuskie
 248 ,OSKP Krzysztof Chlebowski                                                                                                                                        ,"ul. Konstruktorów 4, 67-100 Nowa Sól"                                   ,                                                       ,601 790 955                       ,               ,9:00-14:00                                               ,lubuskie
 249 ,"OSKP Paweł Karpiński"                                                                                                                                           ,"ul. Koszarowa 10, 67-120 Kożuchów"                                      ,                                                       ,68 355 71 89                      ,               ,8:00-13:00                                               ,lubuskie
 250 ,"Z.P.U.H. ""POLDEX"""                                                                                                                                            ,"ul. Kościuszki 143b, 66-540 Stare Kurowo"                               ,tomasz.kudlacik@gmail.com                              ,957 623 959                       ,               ,8:00-18:00                                               ,lubuskie
 251 ,Podstawowa Stacja Kontroli Pojazdów                                                                                                                              ,"ul. Kurpińskiego 1a, 67-400 Wschowa"                                    ,japangerman@poczta.onet.pl                             ,885 404 051                       ,               ,8:00-14:00                                               ,lubuskie
 252 ,Maszoński Logistic Sp. z o.o Sp.K.                                                                                                                               ,"ul. Lipowa 36, 69-200 Sulęcin"                                          ,oskp@maszonski.com                                     ,506 776 471                       ,               ,8:00-13:00                                               ,lubuskie
 253 ,SMART                                                                                                                                                            ,"ul. Łąki Zamkowe 2a, 66-200 Świebodzin"                                 ,smart@q-service.com.pl                                 ,684 755 055                       ,               ,8:00-13:00                                               ,lubuskie
 254 ,"""JORDAN"" Stacja Kontroli Pojazdów"                                                                                                                            ,"ul. Myśliborska 43, 66-400 Gorzów Wielkopolski"                         ,adam1802-71@o2.pl                                      ,957 227 888                       ,               ,8:00-12:00                                               ,lubuskie
 255 ,SKP Sajewicz & Sajewicz                                                                                                                                          ,"ul. Nowosolska 1, 67-100 Rudno"                                         ,                                                       ,683 874 569                       ,               ,8:00-16:00                                               ,lubuskie
 256 ,Okręgowa Stacja Kontroli Pojazdów                                                                                                                                ,"ul. Obrońców Warszawy 36C, 67-400 Wschowa"                              ,wojtekamg@o2.pl                                        ,665 779 595                       ,               ,8:00-14:00                                               ,lubuskie
 257 ,PKS Żary                                                                                                                                                         ,"ul. Okrzei 31-33, 68-200 Żary"                                          ,pks@pks.zary.pl                                        ,684 708 100                       ,               ,8:00-14:00                                               ,lubuskie
 258 ,OSKIOP BIEDRZYCCY                                                                                                                                                ,"ul. Piłkarska 19, 66-400 Gorzów Wlkp."                                  ,biedrzycki.gorzow@gmail.com                            ,957 376 379                       ,               ,8:00-14:00                                               ,lubuskie
