__lon,__lat,addr:city,addr:housenumber,addr:postcode,addr:street,email,fax,name,official_name,phone,short_name,website
,,Czarnków,1,64-700,Ogrodowa,kppspczarnkow@psp.wlkp.pl,+48 67 255 34 20,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Czarnkowie,+48 47 771 71 00,KP PSP Czarnków,www.czarnkow.psp.wlkp.pl
,,Człuchów,10,77-300,Stefana Batorego,sekretariat@czluchow112.pl,+48 59 834 56 25,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Człuchowie,+48 59 834 53 08,KP PSP Człuchów,https://www.gov.pl/web/kppsp-czluchow
,,Dąbrowa Tarnowska,20,33-200,Żabieńska,kppspdabrowa@straz.krakow.pl,+48 47 831 46 09,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Dąbrowie Tarnowskiej,+48 47 831 46 00,KP PSP Dąbrowa Tarnowska,https://www.gov.pl/kppsp-dabrowa-tarnowska
,,Dębica,6a,39-200,Poddęby,kpdebica@podkarpacie.straz.pl,+48 14 683 26 22,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Dębicy,+48 14 681 28 55,KP PSP Dębica,www.gov.pl/web/kppsp-debica
,,Drawsko Pomorskie,1,78-500,Plac Marii Konopnickiej,kp.drawsko@szczecin.kwpsp.gov.pl,+48 94 363 01 03,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Drawsku Pomorskim,+48 94 363 20 61,KP PSP Drawsko Pomorskie,www.strazdrawsko.pl
,,Działdowo,10,13-200,Marii Curie Skłodowskiej,kpdzialdowo@kwpsp.olsztyn.pl,+48 23 697 05 15,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Działdowie,+48 23 697 05 00,KP PSP Działdowo,www.gov.pl/web/kppsp-dzialdowo
,,Dzierżoniów,26,58-200,Piłsudskiego,dzierzoniow@kwpsp.wroc.pl,+48 74 832 53 93,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Dzierżoniowie,+48 74 832 53 80,KP PSP Dzierżoniów,https://www.gov.pl/web/kppsp-dzierzoniow
,,Ełk,50,19-300,Suwalska,kpelk@kwpsp.olsztyn.pl,+48 87 621 71 25,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Ełku,+48 87 621 71 00,KP PSP Ełk,www.gov.pl/web/kppsp-elk
,,Garwolin,2A,08-400,Targowa,garwolin@mazowsze.straz.pl,+48 25 682 42 26,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Garwolinie,,KP PSP Garwolin,https://www.gov.pl/web/kppsp-garwolin
,,Giżycko,2,11-500,Białostocka,kpgizycko@kwpsp.olsztyn.pl,+48 87 429 91 05,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Giżycku,+48 87 429 91 00,KP PSP Giżycko,www.gov.pl/web/kppsp-gizycko
,,Głogów,55,67-200,Sikorskiego,glogow@kwpsp.wroc.pl,+48 76 835 77 13,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Głogowie,+48 76 835 77 14,KP PSP Głogów,https://www.gov.pl/web/kppsp-glogow
,,Głubczyce,4,48-100,Kołłątaja,sekretariat.glubczyce@psp.opole.pl,+48 47 861 64 03,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Głubczycach,+48 47 861 64 00,KP PSP Głubczyce,https://www.gov.pl/web/kppsp-glubczyce
,,Gniezno,22,62-200,B.Chrobrego,kppspgniezno@psp.wlkp.pl,+48 61 222 06 38,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Gnieźnie,,KP PSP Gniezno,www.gniezno.psp.wlkp.pl
,,Goleniów,8,72-100,Gen. Władysława Andersa,kp.goleniow@szczecin.kwpsp.gov.pl,+48 91 431 79 08,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Goleniowie,+48 91 431 79 00,KP PSP Goleniów,www.straz.goleniow.pl
,,Golub-Dobrzyń,9,87-400,Lipnowska,golub-dobrzyn@kujawy.psp.gov.pl,+48 56 683 53 89,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Golubiu-Dobrzyniu,+48 56 683 53 89,KP PSP Golub-Dobrzyń,https://www.gov.pl/kppsp-golub-dobrzyn
,,Gołdap,19,19-500,Wojska Polskiego,kpgoldap@kwpsp.olsztyn.pl,,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Gołdapi,,KP PSP Gołdap,www.gov.pl/web/kppsp-goldap
,,Gorlice,84,38-300,11 Listopada,kppspgorlice@straz.krakow.pl,+48 18 354 93 05,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Gorlicach,+48 18 354 93 00,KP PSP Gorlice,www.gov.pl/web/kppsp-gorlice
,,Gostynin,1,09-500,Przemysłowa,gostynin@mazowsze.straz.pl,+48 24 235 33 33,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Gostyninie,+48 24 236 02 00,KP PSP Gostynin,https://www.gov.pl/web/kppsp-gostynin
,,Gostyń,247,63-800,Wrocławska,kppspgostyn@psp.wlkp.pl,+48 65 322 42 78,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Gostyniu,+48 47 771 73 00,KP PSP Gostyń,http://www.gostyn.psp.wlkp.pl/
,,Góra,22,56-200,Wincentego Witosa,kpgora@kwpsp.wroc.pl,+48 65 544 20 62,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Górze,+48 65 543 31 03,KP PSP Góra,https://www.gov.pl/web/kppsp-gora
,,Grajewo,74,19-203,Wojska Polskiego,kppspgr@straz.bialystok.pl,+48 47 711 81 03,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Grajewie,+48 47 711 81 01,KP PSP Grajewo,https://www.gov.pl/web/kppsp-grajewo
,,Grodzisk Mazowiecki,7,05-825,Żydowska,grodziskpsp@mazowsze.straz.pl,+48 22 755 56 94,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Grodzisku Mazowieckim,+48 22 755 52 37,KP PSP Grodzisk Mazowiecki,www.gov.pl/web/kppsp-grodzisk-mazowiecki
,,Grodzisk Wielkopolski,31,62-065,Rakoniewicka,kppspgrodzisk@psp.wlkp.pl,+48 47 771 74 04,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Grodzisku Wielkopolskim,+48 47 771 74 00,KP PSP Grodzisk Wielkopolski,www.grodzisk.psp.wlkp.pl
,,Grójec,11,05-600,Strażacka,grojec@mazowsze.straz.pl,,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Grójcu,,KP PSP Grójec,https://www.gov.pl/web/kppsp-grojec
,,Gryfice,25,72-300,3-Maja,kp.gryfice@szczecin.kwpsp.gov.pl,+48 91 384 77 31,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Gryficach,+48 91 384 77 20,KP PSP Gryfice,www.straz.gryfice.pl
,,Gryfino,1,74-100,Łużycka,kp.gryfino@szczecin.kwpsp.gov.pl,+48 91 466 71 82,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Gryfinie,+48 91 466 71 80,KP PSP Gryfino,kppspgryfino.pl
,,Hajnowka,4,17-200,11 Listopada,kpspsha@straz.bialystok.pl,+48 47 711 81 53,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Hajnówce,+48 47 711 81 60,KP PSP Hajnówka,https://www.gov.pl/web/kppsp-hajnowka/
,,Hrubieszów,36,22-500,Gródecka,kp_hrubieszow@straz.lublin.pl,+48 84 696 25 89,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Hrubieszowie,+48 84 696 26 55,KP PSP Hrubieszów,www.hrubieszow.kppsp.gov.pl
,,Iława,10,14-200,Kardynała Stefana Wyszyńskiego,skkp@kppsp.ilawa.pl,+48 89 644 95 03,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Iławie,,KP PSP Iława,www.gov.pl/web/kppsp-ilawa
,,Inowrocław,133,88-100,Poznańska,inowroclaw@kujawy.psp.gov.pl,,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Inowrocławiu,+48 52 357 50 21,KP PSP Inowrocław,https://www.gov.pl/web/kppsp-inowroclaw
,,Janów Lubelski,58,23-300,Piłsudskiego,kp_janowlubelski@staz.lublin.pl,+48 15 872 11 82,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Janowie Lubelskim,+48 15 872 50 24,KP PSP Janów Lubelski,www.straz-janowlub.pl
,,Jarocin,2,63-200,Powstańców Wlkp.,kppspjarocin@psp.wlkp.pl,+48 47 771 75 18,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Jarocinie,,KP PSP Jarocin,www.jarocin.psp.wlkp.pl
,,Jarosław,2,37-500,Morawska,kpjaroslaw@podkarpacie.straz.pl,+48 16 307 12 21,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Jarosławiu,+48 16 307 12 00,KP PSP Jarosław,https://www.gov.pl/web/kppsp-jaroslaw
,,Jasło,33,38-200,Mickiewicza,kpjaslo@podkarpacie.straz.pl,+48 13 443 58 28,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Jaśle,+48 13 443 58 00,KP PSP Jasło,https://www.gov.pl/web/kppsp-jaslo
,,Jawor,6,59-400,Kościuszki,jawor@kwpsp.wroc.pl,,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Jaworze,+48 76 870 26 43,KP PSP Jawor,https://www.gov.pl/web/kppsp-jawor
,,Jędrzejów,5,28-300,Reymonta,jedrzejow@straz.kielce.pl,+48 41 386 52 02,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Jędrzejowie,+48 41 386 18 95,KP PSP Jędrzejów,www.gov.pl/web/kppsp-jedrzejow/
,,Kamienna Góra,2c,58-400,Wałbrzyska,kamgora@kwpsp.wroc.pl,+48 75 744 77 00,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Kamiennej Górze,,KP PSP Kamienna Góra,https://www.gov.pl/web/kppsp-kamienna-gora
,,Kamień Pomorski,7,72-400,Wolińska d,kp.kamien@szczecin.kwpsp.gov.pl,+48 91 382 01 32,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Kamieniu Pomorskim,+48 91 327 56 10,KP PSP Kamień Pomorski,www.strazkamien.pl
,,KARTUZY,16a,83-300,3 Maja,psk.kartuzy@straz.gda.pl,+48 47 741 84 55,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Kartuzach,+48 58 694 44 44,KP PSP Kartuzy,www.gov.pl/kppsp-kartuzy
,,Kazimierza Wielka,142,28-500,Kolejowa,kazimierza@straz.kielce.pl,+48 41 350 11 87,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Kazimierzy Wielkiej,+48 41 352 11 19,KP PSP Kazimierza Wielka,https://www.gov.pl/web/kppsp-kazimierza-wielka/
,,Kędzierzyn-Koźle,12,47-200,Kraszewskiego,kozlesekret@psp.opole.pl,+48 47 861 65 14,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Kędzierzynie-Koźlu,+48 47 861 65 10,KP PSP Kędzierzyn-Koźle,https://www.gov.pl/web/kppsp-kedzierzyn-kozle
,,Kępno,12,63-600,Broniewskiego,kppspkepno@psp.wlkp.pl,+48 62 332 43 38,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Kępnie,+48 47 771 77 00,KP PSP Kępno,www.straz.kepno.com.pl
,,Kętrzyn,1a,11-400,Plac Słowiański,kpketrzyn@kwpsp.olsztyn.pl,+48 89 751 71 14,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Kętrzynie,+48 89 751 71 16,KP PSP Kętrzyn,www.gov.pl/web/kppsp-ketrzyn
,,Kluczbork,1,46-200,Krakusa,kluczrsk@psp.opole.pl,+48 77 417 03 97,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Kluczborku,,KP PSP Kluczbork,https://www.gov.pl/web/kppsp-kluczbork
,,Kłobuck,45,42-100,Częstochowska,psk@strazklobuck.pl,,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Kłobucku,+48 34 317 22 13,KP PSP Kłobuck,https://www.gov.pl/web/kppsp-klobuck
,,Kłodzko,7,57-300,Traugutta,klodzko@kwpsp.wroc.pl,+48 74 865 72 03,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Kłodzku,+48 74 865 72 00,KP PSP Kłodzko,www.gov.pl/web/kppsp-klodzko
,,Kolbuszowa,13,36-100,Piekarska,kpkolbuszowa@podkarpacie.straz.pl,+48 17 227 11 65,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Kolbuszowej,,KP PSP Kolbuszowa,www.straz.kolbuszowa.pl
,,Kolno,3,18-500,Strażacka,kppspko@straz.bialystok.pl,+48 47 711 82 03,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Kolnie,+48 47 711 82 10,KP PSP Kolno,www.gov.pl/web/kppsp-kolno
,,Koło,74,62-600,Toruńska,kp-kolo@psp.wlkp.pl,+48 63 223 42 78,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Kole,+48 47 771 78 00,KP PSP Koło,www.kolo.psp.bip.net.pl
,,Kołobrzeg,12,78-100,Żurawia B,kp.kolobrzeg@szczecin.kwpsp.gov.pl,+48 94 355 14 42,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Kołobrzegu,+48 94 355 14 35,KP PSP Kołobrzeg,www.psp.kolobrzeg.pl
,,Końskie,14,26-200,Strażacka,biuro@strazkonskie.pl,+48 41 201 04 20,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Końskiem,+48 41 375 00 30,KP PSP Końskie,https://www.gov.pl/web/kppsp-konskie/
,,Kościan,5a,64-000,Bączkowskiego,kppspkoscian@psp.wlkp.pl,+48 65 322 42 97,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Kościanie,+48 47 771 80 00,KP PSP Kościan,www.koscian.psp.wlkp.pl
,,Kościerzyna,6,83-400,Traugutta,psk.koscierzyna@straz.gda.pl,+48 58 686 41 97,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Kościerzynie,+48 58 686 30 37,KP PSP Kościerzyna,https://www.gov.pl/web/kppsp-koscierzyna/
,,Kozienice,3,26-900,Nowy Świat,kozienice@mazowsze.straz.pl,,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Kozienicach,,KP PSP Kozienice,https://www.gov.pl/web/kppsp-kozienice
,,Krapkowice,19,47-303,3 Maja,sekretariat.krapkowice@psp.opole.pl,+48 47 861 67 19,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Krapkowicach,,KP PSP Krapkowice,www.gov.pl/web/kppsp-krapkowice
,,Krasnystaw,10,22-300,Poniatowskiego,kp_krasnystaw@straz.lublin.pl,,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Krasnymstawie,+48 82 576 25 55,KP PSP Krasnystaw,www.straz.krasnystaw.pl
,,Kraśnik,1,23-200,Obwodowa,kp_krasnik@straz.lublin.pl,+48 81 826 41 57,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Kraśniku,+48 81 825 22 81,KP PSP Kraśnik,www.straz.krasnik.pl
,,Krosno Odrzańskie,2a,66-600,Sienkiewicza,kppspkrosno@straz.gorzow.pl,+48 68 383 01 03,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Krośnie Odrzańskim,+48 68 383 01 00,KP PSP Krosno Odrzańskie,https://www.gov.pl/web/kppsp-krosno-odrzanskie
,,Krotoszyn,29,63-700,Mickiewicza,kppspkrotoszyn@psp.wlkp.pl,+48 62 332 43 58,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Krotoszynie,+48 47 771 81 00,KP PSP Krotoszyn,www.krotoszyn.psp.wlkp.pl
,,Kutno,7,99-300,1-go Maja,kppsp03@straz.lodz.pl,+48 24 251 00 75,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Kutnie,+48 24 251 00 60,KP PSP Kutno,https://www.gov.pl/web/kppsp-kutno
,,Kwidzyn,3,82-500,Sportowa,sekretariat.kwidzyn@straz.gda.pl,+48 47 741 52 66,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Kwidzynie,+48 47 741 52 64,KP PSP Kwidzyn,https://www.gov.pl/web/kppsp-kwidzyn
,,Legionowo,71A,05-120,Jagiellońska,legionowo@mazowsze.straz.pl,+48 22 774 28 88,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Legionowie,+48 22 774 28 28,KP PSP Legionowo,https://www.gov.pl/web/kppsp-legionowo
,,Lesko,2,38-600,Jana Pawła II,kplesko@podkarpacie.straz.pl,+48 13 469 69 97,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Lesku,,KP PSP Lesko,www.gov.pl/web/kppsp-lesko
,,Leżajsk,6,37-300,Opalińskiego,kplezajsk@podkarpacie.straz.pl,,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Leżajsku,+48 17 424 14 59,KP PSP Leżajsk,https://www.gov.pl/web/kppsp-lezajsk
,,Lębork,37,84-300,Stryjewskiego,sekretariat.lebork@straz.gda.pl,+48 47 741 86 59,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Lęborku,+48 59 863 33 66,KP PSP Lębork,https://www.gov.pl/web/kppsp-lebork
,,Lidzbark Warmiński,8,11-100,Olsztyńska,skkp.lidzbark@skkw.olsztyn.pl,+48 89 767 75 53,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Lidzbarku Warmińskim,+48 89 767 75 50,KP PSP Lidzbark Warmiński,www.gov.pl/web/kppsp-lidzbark-warminski
,,Limanowa,43,34-600,Matki  Boskiej Bolesnej,kppsplimanowa@straz.krakow.pl,+48 47 831 47 09,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Limanowej,+48 47 831 47 00,KP PSP Limanowa,www.kppsplimanowa.pl
,,Lipno,16a,87-600,Sportowa,kppsp_lipno@kujawy.psp.gov.pl,+48 54 288 65 77,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Lipnie,+48 54 288 65 62,KP PSP Lipno,http://psplipno.internetdsl.pl
,,Lipsko,3,27-300,Partyzantów,lipsko@mazowsze.straz.pl,,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Lipsku,,KP PSP Lipsko,https://www.gov.pl/web/kppsp-lipsko
,,Lubaczów,13,37-600,Sobieskiego,kplubaczow@podkarpacie.straz.pl,+48 16 632 50 21,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Lubaczowie,+48 16 632 21 83,KP PSP Lubaczów,https://www.gov.pl/web/kppsp-lubaczow
,,Lubań,7,59-800,Podwale,kpluban@kwpsp.wroc.pl,,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Lubaniu,+48 75 722 31 28,KP PSP Lubań,https://www.gov.pl/web/kppsp-luban
,,Lubartów,14,21-100,Jana Pawła II,psk@straz.lubartow.pl,,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Lubartowie,+48 81 855 30 81,KP PSP Lubartów,www.straz.lubartow.pl
,,Lubin,21,59-300,Ścinawska,lubin@kwpsp.wroc.pl,+48 76 846 18 55,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Lubinie,+48 76 846 18 40,KP PSP Lubin,https://www.gov.pl/web/kppsp-lubin/
,,Lubliniec,10,42-700,PCK,sekretariat@straz-lubliniec.pl,+48 34 351 07 32,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Lublińcu,+48 34 351 07 30,KP PSP Lubliniec,https://www.gov.pl/web/kppsp-lubliniec
,,Lwówek Śląski,2,59-600,Sikorskiego,kplwowek@kwpsp.wroc.pl,,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Lwówku Śląskim,+48 75 782 22 22,KP PSP Lwówek Śląski,www.gov.pl/web/kppsp-lwowek-slaski
,,Łańcut,68,37-100,Grunwaldzka,kplancut@podkarpacie.straz.pl,+48 17 225 40 03,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Łańcucie,+48 69 448 87 02,KP PSP Łańcut,www.straz-lancut.pl/
,,Łask,2,98-100,Strażacka,kppsp04@straz.lodz.pl,+48 43 675 56 41,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Łasku,+48 43 675 23 26,KP PSP Łask,https://www.gov.pl/web/kppsp-lask
,,Łęczna,18,21-010,Przemysłowa,kp_leczna@straz.lublin.pl,+48 81 752 75 24,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Łęcznej,+48 81 752 75 20,KP PSP Łęczna,http://www.straz.leczna.pl/
,,Łęczyca,21E,99-100,Lotnicza,kppsp05@straz.lodz.pl,+48 24 721 26 32,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Łęczycy,+48 24 721 26 32,KP PSP Łęczyca,https://www.gov.pl/web/kppsp-leczyca
,,Łobez,2,73-150,Przemysłowa,kp.lobez@szczecin.kwpsp.gov.pl,+48 91 397 09 55,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Łobzie,+48 91 397 40 26,KP PSP Łobez,http://kppsp.lobez.ibip.pl
,,Łosice,2A,08-200,Kolejowa,losice@mazowsze.straz.pl,+48 83 357 22 43,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Łosicach,+48 83 357 22 41,KP PSP Łosice,www.gov.pl/web/kppsp-losice
,,Łowicz,4,99-400,Seminaryjna,kppsp06@straz.lodz.pl,+48 46 837 69 29,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Łowiczu,+48 46 830 25 50,KP PSP Łowicz,https://www.gov.pl/web/kppsp-lowicz
,,Łuków,6,21-400,Partyzantów,kp_lukow@straz.lublin.pl,+48 25 797 10 67,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Łukowie,+48 25 798 20 87,KP PSP Łuków,
,,Maków Mazowiecki,6A,06-200,Moniuszki,makow@mazowsze.straz.pl,+48 29 717 11 37,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Makowie Mazowieckim,+48 29 717 11 50,KP PSP Maków Mazowiecki,http://kppspmakowmaz.binp.info
,,Malbork,1,82-200,Józefa Wybickiego,psk.malbork@straz.gda.pl,+48 55 270 21 22,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Malborku,+48 55 270 21 20,KP PSP Malbork,https://www.gov.pl/web/kppsp-malbork
,,Miechów,20,32-200,Racławicka,kppspmiechow@straz.krakow.pl,+48 47 831 71 09,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Miechowie,+48 47 831 71 09,KP PSP Miechów,https://www.gov.pl/web/kppsp-miechow
,,Mielec,54,39-300,Sienkiewicza,kpmielec@podkarpacie.straz.pl,+48 17 780 09 73,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Mielcu,+48 17 780 09 70,KP PSP Mielec,https://www.gov.pl/web/kppsp-mielec
,,Międzychód,4,64-400,Zewnętrzna,kppspmiedzychod@psp.wlkp.pl,+48 95 222 20 18,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Międzychodzie,+48 47 771 83 00,KP PSP Międzychód,www.gov.pl/web/kppsp-miedzychod
,,Międzyrzecz,1,66-300,Rokitniańska,kppspmiedzyrzecz@straz.gorzow.pl,+48 95 742 66 31,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Międzyrzeczu,+48 95 742 66 20,KP PSP Międzyrzecz,https://www.gov.pl/web/kppsp-miedzyrzecz/
,,Mikołów,7,43-190,Konstantego Prusa,pspmikolow@katowice.kwpsp.gov.pl,+48 32 326 23 11,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Mikołowie,,KP PSP Mikołów,https://www.gov.pl/web/kppsp-mikolow
,,Milicz,3,56-300,Powstańców Wielkopolskich,kpmilicz@kwpsp.wroc.pl,+48 71 384 21 52,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Miliczu,+48 71 384 13 38,KP PSP Milicz,https://www.gov.pl/web/kppsp-milicz
,,Mińsk Mazowiecki,120,05-300,Warszawska,minsk@mazowsze.straz.pl,+48 25 758 44 73,Komenda Powiatowa Państwowej Straży Pożarnej,Komenda Powiatowa Państwowej Straży Pożarnej w Mińsku Mazowieckim,+48 25 758 50 61,KP PSP Mińsk Mazowiecki,https://www.gov.pl/web/kppsp-minsk-mazowiecki
