Nazwa,Rodzaj,Województwo,Powiat,Gmina,Miejscowość,Kod pocztowy,Adres,Centrala,FAX,Służbowa strona WWW,Służbowy adres e-mail
KP PSP Jarosław,KM/KP,podkarpackie,jarosławski,Jarosław (gmina miejska),Jarosław,37-500,Morawska 2,163071200,163071221,https://www.gov.pl/web/kppsp-jaroslaw,kpjaroslaw@podkarpacie.straz.pl
KP PSP Jasło,KM/KP,podkarpackie,jasielski,Jasło (gmina miejska),Jasło,38-200,Mickiewicza 33,134435800,134435828,https://www.gov.pl/web/kppsp-jaslo,kpjaslo@podkarpacie.straz.pl
KP PSP Jawor,KM/KP,dolnośląskie,jaworski,Jawor,Jawor,59-400,Kościuszki 6,768702643,768702643 wew.: 104,https://www.gov.pl/web/kppsp-jawor,jawor@kwpsp.wroc.pl
KP PSP Jędrzejów,KM/KP,świętokrzyskie,jędrzejowski,Jędrzejów,Jędrzejów,28-300,Reymonta 5,413861895,413865202,www.gov.pl/web/kppsp-jedrzejow/,jedrzejow@straz.kielce.pl
KP PSP Kamienna Góra,KM/KP,dolnośląskie,kamiennogórski,Kamienna Góra (gmina miejska),Kamienna Góra,58-400,Wałbrzyska 2c,757447701 wew.: 10,757447700,https://www.gov.pl/web/kppsp-kamienna-gora,kamgora@kwpsp.wroc.pl
KP PSP Kamień Pomorski,KM/KP,zachodniopomorskie,kamieński,Kamień Pomorski,Kamień Pomorski,72-400,Wolińska 7 d,913275610,913820132,www.strazkamien.pl,kp.kamien@szczecin.kwpsp.gov.pl
KP PSP Kartuzy,KM/KP,pomorskie,kartuski,Kartuzy,KARTUZY,83-300,3 Maja 16a,586944444,477418455,www.gov.pl/kppsp-kartuzy,psk.kartuzy@straz.gda.pl
KP PSP Kazimierza Wielka,KM/KP,świętokrzyskie,kazimierski,Kazimierza Wielka,Kazimierza Wielka,28-500,Kolejowa 142,413521119,413501187,https://www.gov.pl/web/kppsp-kazimierza-wielka/,kazimierza@straz.kielce.pl
KP PSP Kędzierzyn-Koźle,KM/KP,opolskie,kędzierzyńsko-kozielski,Kędzierzyn-Koźle,Kędzierzyn-Koźle,47-200,Kraszewskiego 12,478616510,478616514,https://www.gov.pl/web/kppsp-kedzierzyn-kozle,kozlesekret@psp.opole.pl
KP PSP Kępno,KM/KP,wielkopolskie,kępiński,Kępno,Kępno,63-600,Broniewskiego 12,477717700,623324338,www.straz.kepno.com.pl,kppspkepno@psp.wlkp.pl
KP PSP Kętrzyn,KM/KP,warmińsko-mazurskie,kętrzyński,Kętrzyn (gmina miejska),Kętrzyn,11-400,Plac Słowiański 1a,897517116,897517114,www.gov.pl/web/kppsp-ketrzyn,kpketrzyn@kwpsp.olsztyn.pl
KP PSP Kluczbork,KM/KP,opolskie,kluczborski,Kluczbork,Kluczbork,46-200,Krakusa 1,,774170397,https://www.gov.pl/web/kppsp-kluczbork,kluczrsk@psp.opole.pl
KP PSP Kłobuck,KM/KP,śląskie,kłobucki,Kłobuck,Kłobuck,42-100,Częstochowska 45,343172213,343172416 wew.: 36,https://www.gov.pl/web/kppsp-klobuck,psk@strazklobuck.pl
KP PSP Kłodzko,KM/KP,dolnośląskie,kłodzki,Kłodzko (gmina miejska),Kłodzko,57-300,Traugutta 7,748657200,748657203,www.gov.pl/web/kppsp-klodzko,klodzko@kwpsp.wroc.pl
KP PSP Kolbuszowa,KM/KP,podkarpackie,kolbuszowski,Kolbuszowa,Kolbuszowa,36-100,Piekarska 13,,172271165,www.straz.kolbuszowa.pl,kpkolbuszowa@podkarpacie.straz.pl
KP PSP Kolno,KM/KP,podlaskie,kolneński,Kolno (gmina miejska),Kolno,18-500,Strażacka 3,477118210,477118203,www.gov.pl/web/kppsp-kolno,kppspko@straz.bialystok.pl
KP PSP Koło,KM/KP,wielkopolskie,kolski,Koło (gmina miejska),Koło,62-600,Toruńska 74,477717800,632234278,www.kolo.psp.bip.net.pl,kp-kolo@psp.wlkp.pl
KP PSP Kołobrzeg,KM/KP,zachodniopomorskie,kołobrzeski,Kołobrzeg (gmina miejska),Kołobrzeg,78-100,Żurawia 12 B,943551435,943551442,www.psp.kolobrzeg.pl,kp.kolobrzeg@szczecin.kwpsp.gov.pl
KP PSP Końskie,KM/KP,świętokrzyskie,konecki,Końskie,Końskie,26-200,Strażacka 14,413750030,412010420,https://www.gov.pl/web/kppsp-konskie/,biuro@strazkonskie.pl
KP PSP Kościan,KM/KP,wielkopolskie,kościański,Kościan (gmina miejska),Kościan,64-000,Bączkowskiego 5a,477718000,653224297,www.koscian.psp.wlkp.pl,kppspkoscian@psp.wlkp.pl
KP PSP Kościerzyna,KM/KP,pomorskie,kościerski,Kościerzyna (gmina miejska),Kościerzyna,83-400,Traugutta 6,586863037,586864197,https://www.gov.pl/web/kppsp-koscierzyna/,psk.koscierzyna@straz.gda.pl
KP PSP Kozienice,KM/KP,mazowieckie,kozienicki,Kozienice,Kozienice,26-900,Nowy Świat 3,486117898,486117888,https://www.gov.pl/web/kppsp-kozienice,kozienice@mazowsze.straz.pl
KP PSP Krapkowice,KM/KP,opolskie,krapkowicki,Krapkowice,Krapkowice,47-303,3 Maja 19,,478616719,www.gov.pl/web/kppsp-krapkowice,sekretariat.krapkowice@psp.opole.pl
KP PSP Krasnystaw,KM/KP,lubelskie,krasnostawski,Krasnystaw (gmina miejska),Krasnystaw,22-300,Poniatowskiego 10,825762555,825762555 wew.: 137,www.straz.krasnystaw.pl,kp_krasnystaw@straz.lublin.pl
KP PSP Kraśnik,KM/KP,lubelskie,kraśnicki,Kraśnik (gmina miejska),Kraśnik,23-200,Obwodowa 1,818252281,818264157,www.straz.krasnik.pl,kp_krasnik@straz.lublin.pl
KP PSP Krosno Odrzańskie,KM/KP,lubuskie,krośnieński,Krosno Odrzańskie,Krosno Odrzańskie,66-600,Sienkiewicza 2a,683830100,683830103,https://www.gov.pl/web/kppsp-krosno-odrzanskie,kppspkrosno@straz.gorzow.pl
KP PSP Krotoszyn,KM/KP,wielkopolskie,krotoszyński,Krotoszyn,Krotoszyn,63-700,Mickiewicza 29,477718100,623324358,www.krotoszyn.psp.wlkp.pl,kppspkrotoszyn@psp.wlkp.pl
KP PSP Kutno,KM/KP,łódzkie,kutnowski,Kutno (gmina miejska),Kutno,99-300,1-go Maja 7,242510060,242510075,https://www.gov.pl/web/kppsp-kutno,kppsp03@straz.lodz.pl
KP PSP Kwidzyn,KM/KP,pomorskie,kwidzyński,Kwidzyn (gmina miejska),Kwidzyn,82-500,Sportowa 3,477415264,477415266,https://www.gov.pl/web/kppsp-kwidzyn,sekretariat.kwidzyn@straz.gda.pl
KP PSP Legionowo,KM/KP,mazowieckie,legionowski,Legionowo,Legionowo,05-120,Jagiellońska 71A,227742828,227742888,https://www.gov.pl/web/kppsp-legionowo,legionowo@mazowsze.straz.pl
KP PSP Lesko,KM/KP,podkarpackie,leski,Lesko,Lesko,38-600,Jana Pawła II 2,,134696997,www.gov.pl/web/kppsp-lesko,kplesko@podkarpacie.straz.pl
KP PSP Leżajsk,KM/KP,podkarpackie,leżajski,Leżajsk (gmina miejska),Leżajsk,37-300,Opalińskiego 6,174241459,172426381 wew.: 31,https://www.gov.pl/web/kppsp-lezajsk,kplezajsk@podkarpacie.straz.pl
KP PSP Lębork,KM/KP,pomorskie,lęborski,Lębork,Lębork,84-300,Stryjewskiego 37,598633366,477418659,https://www.gov.pl/web/kppsp-lebork,sekretariat.lebork@straz.gda.pl
KP PSP Lidzbark Warmiński,KM/KP,warmińsko-mazurskie,lidzbarski,Lidzbark Warmiński (gmina miejska),Lidzbark Warmiński,11-100,Olsztyńska 8,897677550,897677553,www.gov.pl/web/kppsp-lidzbark-warminski,skkp.lidzbark@skkw.olsztyn.pl
KP PSP Limanowa,KM/KP,małopolskie,limanowski,Limanowa (gmina miejska),Limanowa,34-600,Matki  Boskiej Bolesnej 43,478314700,478314709,www.kppsplimanowa.pl,kppsplimanowa@straz.krakow.pl
KP PSP Lipno,KM/KP,kujawsko-pomorskie,lipnowski,Lipno (gmina miejska),Lipno,87-600,Sportowa 16a,542886562,542886577,http://psplipno.internetdsl.pl,kppsp_lipno@kujawy.psp.gov.pl
KP PSP Lipsko,KM/KP,mazowieckie,lipski,Lipsko,Lipsko,27-300,Partyzantów 3,483781188,483780661,https://www.gov.pl/web/kppsp-lipsko,lipsko@mazowsze.straz.pl
KP PSP Lubaczów,KM/KP,podkarpackie,lubaczowski,Lubaczów (gmina miejska),Lubaczów,37-600,Sobieskiego 13,166322183,166325021,https://www.gov.pl/web/kppsp-lubaczow,kplubaczow@podkarpacie.straz.pl
KP PSP Lubań,KM/KP,dolnośląskie,lubański,Lubań (gmina miejska),Lubań,59-800,Podwale 7,757223128,757222031 wew.: 30,https://www.gov.pl/web/kppsp-luban,kpluban@kwpsp.wroc.pl
KP PSP Lubartów,KM/KP,lubelskie,lubartowski,Lubartów (gmina wiejska),Lubartów,21-100,Jana Pawła II 14,818553081,818553082 wew.: 125,www.straz.lubartow.pl,psk@straz.lubartow.pl
KP PSP Lubin,KM/KP,dolnośląskie,lubiński,Lubin (gmina miejska),Lubin,59-300,Ścinawska 21,768461840,768461855,https://www.gov.pl/web/kppsp-lubin/,lubin@kwpsp.wroc.pl
KP PSP Lubliniec,KM/KP,śląskie,lubliniecki,Lubliniec,Lubliniec,42-700,PCK 10,343510730,343510732,https://www.gov.pl/web/kppsp-lubliniec,sekretariat@straz-lubliniec.pl
KP PSP Lwówek Śląski,KM/KP,dolnośląskie,lwówecki,Lwówek Śląski,Lwówek Śląski,59-600,Sikorskiego 2,757822222,757822222 wew.: 39,www.gov.pl/web/kppsp-lwowek-slaski,kplwowek@kwpsp.wroc.pl
KP PSP Łańcut,KM/KP,podkarpackie,łańcucki,Łańcut (gmina miejska),Łańcut,37-100,Grunwaldzka 68,694488702,172254003,www.straz-lancut.pl/,kplancut@podkarpacie.straz.pl
KP PSP Łask,KM/KP,łódzkie,łaski,Łask,Łask,98-100,Strażacka 2,436752326,436755641,https://www.gov.pl/web/kppsp-lask,kppsp04@straz.lodz.pl
KP PSP Łęczna,KM/KP,lubelskie,łęczyński,Łęczna,Łęczna,21-010,Przemysłowa 18,817527520,817527524,http://www.straz.leczna.pl/,kp_leczna@straz.lublin.pl
KP PSP Łęczyca,KM/KP,łódzkie,łęczycki,Łęczyca (gmina miejska),Łęczyca,99-100,Lotnicza 21E,247212632,247212632,https://www.gov.pl/web/kppsp-leczyca,kppsp05@straz.lodz.pl
KP PSP Łobez,KM/KP,zachodniopomorskie,łobeski,Łobez,Łobez,73-150,Przemysłowa 2,913974026,913970955,http://kppsp.lobez.ibip.pl,kp.lobez@szczecin.kwpsp.gov.pl
KP PSP Łosice,KM/KP,mazowieckie,łosicki,Łosice,Łosice,08-200,Kolejowa 2A,833572241,833572243,www.gov.pl/web/kppsp-losice,losice@mazowsze.straz.pl
KP PSP Łowicz,KM/KP,łódzkie,łowicki,Łowicz (gmina miejska),Łowicz,99-400,Seminaryjna 4,468302550,468376929,https://www.gov.pl/web/kppsp-lowicz,kppsp06@straz.lodz.pl
KP PSP Łuków,KM/KP,lubelskie,łukowski,Łuków (gmina miejska),Łuków,21-400,Partyzantów 6,257982087,257971067,,kp_lukow@straz.lublin.pl
KP PSP Maków Mazowiecki,KM/KP,mazowieckie,makowski,Maków Mazowiecki,Maków Mazowiecki,06-200,Moniuszki 6A,297171150,297171137,http://kppspmakowmaz.binp.info,makow@mazowsze.straz.pl
KP PSP Malbork,KM/KP,pomorskie,malborski,Malbork (gmina wiejska),Malbork,82-200,Józefa Wybickiego 1,552702120,552702122,https://www.gov.pl/web/kppsp-malbork,psk.malbork@straz.gda.pl
KP PSP Miechów,KM/KP,małopolskie,miechowski,Miechów,Miechów,32-200,Racławicka 20,478317109,478317109,https://www.gov.pl/web/kppsp-miechow,kppspmiechow@straz.krakow.pl
KP PSP Mielec,KM/KP,podkarpackie,mielecki,Mielec (gmina miejska),Mielec,39-300,Sienkiewicza 54,177800970,177800973,https://www.gov.pl/web/kppsp-mielec,kpmielec@podkarpacie.straz.pl
KP PSP Międzychód,KM/KP,wielkopolskie,międzychodzki,Międzychód,Międzychód,64-400,Zewnętrzna 4,477718300,952222018,www.gov.pl/web/kppsp-miedzychod,kppspmiedzychod@psp.wlkp.pl
KP PSP Międzyrzecz,KM/KP,lubuskie,międzyrzecki,Międzyrzecz,Międzyrzecz,66-300,Rokitniańska 1,957426620,957426631,https://www.gov.pl/web/kppsp-miedzyrzecz/,kppspmiedzyrzecz@straz.gorzow.pl
KP PSP Mikołów,KM/KP,śląskie,mikołowski,Mikołów,Mikołów,43-190,Konstantego Prusa 7,,323262311,https://www.gov.pl/web/kppsp-mikolow,pspmikolow@katowice.kwpsp.gov.pl
KP PSP Milicz,KM/KP,dolnośląskie,milicki,Milicz,Milicz,56-300,Powstańców Wielkopolskich 3,713841338,713842152,https://www.gov.pl/web/kppsp-milicz,kpmilicz@kwpsp.wroc.pl
KP PSP Mińsk Mazowiecki,KM/KP,mazowieckie,miński,Mińsk Mazowiecki (gmina miejska),Mińsk Mazowiecki,05-300,Warszawska 120,257585061,257584473,https://www.gov.pl/web/kppsp-minsk-mazowiecki,minsk@mazowsze.straz.pl
KP PSP Mława,KM/KP,mazowieckie,mławski,Mława,Mława,06-500,Padlewskiego 15,236543385,236545368,https://www.gov.pl/web/kppsp-mlawa/,mlawa@mazowsze.straz.pl
KP PSP Mogilno,KM/KP,kujawsko-pomorskie,mogileński,Mogilno,Mogilno,88-300,900 - lecia 3,523152351,523152351,http://pspmogilno.pl/,kppsp_mogilno@kujawy.psp.gov.pl
KP PSP Mońki,KM/KP,podlaskie,moniecki,Mońki,Mońki,19-100,Mickiewicza 18,477118260,477118259,www.gov.pl/web/kppsp-monki,kppspmo@straz.bialystok.pl
KP PSP Mrągowo,KM/KP,warmińsko-mazurskie,mrągowski,Mrągowo (gmina miejska),Mrągowo,11-700,Oficerska 2 A,897410500,897410511,www.gov.pl/web/kppsp-mragowo,kpmragowo@kwpsp.olsztyn.pl
KP PSP Myszków,KM/KP,śląskie,myszkowski,Myszków,Myszków,42-300,Jana Pawła II 11,,343131541,https://www.gov.pl/web/kppsp-myszkow,pspmyszkow@katowice.kwpsp.gov.pl
KP PSP Myślenice,KM/KP,małopolskie,myślenicki,Myślenice,Myślenice,32-400,Przemysłowa 9,478317000,478317009,https://www.gov.pl/web/kppsp-myslenice,kppspmyslenice@straz.krakow.pl
KP PSP Myślibórz,KM/KP,zachodniopomorskie,myśliborski,Myślibórz,Myślibórz,74-300,Lipowa 1B,957472096,957472096 wew.: 103,https://www.gov.pl/web/kppsp-mysliborz,kp.mysliborz@szczecin.kwpsp.gov.pl
KP PSP Nakło nad Notecią,KM/KP,kujawsko-pomorskie,nakielski,Nakło nad Notecią,Nakło nad Notecią,89-100,Strażacka 3,477513701,,www.gov.pl/web/kppsp-naklo,kppsp_naklo@kujawy.psp.gov.pl
KP PSP Namysłów,KM/KP,opolskie,namysłowski,Namysłów,Namysłów,46-100,Pl. Powstańców Śląskich 3,774106777,774106776,www.gov.pl/kppsp-namyslow,sekretariatnamyslow@psp.opole.pl
KP PSP Nidzica,KM/KP,warmińsko-mazurskie,nidzicki,Nidzica,Nidzica,13-100,Kolejowa 9,896250400,896250413,www.gov.pl/web/kppsp-nidzica,kpnidzica@kwpsp.olsztyn.pl
KP PSP Nisko,KM/KP,podkarpackie,niżański,Nisko,Nisko,37-400,Nowa 42,158412140,158414998,https://www.gov.pl/web/kppsp-nisko,kpnisko@podkarpacie.straz.pl
KP PSP Nowa Sól,KM/KP,lubuskie,nowosolski,Nowa Sól (gmina miejska),Nowa Sól,67-100,Marszałka J.Piłsudskiego 65 A,683559280,683559281,www.straz.nowasol.pl,sekretariat@straz.nowasol.pl
KP PSP Nowe Miasto Lubawskie,KM/KP,warmińsko-mazurskie,nowomiejski,Nowe Miasto Lubawskie (gmina miejska),Nowe Miasto Lubawskie,13-300,Szkolna 5b,564744100,564744115,www.gov.pl/web/kppsp-nowe-miasto-lubawskie,kpnmiastol@kwpsp.olsztyn.pl
KP PSP Nowy Dwór Gdański,KM/KP,pomorskie,nowodworski,Nowy Dwór Gdański,Nowy Dwór Gdański,82-100,Warszawska 53,552473589 wew.: 113,552460063,https://www.gov.pl/web/kppsp-nowy-dwor-gdanski,psk.nowydwor@straz.gda.pl
KP PSP Nowy Dwór Mazowiecki,KM/KP,mazowieckie,nowodworski,Nowy Dwór Mazowiecki,Nowy Dwór Mazowiecki,05-100,Gospodarcza 1,227753650,227758898,www.gov.pl/web/kppsp-nowy-dwor-mazowiecki,ndwormaz@mazowsze.straz.pl
KP PSP Nowy Targ,KM/KP,małopolskie,nowotarski,Nowy Targ (gmina miejska),Nowy Targ,34-400,Tadeusza Kościuszki 3,182610980,182610999,www.gov.pl/web/kppsp-nowy-targ,kppspnowytarg@straz.krakow.pl
KP PSP Nowy Tomyśl,KM/KP,wielkopolskie,nowotomyski,Nowy Tomyśl,Nowy Tomyśl,64-300,Powstanców Wlkp.2a,477718400,614427728,www.gov.pl/web/kppsp-nowy-tomysl,kppsptomysl@psp.wlkp.pl
KP PSP Nysa,KM/KP,opolskie,nyski,Nysa,Nysa,48-300,Szopena 5,,478616900,www.gov.pl/web/kppsp-nysa,sekretariat@psp.nysa.pl
KP PSP Oborniki,KM/KP,wielkopolskie,obornicki,Oborniki,Oborniki,64-600,11 Listopada 16,477718500,,kppsp-oborniki.pl,kp-oborniki@psp.wlkp.pl
KP PSP Olecko,KM/KP,warmińsko-mazurskie,olecki,Olecko,Olecko,19-400,Kolejowa 27a,875207100,875207105,www.gov.pl/web/kppsp-olecko,kpolecko@kwpsp.olsztyn.pl
KP PSP Olesno,KM/KP,opolskie,oleski,Olesno,Olesno,46-300,Solny Rynek 1,,478616080,https://www.gov.pl/kppsp-olesno,pskol@psp.olesno.pl
KP PSP Oleśnica,KM/KP,dolnośląskie,oleśnicki,Oleśnica (gmina miejska),Oleśnica,56-400,Kopernika 4,603654472,713147025,https://www.gov.pl/web/kppsp-olesnica,kpolesnica@kwpsp.wroc.pl
KP PSP Olkusz,KM/KP,małopolskie,olkuski,Olkusz,Olkusz,32-300,1000-lecia 2c,326414008,327547721,www.gov.pl/web/kppsp-olkusz,kppspolkusz@straz.krakow.pl
KP PSP Oława,KM/KP,dolnośląskie,oławski,Oława (gmina miejska),Oława,55-200,Ks. Franciszka Kutrowskiego 20,713134045,713033343,www.straz.olawa.pl,olawa@kwpsp.wroc.pl
KP PSP Opatów,KM/KP,świętokrzyskie,opatowski,Opatów,Opatów,27-500,Kościuszki 39,158682071,158684101,https://www.gov.pl/web/kppsp-opatow/,opatow@straz.kielce.pl
KP PSP Opoczno,KM/KP,łódzkie,opoczyński,Opoczno,Opoczno,26-300,Rolna 1,446453200,446453218,https://www.gov.pl/web/kppsp-opoczno,kppsp09@straz.lodz.pl
KP PSP Opole Lubelskie,KM/KP,lubelskie,opolski,Opole Lubelskie,Opole Lubelskie,24-300,Przemysłowa 25,818272008 wew.: 103,818273638,www.strazopolelubelskie.pl,kp_opolelubelskie@straz.lublin.pl
KP PSP Ostrowiec Świętokrzyski,KM/KP,świętokrzyskie,ostrowiecki,Ostrowiec Świętokrzyski,Ostrowiec Świętokrzyski,27-400,Wardyńskiego 32,412489435,412476200,www.gov.pl/web/kppsp-ostrowiec-swietokrzyski/,ostrowiec@straz.kielce.pl
KP PSP Ostróda,KM/KP,warmińsko-mazurskie,ostródzki,Ostróda (gmina miejska),Ostróda,14-100,Jana Stapińskiego 19 c,896423100,896423103,www.gov.pl/web/kppsp-ostroda,kpostroda@kwpsp.olsztyn.pl
KP PSP Ostrów Mazowiecka,KM/KP,mazowieckie,ostrowski,Ostrów Mazowiecka (gmina miejska),Ostrów Mazowiecka,07-300,11 Listopada 5,297463200,297463202,https://www.gov.pl/kppsp-ostrow-mazowiecka,ostrowmaz@mazowsze.straz.pl
KP PSP Ostrów Wielkopolski,KM/KP,wielkopolskie,ostrowski,Ostrów Wielkopolski (gmina miejska),Ostrów Wielkopolski,63-400,Stefana Batorego 21,477718600 wew.: 8600,623324295,www.ostrow.psp.wlkp.pl,kppspostrow@psp.wlkp.pl
KP PSP Ostrzeszów,KM/KP,wielkopolskie,ostrzeszowski,Ostrzeszów,Ostrzeszów,63-500,Sportowa 9,477718700,,http://www.gov.pl/web/kppsp-ostrzeszow,kp-ostrzeszow@psp.wlkp.pl
KP PSP Oświęcim,KM/KP,małopolskie,oświęcimski,Oświęcim (gmina miejska),Oświęcim,32-600,Zatorska 2,478317911,338448999,www.psposwiecim.pl,kppsposwiecim@straz.krakow.pl
KP PSP Otwock,KM/KP,mazowieckie,otwocki,Otwock,Otwock,05-402,Mieszka I 13/15,227181620,227181642,www.gov.pl/kppsp-otwock,otwock@mazowsze.straz.pl
KP PSP Pabianice,KM/KP,łódzkie,pabianicki,Pabianice (gmina miejska),Pabianice,95-200,Kilińskiego 4,422254300,422254323,https://www.gov.pl/web/kppsp-pabianice,kppsp10@straz.lodz.pl
KP PSP Pajęczno,KM/KP,łódzkie,pajęczański,Pajęczno,Pajęczno,98-330,Cmentarna 1,343111588,343114202,https://www.gov.pl/web/kppsp-pajeczno,kppsp11@straz.lodz.pl
KP PSP Parczew,KM/KP,lubelskie,parczewski,Parczew,Parczew,21-200,Piwonia 12,833551954,833551969,kppsp.parczew.pl,kp_parczew@straz.lublin.pl
KP PSP Piaseczno,KM/KP,mazowieckie,piaseczyński,Piaseczno,Piaseczno,05-500,Staszica 19,227567243,227569815,www.gov.pl/kppsp-piaseczno,piaseczno@mazowsze.straz.pl
KP PSP Piła,KM/KP,wielkopolskie,pilski,Piła,Piła,64-920,Moniuszki 1,477718800 wew.: 8800,672223201,www.pila.psp.wlkp.pl,kppsppila@psp.wlkp.pl
KP PSP Pińczów,KM/KP,świętokrzyskie,pińczowski,Pińczów,Pińczów,28-400,Przemysłowa  21,413572247,413572694,www.gov.pl/web/kppsp-pinczow,pinczow@straz.kielce.pl
KP PSP Pisz,KM/KP,warmińsko-mazurskie,piski,Pisz,Pisz.,12-200,Olsztyńska 40a,874254104,874254139,www.gov.pl/web/kppsp-pisz,kppisz@kwpsp.olsztyn.pl
KP PSP Pleszew,KM/KP,wielkopolskie,pleszewski,Pleszew,Pleszew,63-300,Słowackiego 19,477718900,625080585,www.pleszew.psp.wlkp.pl,kppsppleszew@psp.wlkp.pl
KP PSP Płońsk,KM/KP,mazowieckie,płoński,Płońsk (gmina miejska),Płońsk,09-100,Henryka Sienkiewicza 9,236527598,236533004,https://www.gov.pl/web/kppsp-plonsk,plonsk@mazowsze.straz.pl
KP PSP Poddębice,KM/KP,łódzkie,poddębicki,Poddębice,Poddębice,99-200,Narutowicza 3,436787500,436787504,https://www.gov.pl/web/kppsp-poddebice,kppsp13@straz.lodz.pl
KP PSP Police,KM/KP,zachodniopomorskie,policki,Police,Police,72-010,Tanowska 4a,914316810,914316803,www.gov.pl/web/kppsp-police,kp.police@szczecin.kwpsp.gov.pl
KP PSP Polkowice,KM/KP,dolnośląskie,polkowicki,Polkowice,Polkowice,59-100,Polna 3,767249900,767249914,https://www.gov.pl/web/kppsp-polkowice,kppolkowice@kwpsp.wroc.pl
KP PSP Proszowice,KM/KP,małopolskie,proszowicki,Proszowice,Proszowice,32-100,3-go Maja 140,123853160,123853168,www.gov.pl/web/kppsp-proszowice,kppspproszowice@straz.krakow.pl
KP PSP Prudnik,KM/KP,opolskie,prudnicki,Prudnik,Prudnik,48-200,Legionów 12a,478616100,478616181,https://www.gov.pl/web/kppsp-prudnik,sekretariat.prudnik@psp.opole.pl
KP PSP Pruszcz Gdański,KM/KP,pomorskie,gdański,Pruszcz Gdański (gmina miejska),Pruszcz Gdański,83-000,Gdańska 1a,586823024,586822322,kppsppruszcz.bip.gov.pl,pruszcz@straz.gda.pl
KP PSP Pruszków,KM/KP,mazowieckie,pruszkowski,Pruszków,Pruszków,05-800,Stanisława Staszica 4,227587216,227598425,https://www.gov.pl/web/kppsp-pruszkow/,pruszkow@mazowsze.straz.pl
KP PSP Przasnysz,KM/KP,mazowieckie,przasnyski,Przasnysz (gmina miejska),Przasnysz,06-300,Baranowska 44,297522445,297563672,www.gov.pl/web/kppsp-przasnysz,przasnysz@mazowsze.straz.pl
KP PSP Przeworsk,KM/KP,podkarpackie,przeworski,Przeworsk (gmina miejska),Przeworsk,37-200,Ignacego Krasickiego  7,166487781,166490170,www.przeworsk.info,kpprzeworsk@podkarpacie.straz.pl
KP PSP Przysucha,KM/KP,mazowieckie,przysuski,Przysucha,Przysucha,26-400,Targowa 3,486752055,486752056,https://www.gov.pl/web/kppsp-przysucha,przysucha@mazowsze.straz.pl
KP PSP Pszczyna,KM/KP,śląskie,pszczyński,Pszczyna,Pszczyna,43-200,Górnośląska 7,324493700,324493722,www.pszczyna.kppsp.gov.pl,straz1221@pszczyna.kppsp.gov.pl
KP PSP Puck,KM/KP,pomorskie,pucki,Puck (gmina miejska),Puck,84-100,Mestwina 11,586730451,586730453,www.gov.pl/web/kppsp-puck/,sekretariat.puck@straz.gda.pl
KP PSP Puławy,KM/KP,lubelskie,puławski,Puławy (gmina miejska),Puławy,24-100,Lubelska 51,818863447,818886596,www.straz.pulawy.pl,kp_pulawy@straz.lublin.pl
KP PSP Pułtusk,KM/KP,mazowieckie,pułtuski,Pułtusk,Pułtusk,06-100,Daszyńskiego 19,236921722,236920006,https://www.gov.pl/web/kppsp-pultusk,pultusk@mazowsze.straz.pl
KP PSP Pyrzyce,KM/KP,zachodniopomorskie,pyrzycki,Pyrzyce,Pyrzyce,74-200,Stargardzka 29,915700555,915700486 wew.: 206,http://strazpyrzyce.xon.pl/joomla/,kp.pyrzyce@szczecin.kwpsp.gov.pl
KP PSP Racibórz,KM/KP,śląskie,raciborski,Racibórz,Racibórz,47-400,Władysława Reymonta 8,324152107 wew.: 8,324154444,https://www.gov.pl/web/kppsp-raciborz,info@raciborz.kppsp.gov.pl
KP PSP Radomsko,KM/KP,łódzkie,radomszczański,Radomsko (gmina miejska),Radomsko,97-500,Żeromskiego 19,446859400,446859410,https://www.gov.pl/web/kppsp-radomsko,kppsp14@straz.lodz.pl
KP PSP Radziejów,KM/KP,kujawsko-pomorskie,radziejowski,Radziejów (gmina miejska),Radziejów,88-200,Szpitalna 17,477513810,,gov.pl/kppsp-radziejow,radziejow@kujawy.psp.gov.pl
KP PSP Radzyń Podlaski,KM/KP,lubelskie,radzyński,Radzyń Podlaski (gmina miejska),Radzyń Podlaski,21-300,Pomiarowa 1,833527768,833527766,kppspradzyn.pl,kp_radzyn@straz.lublin.pl
KP PSP Rawa Mazowiecka,KM/KP,łódzkie,rawski,Rawa Mazowiecka (gmina miejska),Rawa Mazowiecka,96-200,Przemysłowa 2A,468144027,468144028,https://www.gov.pl/web/kppsp-rawa-mazowiecka,kppsp15@straz.lodz.pl
KP PSP Rawicz,KM/KP,wielkopolskie,rawicki,Rawicz,Rawicz,63-900,Scherwentkego 13,477719000,653224318,www.rawicz.psp.wlkp.pl,kppsprawicz@psp.wlkp.pl
KP PSP Ropczyce,KM/KP,podkarpackie,ropczycko-sędziszowski,Ropczyce,Ropczyce,39-100,Św. Floriana 6,172218467,172227572,www.gov.pl/web/kppsp-ropczyce,kpropczyce@podkarpacie.straz.pl
KP PSP Ryki,KM/KP,lubelskie,rycki,Ryki,Ryki,08-500,Warszawska 25,818652020,818656161,strazryki.pl,kp_ryki@straz.lublin.pl
KP PSP Rypin,KM/KP,kujawsko-pomorskie,rypiński,Rypin (gmina miejska),Rypin,87-500,Strażacka 4,542809141,,https://www.gov.pl/web/kppsp-rypin,kppsp_rypin@kujawy.psp.gov.pl
