"Kod";"Nazwa";"ogolem"
"1420021";"Raciąż (1)";"4146"
"1420032";"Baboszewo (2)";"7575"
"1420043";"Czerwińsk nad Wisłą (3)";"7315"
"1420044";"Czerwińsk nad Wisłą - miasto (4)";"1033"
"1420045";"Czerwińsk nad Wisłą - obszar wiejski (5)";"6282"
"1420052";"Dzierzążnia (2)";"3424"
"1420062";"Joniec (2)";"2725"
"1420072";"Naruszewo (2)";"6114"
"1420082";"Nowe Miasto (2)";"4576"
"1420092";"Płońsk (2)";"8243"
"1420102";"Raciąż (2)";"8043"
"1420113";"Sochocin (3)";"5745"
"1420114";"Sochocin - miasto (4)";"1967"
"1420115";"Sochocin - obszar wiejski (5)";"3778"
"1420122";"Załuski (2)";"5575"
"1421000";"Powiat pruszkowski";"176623"
"1421011";"Piastów (1)";"23281"
"1421021";"Pruszków (1)";"65283"
"1421033";"Brwinów (3)";"29536"
"1421034";"Brwinów - miasto (4)";"14448"
"1421035";"Brwinów - obszar wiejski (5)";"15088"
"1421042";"Michałowice (2)";"19040"
"1421052";"Nadarzyn (2)";"16809"
"1421062";"Raszyn (2)";"22674"
"1422000";"Powiat przasnyski";"50231"
"1422011";"Przasnysz (1)";"16662"
"1422023";"Chorzele (3)";"9540"
"1422024";"Chorzele - miasto (4)";"2990"
"1422025";"Chorzele - obszar wiejski (5)";"6550"
"1422032";"Czernice Borowe (2)";"3602"
"1422042";"Jednorożec (2)";"6744"
"1422052";"Krasne (2)";"3398"
"1422062";"Krzynowłoga Mała (2)";"3267"
"1422072";"Przasnysz (2)";"7018"
"1423000";"Powiat przysuski";"39683"
"1423012";"Borkowice (2)";"4150"
"1423022";"Gielniów (2)";"4368"
"1423032";"Klwów (2)";"3187"
"1423042";"Odrzywół (2)";"3455"
"1423052";"Potworów (2)";"4052"
"1423063";"Przysucha (3)";"11181"
"1423064";"Przysucha - miasto (4)";"5572"
"1423065";"Przysucha - obszar wiejski (5)";"5609"
"1423072";"Rusinów (2)";"4115"
"1423082";"Wieniawa (2)";"5175"
"1424000";"Powiat pułtuski";"50773"
"1424012";"Gzy (2)";"3624"
"1424022";"Obryte (2)";"4450"
"1424032";"Pokrzywnica (2)";"5158"
"1424043";"Pułtusk (3)";"24255"
"1424044";"Pułtusk - miasto (4)";"19327"
"1424045";"Pułtusk - obszar wiejski (5)";"4928"
"1424052";"Świercze (2)";"4525"
"1424062";"Winnica (2)";"4027"
"1424072";"Zatory (2)";"4734"
"1425000";"Powiat radomski";"151468"
"1425011";"Pionki (1)";"16779"
"1425022";"Gózd (2)";"9154"
"1425033";"Iłża (3)";"14027"
"1425034";"Iłża - miasto (4)";"4478"
"1425035";"Iłża - obszar wiejski (5)";"9549"
"1425042";"Jastrzębia (2)";"7160"
"1425052";"Jedlińsk (2)";"14531"
"1425062";"Jedlnia-Letnisko (2)";"13418"
"1425072";"Kowala (2)";"12340"
"1425082";"Pionki (2)";"9747"
"1425092";"Przytyk (2)";"7113"
"1425103";"Skaryszew (3)";"15201"
"1425104";"Skaryszew - miasto (4)";"4410"
"1425105";"Skaryszew - obszar wiejski (5)";"10791"
"1425112";"Wierzbica (2)";"9452"
"1425122";"Wolanów (2)";"8963"
"1425132";"Zakrzew (2)";"13583"
"1426000";"Powiat siedlecki";"80648"
"1426012";"Domanice (2)";"2529"
"1426022";"Korczew (2)";"2465"
"1426032";"Kotuń (2)";"8206"
"1426042";"Mokobody (2)";"4845"
"1426053";"Mordy (3)";"5512"
"1426054";"Mordy - miasto (4)";"1630"
"1426055";"Mordy - obszar wiejski (5)";"3882"
"1426062";"Paprotnia (2)";"2414"
"1426072";"Przesmyki (2)";"2914"
"1426082";"Siedlce (2)";"19236"
"1426092";"Skórzec (2)";"8074"
"1426102";"Suchożebry (2)";"4669"
"1426112";"Wiśniew (2)";"5696"
"1426122";"Wodynie (2)";"4246"
"1426132";"Zbuczyn (2)";"9842"
"1427000";"Powiat sierpecki";"49469"
"1427011";"Sierpc (1)";"17308"
"1427022";"Gozdowo (2)";"5787"
"1427032";"Mochowo (2)";"5641"
"1427042";"Rościszewo (2)";"3882"
"1427052";"Sierpc (2)";"6711"
"1427062";"Szczutowo (2)";"4054"
"1427072";"Zawidz (2)";"6086"
"1428000";"Powiat sochaczewski";"83875"
"1428011";"Sochaczew (1)";"34439"
"1428022";"Brochów (2)";"4435"
"1428032";"Iłów (2)";"6039"
"1428042";"Młodzieszyn (2)";"5546"
"1428052";"Nowa Sucha (2)";"6762"
"1428062";"Rybno (2)";"3424"
"1428072";"Sochaczew (2)";"11646"
"1428082";"Teresin (2)";"11584"
"1429000";"Powiat sokołowski";"51571"
"1429011";"Sokołów Podlaski (1)";"18526"
"1429022";"Bielany (2)";"3553"
"1429032";"Ceranów (2)";"1934"
"1429042";"Jabłonna Lacka (2)";"4323"
"1429053";"Kosów Lacki (3)";"5566"
"1429054";"Kosów Lacki - miasto (4)";"2013"
"1429055";"Kosów Lacki - obszar wiejski (5)";"3553"
"1429062";"Repki (2)";"4783"
"1429072";"Sabnie (2)";"3454"
"1429082";"Sokołów Podlaski (2)";"5880"
"1429092";"Sterdyń (2)";"3552"
"1430000";"Powiat szydłowiecki";"38255"
"1430012";"Chlewiska (2)";"5638"
"1430022";"Jastrząb (2)";"5123"
"1430032";"Mirów (2)";"3798"
"1430042";"Orońsko (2)";"5980"
"1430053";"Szydłowiec (3)";"17716"
"1430054";"Szydłowiec - miasto (4)";"10959"
"1430055";"Szydłowiec - obszar wiejski (5)";"6757"
"1432000";"Powiat warszawski zachodni";"130344"
"1432013";"Błonie (3)";"22096"
"1432014";"Błonie - miasto (4)";"12152"
"1432015";"Błonie - obszar wiejski (5)";"9944"
"1432022";"Izabelin (2)";"10737"
"1432032";"Kampinos (2)";"4468"
"1432042";"Leszno (2)";"10899"
"1432053";"Łomianki (3)";"30564"
"1432054";"Łomianki - miasto (4)";"18124"
"1432055";"Łomianki - obszar wiejski (5)";"12440"
"1432063";"Ożarów Mazowiecki (3)";"29627"
"1432064";"Ożarów Mazowiecki - miasto (4)";"14375"
"1432065";"Ożarów Mazowiecki - obszar wiejski (5)";"15252"
"1432072";"Stare Babice (2)";"21953"
"1433000";"Powiat węgrowski";"63173"
"1433011";"Węgrów (1)";"11993"
"1433022";"Grębków (2)";"4296"
"1433032";"Korytnica (2)";"5682"
"1433042";"Liw (2)";"7271"
"1433053";"Łochów (3)";"17502"
"1433054";"Łochów - miasto (4)";"6689"
"1433055";"Łochów - obszar wiejski (5)";"10813"
"1433062";"Miedzna (2)";"3685"
"1433072";"Sadowne (2)";"5586"
"1433082";"Stoczek (2)";"4632"
"1433092";"Wierzbno (2)";"2526"
"1434000";"Powiat wołomiński";"268443"
"1434011";"Kobyłka (1)";"27185"
"1434021";"Marki (1)";"42252"
"1434031";"Ząbki (1)";"43740"
"1434041";"Zielonka (1)";"18219"
"1434052";"Dąbrówka (2)";"8458"
"1434062";"Jadów (2)";"7215"
"1434072";"Klembów (2)";"10709"
"1434082";"Poświętne (2)";"6387"
"1434093";"Radzymin (3)";"29999"
"1434094";"Radzymin - miasto (4)";"14314"
"1434095";"Radzymin - obszar wiejski (5)";"15685"
"1434102";"Strachówka (2)";"2644"
"1434113";"Tłuszcz (3)";"20099"
"1434114";"Tłuszcz - miasto (4)";"8039"
"1434115";"Tłuszcz - obszar wiejski (5)";"12060"
"1434123";"Wołomin (3)";"51536"
"1434124";"Wołomin - miasto (4)";"36311"
"1434125";"Wołomin - obszar wiejski (5)";"15225"
"1435000";"Powiat wyszkowski";"73782"
"1435012";"Brańszczyk (2)";"8255"
"1435022";"Długosiodło (2)";"7549"
"1435032";"Rząśnik (2)";"6840"
"1435042";"Somianka (2)";"5635"
"1435053";"Wyszków (3)";"39400"
"1435054";"Wyszków - miasto (4)";"26349"
"1435055";"Wyszków - obszar wiejski (5)";"13051"
"1435062";"Zabrodzie (2)";"6103"
"1436000";"Powiat zwoleński";"35016"
"1436012";"Kazanów (2)";"4370"
"1436022";"Policzna (2)";"5283"
"1436032";"Przyłęk (2)";"5944"
"1436042";"Tczów (2)";"4835"
"1436053";"Zwoleń (3)";"14584"
"1436054";"Zwoleń - miasto (4)";"7417"
"1436055";"Zwoleń - obszar wiejski (5)";"7167"
"1437000";"Powiat żuromiński";"36617"
"1437013";"Bieżuń (3)";"4706"
"1437014";"Bieżuń - miasto (4)";"1758"
"1437015";"Bieżuń - obszar wiejski (5)";"2948"
"1437022";"Kuczbork-Osada (2)";"4414"
"1437033";"Lubowidz (3)";"6473"
"1437034";"Lubowidz - miasto (4)";"1587"
"1437035";"Lubowidz - obszar wiejski (5)";"4886"
"1437042";"Lutocin (2)";"4082"
"1437052";"Siemiątkowo (2)";"3278"
"1437063";"Żuromin (3)";"13664"
"1437064";"Żuromin - miasto (4)";"8592"
"1437065";"Żuromin - obszar wiejski (5)";"5072"
"1438000";"Powiat żyrardowski";"76014"
"1438011";"Żyrardów (1)";"39374"
"1438023";"Mszczonów (3)";"11454"
"1438024";"Mszczonów - miasto (4)";"6246"
"1438025";"Mszczonów - obszar wiejski (5)";"5208"
"1438032";"Puszcza Mariańska (2)";"8790"
"1438042";"Radziejowice (2)";"6252"
"1438053";"Wiskitki (3)";"10144"
"1438054";"Wiskitki - miasto (4)";"1423"
"1438055";"Wiskitki - obszar wiejski (5)";"8721"
"1461000";"Powiat m. Ostrołęka";"49805"
"1461011";"Ostrołęka (1)";"49805"
"1462000";"Powiat m. Płock";"114594"
"1462011";"Płock (1)";"114594"
"1463000";"Powiat m. Radom";"201601"
"1463011";"Radom (1)";"201601"
"1464000";"Powiat m. Siedlce";"76357"
"1464011";"Siedlce (1)";"76357"
"1465000";"Powiat m. st. Warszawa";"1860281"
"1465011";"M.st.Warszawa od 2002 (1)";"1860281"
"1465028";"Bemowo - dzielnica (8)";"129255"
"1465038";"Białołęka - dzielnica (8)";"150999"
"1465048";"Bielany - dzielnica (8)";"134557"
"1465058";"Mokotów - dzielnica (8)";"226667"
"1465068";"Ochota - dzielnica (8)";"79261"
"1465078";"Praga-Południe - dzielnica (8)";"187274"
"1465088";"Praga-Północ - dzielnica (8)";"61304"
"1465098";"Rembertów - dzielnica (8)";"24829"
"1465108";"Śródmieście - dzielnica (8)";"102936"
"1465118";"Targówek - dzielnica (8)";"124746"
"1465128";"Ursus - dzielnica (8)";"66684"
"1465138";"Ursynów - dzielnica (8)";"152749"
"1465148";"Wawer - dzielnica (8)";"85876"
"1465158";"Wesoła - dzielnica (8)";"26198"
"1465168";"Wilanów - dzielnica (8)";"50536"
"1465178";"Włochy - dzielnica (8)";"48919"
"1465188";"Wola - dzielnica (8)";"150919"
"1465198";"Żoliborz - dzielnica (8)";"56572"
"1600000";"OPOLSKIE";"954133"
"1601000";"Powiat brzeski";"87875"
"1601011";"Brzeg (1)";"34492"
"1601022";"Skarbimierz (2)";"8506"
"1601033";"Grodków (3)";"18406"
"1601034";"Grodków - miasto (4)";"8210"
"1601035";"Grodków - obszar wiejski (5)";"10196"
"1601043";"Lewin Brzeski (3)";"12692"
"1601044";"Lewin Brzeski - miasto (4)";"5668"
"1601045";"Lewin Brzeski - obszar wiejski (5)";"7024"
"1601052";"Lubsza (2)";"8993"
"1601062";"Olszanka (2)";"4786"
"1602000";"Powiat głubczycki";"43854"
"1602013";"Baborów (3)";"5822"
"1602014";"Baborów - miasto (4)";"2870"
"1602015";"Baborów - obszar wiejski (5)";"2952"
"1602022";"Branice (2)";"6358"
"1602033";"Głubczyce (3)";"21417"
"1602034";"Głubczyce - miasto (4)";"12100"
"1602035";"Głubczyce - obszar wiejski (5)";"9317"
"1602043";"Kietrz (3)";"10257"
"1602044";"Kietrz - miasto (4)";"5638"
"1602045";"Kietrz - obszar wiejski (5)";"4619"
"1603000";"Powiat kędzierzyńsko-kozielski";"89135"
"1603011";"Kędzierzyn-Koźle (1)";"56931"
"1603022";"Bierawa (2)";"7569"
"1603032";"Cisek (2)";"5449"
"1603042";"Pawłowiczki (2)";"7192"
"1603052";"Polska Cerekiew (2)";"3851"
"1603062";"Reńska Wieś (2)";"8143"
"1604000";"Powiat kluczborski";"62729"
"1604013";"Byczyna (3)";"8883"
"1604014";"Byczyna - miasto (4)";"3476"
"1604015";"Byczyna - obszar wiejski (5)";"5407"
"1604023";"Kluczbork (3)";"34734"
"1604024";"Kluczbork - miasto (4)";"22703"
"1604025";"Kluczbork - obszar wiejski (5)";"12031"
"1604032";"Lasowice Wielkie (2)";"6453"
"1604043";"Wołczyn (3)";"12659"
"1604044";"Wołczyn - miasto (4)";"5542"
"1604045";"Wołczyn - obszar wiejski (5)";"7117"
"1605000";"Powiat krapkowicki";"60611"
"1605013";"Gogolin (3)";"11737"
"1605014";"Gogolin - miasto (4)";"6429"
"1605015";"Gogolin - obszar wiejski (5)";"5308"
"1605023";"Krapkowice (3)";"22021"
"1605024";"Krapkowice - miasto (4)";"15786"
"1605025";"Krapkowice - obszar wiejski (5)";"6235"
"1605032";"Strzeleczki (2)";"7225"
"1605042";"Walce (2)";"5252"
"1605053";"Zdzieszowice (3)";"14376"
"1605054";"Zdzieszowice - miasto (4)";"10380"
"1605055";"Zdzieszowice - obszar wiejski (5)";"3996"
"1606000";"Powiat namysłowski";"42378"
"1606012";"Domaszowice (2)";"3498"
"1606023";"Namysłów (3)";"26375"
"1606024";"Namysłów - miasto (4)";"16942"
"1606025";"Namysłów - obszar wiejski (5)";"9433"
"1606032";"Pokój (2)";"5076"
"1606042";"Świerczów (2)";"3126"
"1606052";"Wilków (2)";"4303"
"1607000";"Powiat nyski";"131617"
"1607013";"Głuchołazy (3)";"22971"
"1607014";"Głuchołazy - miasto (4)";"13143"
"1607015";"Głuchołazy - obszar wiejski (5)";"9828"
"1607022";"Kamiennik (2)";"3259"
"1607033";"Korfantów (3)";"8529"
"1607034";"Korfantów - miasto (4)";"1723"
"1607035";"Korfantów - obszar wiejski (5)";"6806"
"1607042";"Łambinowice (2)";"7363"
"1607053";"Nysa (3)";"55160"
"1607054";"Nysa - miasto (4)";"42151"
"1607055";"Nysa - obszar wiejski (5)";"13009"
"1607063";"Otmuchów (3)";"13079"
"1607064";"Otmuchów - miasto (4)";"6360"
"1607065";"Otmuchów - obszar wiejski (5)";"6719"
"1607073";"Paczków (3)";"11855"
"1607074";"Paczków - miasto (4)";"6941"
"1607075";"Paczków - obszar wiejski (5)";"4914"
"1607082";"Pakosławice (2)";"3424"
"1607092";"Skoroszyce (2)";"5977"
"1608000";"Powiat oleski";"62192"
"1608013";"Dobrodzień (3)";"9244"
"1608014";"Dobrodzień - miasto (4)";"3510"
"1608015";"Dobrodzień - obszar wiejski (5)";"5734"
"1608023";"Gorzów Śląski (3)";"7066"
"1608024";"Gorzów Śląski - miasto (4)";"2430"
"1608025";"Gorzów Śląski - obszar wiejski (5)";"4636"
"1608033";"Olesno (3)";"17318"
"1608034";"Olesno - miasto (4)";"9122"
"1608035";"Olesno - obszar wiejski (5)";"8196"
"1608043";"Praszka (3)";"13110"
"1608044";"Praszka - miasto (4)";"7322"
"1608045";"Praszka - obszar wiejski (5)";"5788"
"1608052";"Radłów (2)";"4139"
"1608062";"Rudniki (2)";"7803"
"1608072";"Zębowice (2)";"3512"
"1609000";"Powiat opolski";"121025"
"1609012";"Chrząstowice (2)";"6975"
"1609022";"Dąbrowa (2)";"8123"
"1609032";"Dobrzeń Wielki (2)";"9176"
"1609042";"Komprachcice (2)";"9237"
"1609052";"Łubniany (2)";"9959"
"1609062";"Murów (2)";"5165"
"1609073";"Niemodlin (3)";"12852"
"1609074";"Niemodlin - miasto (4)";"6068"
"1609075";"Niemodlin - obszar wiejski (5)";"6784"
"1609083";"Ozimek (3)";"18612"
"1609084";"Ozimek - miasto (4)";"8211"
"1609085";"Ozimek - obszar wiejski (5)";"10401"
"1609092";"Popielów (2)";"7771"
"1609103";"Prószków (3)";"8853"
"1609104";"Prószków - miasto (4)";"2544"
"1609105";"Prószków - obszar wiejski (5)";"6309"
"1609112";"Tarnów Opolski (2)";"9402"
"1609123";"Tułowice (3)";"5009"
"1609124";"Tułowice - miasto (4)";"3748"
"1609125";"Tułowice - obszar wiejski (5)";"1261"
"1609132";"Turawa (2)";"9891"
"1610000";"Powiat prudnicki";"53018"
"1610013";"Biała (3)";"10151"
"1610014";"Biała - miasto (4)";"2348"
"1610015";"Biała - obszar wiejski (5)";"7803"
"1610023";"Głogówek (3)";"12970"
"1610024";"Głogówek - miasto (4)";"5642"
"1610025";"Głogówek - obszar wiejski (5)";"7328"
"1610032";"Lubrza (2)";"4185"
"1610043";"Prudnik (3)";"25712"
"1610044";"Prudnik - miasto (4)";"19747"
"1610045";"Prudnik - obszar wiejski (5)";"5965"
"1611000";"Powiat strzelecki";"72312"
"1611012";"Izbicko (2)";"5221"
"1611022";"Jemielnica (2)";"7018"
"1611033";"Kolonowskie (3)";"5703"
"1611034";"Kolonowskie - miasto (4)";"3183"
"1611035";"Kolonowskie - obszar wiejski (5)";"2520"
"1611043";"Leśnica (3)";"7593"
"1611044";"Leśnica - miasto (4)";"2599"
"1611045";"Leśnica - obszar wiejski (5)";"4994"
"1611053";"Strzelce Opolskie (3)";"29714"
"1611054";"Strzelce Opolskie - miasto (4)";"17512"
"1611055";"Strzelce Opolskie - obszar wiejski (5)";"12202"
"1611063";"Ujazd (3)";"6364"
"1611064";"Ujazd - miasto (4)";"1776"
"1611065";"Ujazd - obszar wiejski (5)";"4588"
"1611073";"Zawadzkie (3)";"10699"
"1611074";"Zawadzkie - miasto (4)";"6639"
"1611075";"Zawadzkie - obszar wiejski (5)";"4060"
"1661000";"Powiat m. Opole";"127387"
"1661011";"Opole (1)";"127387"
"1800000";"PODKARPACKIE";"2093360"
"1801000";"Powiat bieszczadzki";"21023"
"1801032";"Czarna (2)";"2383"
"1801052";"Lutowiska (2)";"2030"
"1801083";"Ustrzyki Dolne (3)";"16610"
"1801084";"Ustrzyki Dolne - miasto (4)";"8717"
"1801085";"Ustrzyki Dolne - obszar wiejski (5)";"7893"
"1802000";"Powiat brzozowski";"64190"
"1802013";"Brzozów (3)";"26240"
"1802014";"Brzozów - miasto (4)";"7366"
"1802015";"Brzozów - obszar wiejski (5)";"18874"
"1802022";"Domaradz (2)";"5864"
"1802032";"Dydnia (2)";"7677"
"1802042";"Haczów (2)";"9073"
"1802052";"Jasienica Rosielna (2)";"7645"
"1802062";"Nozdrzec (2)";"7691"
"1803000";"Powiat dębicki";"133742"
"1803011";"Dębica (1)";"44047"
"1803023";"Brzostek (3)";"12870"
"1803024";"Brzostek - miasto (4)";"2722"
"1803025";"Brzostek - obszar wiejski (5)";"10148"
"1803032";"Czarna (2)";"13384"
"1803042";"Dębica (2)";"25723"
"1803052";"Jodłowa (2)";"5279"
"1803063";"Pilzno (3)";"18133"
"1803064";"Pilzno - miasto (4)";"4931"
"1803065";"Pilzno - obszar wiejski (5)";"13202"
"1803072";"Żyraków (2)";"14306"
"1804000";"Powiat jarosławski";"117558"
"1804011";"Jarosław (1)";"36303"
"1804021";"Radymno (1)";"5114"
"1804032";"Chłopice (2)";"5372"
"1804042";"Jarosław (2)";"13142"
"1804052";"Laszki (2)";"6680"
"1804062";"Pawłosiów (2)";"8448"
"1804073";"Pruchnik (3)";"9407"
"1804074";"Pruchnik - miasto (4)";"3636"
"1804075";"Pruchnik - obszar wiejski (5)";"5771"
"1804082";"Radymno (2)";"11036"
"1804092";"Rokietnica (2)";"4253"
"1804102";"Roźwienica (2)";"6164"
"1804112";"Wiązownica (2)";"11639"
"1805000";"Powiat jasielski";"110770"
"1805011";"Jasło (1)";"33830"
"1805022";"Brzyska (2)";"6399"
"1805032";"Dębowiec (2)";"8797"
"1805042";"Jasło (2)";"16055"
"1805053";"Kołaczyce (3)";"8706"
"1805054";"Kołaczyce - miasto (4)";"1390"
"1805055";"Kołaczyce - obszar wiejski (5)";"7316"
"1805062";"Krempna (2)";"1746"
"1805072";"Nowy Żmigród (2)";"8841"
"1805082";"Osiek Jasielski (2)";"5240"
"1805092";"Skołyszyn (2)";"12149"
"1805112";"Tarnowiec (2)";"9007"
"1806000";"Powiat kolbuszowski";"61820"
"1806012";"Cmolas (2)";"8073"
"1806023";"Kolbuszowa (3)";"24466"
"1806024";"Kolbuszowa - miasto (4)";"8710"
"1806025";"Kolbuszowa - obszar wiejski (5)";"15756"
"1806032";"Majdan Królewski (2)";"9748"
"1806042";"Niwiska (2)";"6175"
"1806052";"Raniżów (2)";"6980"
"1806062";"Dzikowiec (2)";"6378"
"1807000";"Powiat krośnieński";"110042"
"1807012";"Chorkówka (2)";"13507"
"1807023";"Dukla (3)";"14099"
"1807024";"Dukla - miasto (4)";"2037"
"1807025";"Dukla - obszar wiejski (5)";"12062"
"1807033";"Iwonicz-Zdrój (3)";"10486"
"1807034";"Iwonicz-Zdrój - miasto (4)";"1619"
"1807035";"Iwonicz-Zdrój - obszar wiejski (5)";"8867"
"1807043";"Jedlicze (3)";"15063"
"1807044";"Jedlicze - miasto (4)";"5574"
"1807045";"Jedlicze - obszar wiejski (5)";"9489"
"1807052";"Korczyna (2)";"11182"
"1807062";"Krościenko Wyżne (2)";"5428"
"1807072";"Miejsce Piastowe (2)";"13418"
"1807083";"Rymanów (3)";"15515"
"1807084";"Rymanów - miasto (4)";"3634"
"1807085";"Rymanów - obszar wiejski (5)";"11881"
"1807092";"Wojaszówka (2)";"9246"
"1807102";"Jaśliska (2)";"2098"
"1808000";"Powiat leżajski";"67767"
"1808011";"Leżajsk (1)";"13164"
"1808022";"Grodzisko Dolne (2)";"7850"
"1808032";"Kuryłówka (2)";"5607"
"1808042";"Leżajsk (2)";"19991"
"1808053";"Nowa Sarzyna (3)";"21155"
"1808054";"Nowa Sarzyna - miasto (4)";"5599"
"1808055";"Nowa Sarzyna - obszar wiejski (5)";"15556"
"1809000";"Powiat lubaczowski";"53758"
"1809011";"Lubaczów (1)";"11619"
"1809023";"Cieszanów (3)";"6921"
"1809024";"Cieszanów - miasto (4)";"1867"
"1809025";"Cieszanów - obszar wiejski (5)";"5054"
"1809032";"Horyniec-Zdrój (2)";"4480"
"1809042";"Lubaczów (2)";"9041"
"1809053";"Narol (3)";"7691"
"1809054";"Narol - miasto (4)";"2031"
"1809055";"Narol - obszar wiejski (5)";"5660"
"1809063";"Oleszyce (3)";"6204"
"1809064";"Oleszyce - miasto (4)";"2875"
"1809065";"Oleszyce - obszar wiejski (5)";"3329"
"1809072";"Stary Dzików (2)";"4105"
"1809082";"Wielkie Oczy (2)";"3697"
"1810000";"Powiat łańcucki";"80994"
"1810011";"Łańcut (1)";"17768"
"1810022";"Białobrzegi (2)";"8699"
"1810032";"Czarna (2)";"12014"
"1810042";"Łańcut (2)";"21799"
"1810052";"Markowa (2)";"6390"
"1810062";"Rakszawa (2)";"7287"
"1810072";"Żołynia (2)";"7037"
"1811000";"Powiat mielecki";"134164"
"1811011";"Mielec (1)";"58213"
"1811022";"Borowa (2)";"5325"
"1811032";"Czermin (2)";"7044"
"1811042";"Gawłuszowice (2)";"2729"
"1811052";"Mielec (2)";"13556"
"1811062";"Padew Narodowa (2)";"5219"
"1811073";"Przecław (3)";"12015"
"1811074";"Przecław - miasto (4)";"1794"
"1811075";"Przecław - obszar wiejski (5)";"10221"
"1811083";"Radomyśl Wielki (3)";"14204"
"1811084";"Radomyśl Wielki - miasto (4)";"3329"
"1811085";"Radomyśl Wielki - obszar wiejski (5)";"10875"
"1811092";"Tuszów Narodowy (2)";"8267"
"1811102";"Wadowice Górne (2)";"7592"
"1812000";"Powiat niżański";"64825"
"1812012";"Harasiuki (2)";"5860"
"1812022";"Jarocin (2)";"5152"
"1812032";"Jeżowe (2)";"9918"
"1812042";"Krzeszów (2)";"4157"
"1812053";"Nisko (3)";"21696"
"1812054";"Nisko - miasto (4)";"14874"
"1812055";"Nisko - obszar wiejski (5)";"6822"
"1812063";"Rudnik nad Sanem (3)";"10005"
"1812064";"Rudnik nad Sanem - miasto (4)";"6565"
"1812065";"Rudnik nad Sanem - obszar wiejski (5)";"3440"
"1812073";"Ulanów (3)";"8037"
"1812074";"Ulanów - miasto (4)";"1406"
"1812075";"Ulanów - obszar wiejski (5)";"6631"
"1813000";"Powiat przemyski";"71929"
"1813012";"Bircza (2)";"6029"
"1813023";"Dubiecko (3)";"8910"
"1813024";"Dubiecko - miasto (4)";"845"
"1813025";"Dubiecko - obszar wiejski (5)";"8065"
"1813032";"Fredropol (2)";"5253"
"1813042";"Krasiczyn (2)";"5109"
"1813052";"Krzywcza (2)";"4590"
"1813062";"Medyka (2)";"6303"
"1813072";"Orły (2)";"8594"
"1813082";"Przemyśl (2)";"10681"
"1813092";"Stubno (2)";"3739"
"1813102";"Żurawica (2)";"12721"
"1814000";"Powiat przeworski";"76621"
"1814011";"Przeworsk (1)";"14881"
"1814022";"Adamówka (2)";"4071"
"1814032";"Gać (2)";"4524"
"1814042";"Jawornik Polski (2)";"4301"
"1814053";"Kańczuga (3)";"11925"
"1814054";"Kańczuga - miasto (4)";"2986"
"1814055";"Kańczuga - obszar wiejski (5)";"8939"
"1814062";"Przeworsk (2)";"14657"
"1814073";"Sieniawa (3)";"6816"
"1814074";"Sieniawa - miasto (4)";"2031"
"1814075";"Sieniawa - obszar wiejski (5)";"4785"
"1814082";"Tryńcza (2)";"8474"
"1814092";"Zarzecze (2)";"6972"
"1815000";"Powiat ropczycko-sędziszowski";"74006"
"1815012";"Iwierzyce (2)";"7715"
"1815022";"Ostrów (2)";"7331"
"1815033";"Ropczyce (3)";"27231"
"1815034";"Ropczyce - miasto (4)";"15815"
"1815035";"Ropczyce - obszar wiejski (5)";"11416"
"1815043";"Sędziszów Małopolski (3)";"23850"
"1815044";"Sędziszów Małopolski - miasto (4)";"12313"
"1815045";"Sędziszów Małopolski - obszar wiejski (5)";"11537"
"1815052";"Wielopole Skrzyńskie (2)";"7879"
"1816000";"Powiat rzeszowski";"173189"
"1816011";"Dynów (1)";"6085"
"1816023";"Błażowa (3)";"10839"
"1816024";"Błażowa - miasto (4)";"2116"
"1816025";"Błażowa - obszar wiejski (5)";"8723"
"1816033";"Boguchwała (3)";"21807"
"1816034";"Boguchwała - miasto (4)";"6220"
"1816035";"Boguchwała - obszar wiejski (5)";"15587"
"1816042";"Chmielnik (2)";"7325"
"1816052";"Dynów (2)";"6725"
"1816063";"Głogów Małopolski (3)";"19221"
"1816064";"Głogów Małopolski - miasto (4)";"10232"
"1816065";"Głogów Małopolski - obszar wiejski (5)";"8989"
"1816072";"Hyżne (2)";"6949"
"1816082";"Kamień (2)";"6864"
"1816092";"Krasne (2)";"12475"
"1816102";"Lubenia (2)";"6585"
"1816113";"Sokołów Małopolski (3)";"17334"
"1816114";"Sokołów Małopolski - miasto (4)";"4264"
"1816115";"Sokołów Małopolski - obszar wiejski (5)";"13070"
"1816122";"Świlcza (2)";"16467"
"1816132";"Trzebownisko (2)";"23361"
"1816143";"Tyczyn (3)";"11152"
"1816144";"Tyczyn - miasto (4)";"4325"
"1816145";"Tyczyn - obszar wiejski (5)";"6827"
"1817000";"Powiat sanocki";"91510"
"1817011";"Sanok (1)";"35546"
"1817022";"Besko (2)";"4424"
"1817032";"Bukowsko (2)";"5364"
"1817042";"Komańcza (2)";"4318"
"1817052";"Sanok (2)";"18077"
"1817062";"Tyrawa Wołoska (2)";"1967"
"1817073";"Zagórz (3)";"12831"
"1817074";"Zagórz - miasto (4)";"5046"
"1817075";"Zagórz - obszar wiejski (5)";"7785"
"1817082";"Zarszyn (2)";"8983"
"1818000";"Powiat stalowowolski";"103301"
"1818011";"Stalowa Wola (1)";"57620"
"1818022";"Bojanów (2)";"7574"
"1818032";"Pysznica (2)";"11543"
"1818042";"Radomyśl nad Sanem (2)";"7296"
