name|phone|email|fax|website|official_name|addr:postcode|addr:city|addr:place|addr:street|addr:housenumber|addr:door|@lat|@lon|@id
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 32 672 12 10|psse.zawiercie@pis.gov.pl|+48 32 672 12 10|www.gov.pl/psse-zawiercie|Powiatowa Stacja Sanitarno-Epidemiologiczna w Zawierciu|42-400|Zawiercie||11 Listopada|15||50.4933460|19.4173538|way/292555061
Powiatowa Stacja Sanitarno-Epidemiologiczna w Pleszewie|+48625081330|psse.pleszew@pis.gov.pl||http://www.psse-pleszew.pl/||63-300|Pleszew||Poznańska|30||51.8971851|17.7821643|way/295507738
Powiatowa Stacja Sanitarno - Epidemiologiczna||||https://pssetychy.pis.gov.pl||43-100|Tychy||Budowlanych|||50.1284721|18.9698437|way/299654832
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 82 565 34 21|psse.chelm@pis.gov.pl|+48 82 565 30 13|www.gov.pl/web/psse-chelm|Powiatowa Stacja Sanitarno-Epidemiologiczna w Chełmie|22-100|Chełm||Szpitalna|48||51.1502215|23.4574937|way/300052245
Powiatowa Stacja Sanitarno-Epidemiologiczna w Kutnie|+48 024 355 71 100|psse.kutno@pis.gov.pl||http://www.pis.lodz.pl/kutno/|||Kutno||Tadeusza Kościuszki|14||52.2327153|19.3643922|way/300354971
Powiatowa Stacja Sanitarno - Epidemiologiczna||||||06-500|Mława||Plac 1 Maja|6||53.1116452|20.3849715|way/301268298
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 62 737 89 00|psse.ostrowwlkp@pis.gov.pl|+48 62 737 89 20|http://www.psse-ostrow.pl/|Powiatowa Stacja Sanitarno-Epidemiologiczna w Ostrowie Wielkopolskim|63-400|Ostrów Wielkopolski|Plac Stefana Rowińskiego||3||51.6488818|17.8191586|way/303617131
Powiatowa Stacja Epidemiologiczna|+48 17 221 83 21|psse.ropczyce@pis.gov.pl|+48 17 221 83 21|https://www.gov.pl/web/psse-ropczyce|Powiatowa Stacja Sanitarno-Epidemiologiczna w Ropczycach|39-100|Ropczyce||Adama Mickiewicza|57||50.0548182|21.6210863|way/305963898
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 22 755 57 76|grodzisk@psse.waw.pl||www.grodzisk.psse.waw.pl|Powiatowa Stacja Sanitarno-Epidemiologiczna w Grodzisku Mazowieckim|05-825|Grodzisk Mazowiecki||Franciszka Żwirki i Stanisława Wigury|10||52.1067875|20.6180442|way/311527664
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 58 562 40 12|psse.starogardgdanski@pis.gov.pl|+48 58 562 40 11|http://www.psse-starogard.pl/|Powiatowa Stacja Sanitarno-Epidemiologiczna w Starogardzie Gdańskim|83-200|Starogard Gdański||Kanałowa|5||53.9689529|18.5329058|way/312216360
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 81 884 36 73|psse.krasnik@pis.gov.pl|+48 81 884 36 73|www.gov.pl/web/psse-krasnik|Powiatowa Stacja Sanitarno-Epidemiologiczna w Kraśniku|23-200|Kraśnik||Tadeusza Kościuszki|36||50.9206038|22.2162386|way/337542608
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 18 206 86 97|zakopane@psse.malopolska.pl|+48 18 206 84 10|https://www.gov.pl/web/psse-zakopane|Powiatowa Stacja Sanitarno-Epidemiologiczna w Zakopanem|34-500|Zakopane||Chramcówki|19a||49.3033182|19.9609705|way/348785815
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 34 311 34 95|pajeczno@pis.lodz.pl|+48 34 311 39 27|www.gov.pl/web/psse-pajeczno|Powiatowa Stacja Sanitarno-Epidemiologiczna w Pajęcznie|98-330|Pajęczno||Stefana Żeromskiego|7||51.1502146|18.9886578|way/351807362
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 22 250 01 15|psse.kielce@pis.gov.pl|+48 41 345 46 23|www.gov.pl/web/psse-kielce|Powiatowa Stacja Sanitarno-Epidemiologiczna w Kielcach|25-819|Kielce||Leona Skibińskiego|4||50.8559703|20.5542825|way/352409436
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 41 389 04 50|miechow@psse.malopolska.pl|+48 41 383 11 59|https://www.gov.pl/web/psse-miechow|Powiatowa Stacja Sanitarno-Epidemiologiczna w Miechowie|32-200|Miechów||Marii Konopnickiej|6a||50.3582252|20.0366522|way/357273773
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 81 470 84 39|psse.opolelubelskie@pis.gov.pl|+48 81 827 20 41|www.gov.pl/web/psse-opole-lubelskie|Powiatowa Stacja Sanitarno-Epidemiologiczna w Opolu Lubelskim|24-300|Opole Lubelskie||Puławska|1||51.1506789|21.9706049|way/358717766
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 46 855 38 13|zyrardow@psse.waw.pl|+48 46 855 38 13|https://www.gov.pl/web/psse-zyrardow|Powiatowa Stacja Sanitarno-Epidemiologiczna w Żyrardowie|96-300|Żyrardów||Stanisława Moniuszki|40||52.0572385|20.4503683|way/359652313
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 82 576 28 32|psse.krasnystaw@pis.gov.pl|+48 82 576 28 32|https://www.gov.pl/web/psse-krasnystaw|Powiatowa Stacja Sanitarno-Epidemiologiczna w Krasnymstawie|22-300|Krasnystaw||Sikorskiego|3A||50.9815337|23.1703318|way/361798986
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 91 418 23 22|psse.goleniow@pis.gov.pl|+48 91 418 31 95|https://www.gov.pl/web/psse-goleniow||72-100|Goleniów||Pocztowa|36||53.5635083|14.8331550|way/362896046
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 22 776 38 33|wolomin@psse.waw.pl|+48 22 776 38 33|www.wolomin.psse.waw.pl|Powiatowa Stacja Sanitarno-Epidemiologiczna w Wołominie|05-200|Wołomin||Legionów|76||52.3387827|21.2417077|way/363606345
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 83 352 74 16|psse.radzynpodlaski@pis.gov.pl|+48 83 352 74 16|https://www.gov.pl/web/psse-radzyn-podlaski|Powiatowa Stacja Sanitarno-Epidemiologiczna w Radzyniu Podlaskim|21-300|Radzyń Podlaski||Pocztowa|5||51.7842652|22.6194348|way/365479890
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 41 247 96 95|sekretariat.psse.ostrowiec@sanepid.gov.pl|+48 41 247 96 97|https://www.gov.pl/web/psse-ostrowiec-swietokrzyski/dane-kontaktowe|Powiatowa Stacja Sanitarno-Epidemiologiczna w Ostrowcu-Świętokrzyskim|27-400|Ostrowiec Świętokrzyski||Smolna|3||50.9352937|21.3832860|way/366093411
Powiatowa Stacja Sanitarno-Epidemiologiczna||||||64-100|Leszno||Niepodległości|66||51.8457875|16.5882968|way/366769047
Powiatowa Stacja Sanitarno Epidemiologiczna|+48 84 696 50 10|psse.hrubieszow@pis.gov.pl|+48 84 696 50 10|https://www.gov.pl/web/psse-hrubieszow|Powiatowa Stacja Sanitarno Epidemiologiczna w Hrubieszowie|22-500|Hrubieszów||27 Wołyńskiej Dywizji Piechoty AK|6||50.8065837|23.8891416|way/367020314
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 84 664 44 78|psse.tomaszowlubelski@pis.gov.pl|+48 84 664 23 61|https://www.gov.pl/web/psse-tomaszow-lubelski|Powiatowa Stacja Sanitarno-Epidemiologiczna w Tomaszowie Lubelskim|22-600|Tomaszów Lubelski||Lwowska|51||50.4476528|23.4166620|way/373351424
Powiatowa Stacja Sanitarno-Epidemiologiczna w Lwówku Śląskim||||||59-601|Lwówek Śląski||Partyzantów|6||51.1117801|15.5790886|way/394446127
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 75 645 01 40|psse.kamiennagora@pis.gov.pl|+48 75 645 01 41|https://www.gov.pl/web/psse-kamienna-gora|Powiatowa Stacja Sanitarno-Epidemiologiczna w Kamiennej Górze|58-400|Kamienna Góra||Henryka Sienkiewicza|5||50.7813289|16.0291939|way/396984996
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 13 446 30 08|psse.jaslo@pis.gov.pl|+48 13 446 34 66|https://www.gov.pl/web/psse-jaslo|Powiatowa Stacja Sanitarno-Epidemiologiczna w Jaśle|38-200|Jasło||Antoniego Koralewskiego|13||49.7472794|21.4716711|way/405609246
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 46 862 22 66|sochaczew@psse.waw.pl|+48 46 862 22 66|http://www.sochaczew.psse.waw.pl/||96-500|Sochaczew||Romualda Traugutta|18||52.2269868|20.2372875|way/423654052
Powiatowa Stacja Sanitarno- Epidemiologiczna w Kłobucku|+48 343172260|||||42-100|Kłobuck||Stanisława Staszica|||50.8994066|18.9355679|way/425762150
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 77 471 07 17|psse.glubczyce@pis.gov.pl|+48 77 471 07 18|www.psseglubczyce.pis.gov.pl|Powiatowa Stacja Sanitarno-Epidemiologiczna w Głubczycach|48-100|Głubczyce||Grunwaldzka|1b||50.2036181|17.8284563|way/427376449
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 22 756 43 33|piaseczno@psse.waw.pl|+48 22 756 46 20|www.piaseczno.psse.waw.pl|Powiatowa Stacja Sanitarno-Epidemiologiczna w Piasecznie z siedzibą w Chylicach|05-510|Chylice||Dworska|7||52.0804917|21.0672474|way/438894300
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 25 798 21 96|psse.lukow@pis.gov.pl|+48 25 798 71 78|www.gov.pl/web/psse-lukow|Powiatowa Stacja Sanitarno-Epidemiologiczna w Łukowie|21-400|Łuków||Spółdzielcza|4||51.9289879|22.3800702|way/439243691
Powiatowa Stacja Sanitarno - Epidemiologiczna Województwa Łódzkiego|+48 43 675 22 94|psse.lask@pis.gov.pl|+48 43 676 34 16|http://www.pis.lodz.pl/lask/||98-100|Łask||Warszawska|38||51.5901083|19.1471205|way/449027980
Powiatowa Stacja Sanitarno-Epidemiologiczna Stalowa Wola|+48 15 842 51 30|psse.stalowawola@pis.gov.pl|+48 15 842 11 81|https://www.gov.pl/web/psse-stalowa-wola||37-450|Stalowa Wola||Niezłomnych|66||50.5707377|22.0484351|way/550429920
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 22 779 48 33|otwock@psse.waw.pl|+48 22 779 48 33|http://otwock.psse.waw.pl/|Powiatowa Stacja Sanitarno-Epidemiologiczna w Otwocku|05-400|Otwock||Jana Kilińskiego|1||52.1085393|21.2770078|way/556552821
Powiatowa Stacja Sanitarno-Epidemiologiczna w Gdyni|+48 58 620 17 98|||https://psse.gdynia.pl/||81-355|Gdynia||Starowiejska|50||54.5213088|18.5336318|way/783281162
Powiatowa Stacja Sanitarno-Epidemiologiczna||||||12-200|Pisz||Warszawska|5||53.6258577|21.8125596|way/865957350
Powiatowa Stacja Sanitarno-Epidemiologiczna|+48 81 855 22 07|psse.lubartow@pis.gov.pl|+48 81 855 24 43|https://www.gov.pl/web/psse-lubartow|Powiatowa Stacja Sanitarno-Epidemiologiczna w Lubartowie|21-100|Lubartów||Lubelska|103||51.4500527|22.6124482|way/1081138968
Wojewódzka Stacja Sanitarno-Epidemiologiczna||||http://www.wsse.wroc.pl||50-371|Wrocław||Marii Curie-Skłodowskiej|||51.1089336|17.0661152|way/1097966669
