NAZWA|WOJEWÓDZTWO|POWIAT|MIEJSCOWOŚĆ|ULICA|NRDOMU|KOD POCZTOWY|NRTEL||NRFAX|NR FAXU 2    wraz z nr kierunkowym|EMAIL|ADRES 2 E-MAIL URZĘDU|WWW|SZEROKOŚĆ GEOGRAFICZNA|DŁUGOŚĆ GEOGRAFICZNA|@lat|@lon|@id
Powiatowa Stacja Sanitarno-Epidemiologiczna w Tomaszowie Mazowieckim|łódzkie|tomaszowski|Tomaszów Mazowiecki|Majowa||97-200|44 724-49-35|44 724-45-84|44 724-51-17||tomaszow@pis.lodz.pl||www.gov.pl/web/psse-tomaszow-mazowiecki|51.5314|20.0219|51.5308364|20.0277032|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Wieluniu|łódzkie|wieluński|Wieluń|POW|14|98-300|43 843-40-70|43 843-39-21|43 843-40-35||wielun@pis.lodz.pl||www.pssewielun.pl|51.2187|18.5807|51.2185086|18.5813999|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Wieruszowie|łódzkie|wieruszowski|Wieruszów|Warszawska|75|98-400|62 783-19-90||62 783-19-90||wieruszow@pis.lodz.pl||www.gov.pl/web/psse-wieruszow|51.2946|18.1608|51.2950871|18.1606979|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Zduńskiej Woli|łódzkie|zduńskowolski|Zduńska Wola|Łaska|13|98-220|43 823-21-99|43 823-41-40|43 823-41-96|43 823-99-37|psse.zdunskawola@pis.gov.pl|zdunskawola@pis.lodz.pl|www.gov.pl/web/psse-zdunska-wola|51.6009|18.9365|51.60092015|18.936532501|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Olkuszu|małopolskie|olkuski|Olkusz|AL. 1000 lecia|13 a|32-300|32 754 57 20||32 754 57 50||psse.olkusz@pis.gov.pl|olkusz@psse.malopolska.pl|https://www.gov.pl/web/psse-olkusz|50.2693|19.5693|50.2681696|19.5707082|node/3029757321
Wojewódzka Stacja Sanitarno-Epidemiologiczna w Warszawie|mazowieckie|m.st. Warszawa|Warszawa|Żelazna|79|00-875|22 620 90 01||||sekretariat@wsse.waw.pl||www.gov.pl/web/wsse-warszawa|52.2379|20.9883|52.23753065|20.988130543|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Białobrzegach|mazowieckie|białobrzeski|Białobrzegi|Krakowska|28|26-800|48 613 23 60|48 613 29 53|48 613 23 60||bialobrzegi@psse.waw.pl||www.gov.pl/web/psse-bialobrzegi|51.6495|20.9542|51.6493759|20.9541642|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Ciechanowie|mazowieckie|ciechanowski|Ciechanów|Henryka Sienkiewicza|27|06-400|23 672 33 13|23 672 41 63|23 672 41 44||ciechanow@psse.waw.pl||www.ciechanow.psse.waw.pl|52.8787|20.6020|52.8786053|20.60176|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Garwolinie|mazowieckie|garwoliński|Garwolin|ks. kard. Stefana Wyszyńskiego|13|08-400|25 684 35 95|25 684 33 08|||psse.garwolin@pis.gov.pl|garwolin@psse.waw.pl|www.gov.pl/web/psse-garwolin|51.8924|21.6080|51.9550074|21.528277927|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Gostyninie|mazowieckie|gostyniński|Gostynin|Bierzewicka|67|09-500|24 235 22 04||24 235 22 56||gostynin@psse.waw.pl||www.gov.pl/web/psse-gostynin|52.44724|19.4674|52.44727|19.4672665|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Grodzisku Mazowieckim|mazowieckie|grodziski|Grodzisk Mazowiecki|Żwirki i Wigury|10|05-825|22 755 57 76|22 755 59 51|||grodzisk@psse.waw.pl||www.grodzisk.psse.waw.pl|52.10672|20.61803|52.10678795|20.618060737|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Grójcu|mazowieckie|grójecki|Grójec|Mogielnicka|67|05-600|48 664 22 58|48 664 35 04|48 664 35 27||grojec@psse.waw.pl||www.grojec.psse.waw.pl|51.8610|20.8561|51.860959|20.85618305|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Kozienicach|mazowieckie|kozienicki|Kozienice|Sławna|27|26-900|48 611 04 20||48 614 24 43||kozienice@psse.waw.pl||www.gov.pl/web/psse-kozienice|51.5864|21.5469|51.58642135|21.546887574|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Legionowie|mazowieckie|legionowski|Legionowo|gen. Władysława Sikorskiego|11|05-119|22 774 15 76||22 774 02 52||legionowo@psse.waw.pl||www.legionowo.psse.waw.pl|52.4218|20.9390|52.4216047|20.9387871|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Lipsku|mazowieckie|lipski|Lipsko|Iłżecka|6|27-300|48 378 00 87|48 378 02 44|||lipsko@psse.waw.pl||www.lipsko.psse.waw.pl|51.1594|21.6474|51.1594306|21.6481118|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Łosicach|mazowieckie|łosicki|Łosice|Jana Kilińskiego|2|08-200|83 357 36 60|83 357 36 28|83 357 36 28||losice@psse.waw.pl||www.losice.psse.waw.pl|52.1245|22.4335|52.21255125|22.717646962|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Makowie Maz.|mazowieckie|makowski|Maków Mazowiecki|Adama Mickiewicza|31|06-200|29 717 13 00|29 717 12 44|29 717 13 00|29 717 12 44|makow@psse.waw.pl||/www.gov.pl/web/psse-makow-mazowiecki|52.8646|21.094|52.8645741|21.0940786|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Mińsku Mazowieckim|mazowieckie|miński|Mińsk Mazowiecki|plac Jana Kilińskiego|10|05-300|25 758 22 32|25 758 63 78|25 758 22 32|25 758 63 78|minsk@psse.waw.pl||www.minsk.psse.waw.pl|52.1799|21.5669|52.17979405|21.5664796|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Nowym Dworze Mazowieckim|mazowieckie|nowodworski|Nowy Dwór Mazowiecki|Chemików|6|05-100|22 775 34 61|||22 775 34 61|nowydwor@psse.waw.pl||www.nowydwor.psse.waw.pl|52.4297|20.7255|52.4298097|20.726037019|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Mławie|mazowieckie|mławski|Mława|plac 1 Maja|6|06-500|23 654 35 73|23 654 33 36|23 654 35 73|23 654 33 36|mlawa@psse.waw.pl||www.mlawa.psse.waw.pl|53.1115|20.3850|53.11164835|20.38497112|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Ostrołece|mazowieckie|m. Ostrołęka i pow. ostrołęcki|Ostrołęka|Targowa|4|07-410|29 769 14 73|29 769 12 95|29 760 50 51||ostroleka@psse.waw.pl||https://www.gov.pl/web/psse-ostroleka|53.0843|21.5900|53.08417085|21.589940477|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Ostrowi Maz.|mazowieckie|ostrowski|Ostrów Mazowiecka|gen. Władysława Sikorskiego|3|07-300|29 644 06 80|26 646 52 31|29 745 34 50||ostrow@psse.waw.pl||https://www.gov.pl/web/psse-ostrow-mazowiecka|52.8033|21.8905|52.8033228|21.890488137|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Otwocku|mazowieckie|otwocki|Otwock|Kilińskiego|1|05-400|22 779 48 33|22 779 26 63|22 779 48 33||otwock@psse.waw.pl||www.otwock.psse.waw.pl|52.1084|21.2765|52.10854555|21.276993047|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Piasecznie z/s w Chylicach|mazowieckie|piaseczyński|Chylice|Dworska|7|05-510|22 756 43 33|22 737 09 29|22 756 46 20||piaseczno@psse.waw.pl||www.piaseczno.psse.waw.pl|52.0805|21.0672|52.0804848|21.067247668|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Płocku|mazowieckie|m. Płock i pow. płocki|Płock|Kolegialna|20|09-402|24 367 26 01||24 264 75 09||psse.plock@pis.gov.pl|plock@psse.waw.pl|www.gov.pl/web/psse-plock|52.5422|19.6959|52.5422823|19.695648|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Płońsku|mazowieckie|płoński|Płońsk|Sienkiewicza|7a|09-100|23 662 28 39||23 662 28 39||plonsk@psse.waw.pl||www.plonsk.psse.waw.pl|52.6291|20.3749|52.6297414|20.3755811|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Pruszkowie|mazowieckie|pruszkowski|Pruszków|Armii Krajowej||05-800|22 758 75 26|22 759 88 28|||pruszkow@psse.waw.pl|pruszkow@psse.pruszkow.pl|www.pruszkow.psse.waw.pl|52.1601|20.8189|52.1595545|20.8156704|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Przasnyszu|mazowieckie|przasnyski|Przasnysz|Gołymińska|13|06-300|29 752 25 04|29 752 25 05|29 752 25 04||przasnysz@psse.waw.pl||www.gov.pl/web/psse-przasnysz|53.0103|20.8848|53.00990425|20.884736417|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Przysusze|mazowieckie|przysuski|Przysucha|Szkolna|7|26-400|48 675 24 22|48 675 23 37|48 675 23 37||przysucha@psse.waw.pl||www.przysucha.psse.waw.pl|51.3613|20.6336|51.36143305|20.633475471|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Pułtusku|mazowieckie|pułtuski|Pułtusk|3 Maja|20|06-100|23 692 50 71|-|23 692 61 66||pultusk@psse.waw.pl|psse.pultusk@pis.gov.pl|https://www.gov.pl/web/psse-pultusk|52.7076|21.0823|52.7079214|21.0845115|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Radomiu|mazowieckie|m. Radom i pow. radomski|Radom|gen. Leopolda Okulickiego|9D|26-601|48 345 15 89|48 345 15 94|48 333 20 23|48 330 90 32|radom@psse.waw.pl||www.radom.psse.waw.pl|51.4033|21.1383|51.4040042|21.1374987|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Siedlcach|mazowieckie|m. Siedlce i pow. siedlecki|Siedlce|Poniatowskiego|31|08-110| 25 644 20 40||25 632 61 37| 25 633 98 92|siedlce@psse.waw.pl||www.siedlce.psse.waw.pl|52.1761|22.2885|52.17618865|22.288515345|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Sierpcu|mazowieckie|sierpecki|Sierpc|Piastowska|24a|09-200|24 275 26 01|24 275 26 01|24 275 26 01||sierpc@psse.waw.pl||www.sierpc.psse.waw.pl|52.8527|19.6662|52.8526597|19.666164826|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Sochaczewie|mazowieckie|sochaczewski|Sochaczew|Traugutta|18|96-500|46 862 22 66|46 862 31 47|46 862 22 66|46 862 31 47|sochaczew@psse.waw.pl||www.sochaczew.psse.waw.pl|52.2269|20.2371|52.2269629|20.237278447|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Sokołowie Podlaskim|mazowieckie|sokołowski|Sokołów Podlaski|Oleksiaka Wichury|3|08-300|25 506 50 10||25 506 50 20||sokolow@psse.waw.pl||www.sokolow.psse.waw.pl|52.4113|22.2185|52.4110314|22.217102438|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Szydłowcu|mazowieckie|szydłowiecki|Szydłowiec|Metalowa|7|26-500|48 617 12 19||48 617 12 19||szydlowiec@psse.waw.pl||www.gov.pl/web/psse-szydlowiec|51.2355|20.8665|51.2355272|20.8665628|
Powiatowa Stacja Sanitarno-Epidemiologiczna w m.st. Warszawie|mazowieckie|m.st. Warszawa|Warszawa|Jana Kochanowskiego|21|01-864|22 310 79 00|22 310 79 77|||kancelaria@pssewawa.pl||www.gov.pl/web/psse-warszawa|52.2673|20.9497|52.26714835|20.949545507|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Powiecie Warszawskim Zachodnim|mazowieckie|warszawski zachodni|Ożarów Mazowiecki|Poznańska|129/133|05-850|22 733 73 33||||ozarow@psse.waw.pl||www.ozarow.psse.waw.pl|52.2075|20.8163|52.2101181|20.8194002|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Węgrowie|mazowieckie|węgrowski|Węgrów|kard. Stefana Wyszyńskiego|3|07-100|25 792 42 27|25 792 42 51|25 792 53 81||wegrow@psse.waw.pl||www.wegrow.psse.waw.pl|52.3962|22.0188|52.3962464|22.0186764|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Wołominie|mazowieckie|wołomiński|Wołomin|Legionów|78|05-200|22 776 38 33|22 776 21 92|22 776 38 33||wolomin@psse.waw.pl|sekretariat@psse.waw.pl|www.wolomin.psse.waw.pl|52.3388|21.2418|52.33807|21.24207|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Wyszkowie|mazowieckie|wyszkowski|Wyszków|Ignacego Daszyńskiego|28|07-200|29 742 32 54|29 742 32 45|||wyszkow@psse.waw.pl||www.wyszkow.psse.waw.pl|52.5941|21.4579|52.59411995|21.458005502|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Zwoleniu|mazowieckie|zwoleński|Zwoleń|Bogusza|37|26-700|48 676 23 12|48 676 47 12|48 676 23 12||zwolen@psse.waw.pl||www.zwolen.psse.waw.pl|51.3587|21.5771|51.35838975|21.577050047|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Żurominie|mazowieckie|żuromiński|Żuromin|Przemysłowa|10|09-300|23 657 22 17|23 657 38 88|23 657 22 17|23 657 38 88|zuromin@psse.waw.pl|-|www.zuromin.psse.waw.pl|53.0719|19.8978|53.0718784|19.8976932|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Żyrardowie|mazowieckie|żyrardowski|Żyrardów|Moniuszki|40|96-300|46 855 38 13|46 855 32 42|46 855 38 13|46 855 32 42|zyrardow@psse.waw.pl||https://www.gov.pl/web/psse-zyrardow|52.0574|20.4505|52.05723855|20.45036825|
Wojewódzka Stacja Sanitarno-Epidemiologiczna w Opolu|opolskie||Opole|Mickiewicza|1|45-367|77-44-26-901||77-44-26-904||wsse.opole@pis.gov.pl||www.wsseopole.pis.gov.pl|50.6662|17.9385|50.66710555|17.93784885|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Opolu|opolskie|opolski|Opole|Krakowska|51|45-018|77-44-28-500||77-44-28-505||psse.opole@pis.gov.pl||www.psseopole.pis.gov.pl|50.6643|17.9255|50.66431365|17.925495319|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Brzegu|opolskie|brzeski|Brzeg|Armii Krajowej|22|49-300|77-44-41-850||77-44-41-840||sekretariat@pssebrzeg.pol.pl||www.pssebrzeg.pol.pl|50.8573|17.4635|50.8576368|17.4636344|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Głubczycach|opolskie|głubczycki|Głubczyce|Grunwaldzka|1b|48-100|77-47-10-717||77-47-10-718||psse.glubczyce@pis.gov.pl||www.psseglubczyce.pis.gov.pl|50.2034|17.8273|50.20361255|17.828450515|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Kędzierzynie Koźlu|opolskie|kedzierzyńsko-kozielski|Kędzierzyn-Koźle|Anny|14|47-200|77-48-21-174||77-48-23-960||psse.kedzierzynkozle@pis.gov.pl||www.pssekedzierzyn.pis.gov.pl|50.3347|18.1473|50.3346806|18.1473278|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Kluczborku|opolskie|kluczborski|Kluczbork|Jagiellońska|8|46-200|77-41-82-257||77-44-72-002||psse.kluczbork@pis.gov.pl||www.pssekluczbork.pis.gov.pl|50.9744|18.2172|50.9743351|18.217234731|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Krapkowicach|opolskie|krapkowicki|Krapkowice|Ks. Koziołka|30|47-303|77-44-66-740||77-44-66-741||psse.krapkowice@pis.gov.pl||www.pssekrapkowice.pis.gov.pl|50.4833|17.9758|50.48309595|17.975791103|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Namysłowie|opolskie|namysłowski|Namysłów|Piłsudskiego|13|46-100|77-41-90-480||77-41-90-480||psse.namyslow@pis.gov.pl  ||www.pssenamyslow.pis.gov.pl|51.0732|17.7245|51.07350525|17.724803876|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Nysie|opolskie|nyski|Nysa|Żeromskiego|07-09|48-304|77-43-30-078||77-43-30-079||psse.nysa@pis.gov.pl||www.pssenysa.pl|50.4667|17.3322|50.466842|17.3315533|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Oleśnie|opolskie|oleski|Olesno|Wielkie Przedmieście|7|46-300|34-35-82-673||34-35-82-684||psse.olesno@pis.gov.pl||www.psse.olesno.info.pl|50.8749|18.4175|50.8748074|18.417512535|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Prudniku|opolskie|prudnicki|Prudnik|Klasztorna|4|48-200|77-43-62-074||7743-62-074||psse.prudnik@pis.gov.pl||www.psseprudnik.pis.gov.pl|50.321|17.5776|50.3210303|17.577587578|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Strzelcach Opolskich|opolskie|strzelecki|Strzelce Opolskie|Piłsudskiego|20|47-100|77-44-00-313||77-44-00-323||psse.strzelceopolskie@pis.gov.pl||www.pssestrzelce.pis.gov.pl|50.5135|18.3042|50.513547|18.304156249|
Wojewódzka Stacja Sanitarno-Epidemiologiczna w Rzeszowie|podkarpackie|rzeszowski|Rzeszów|Wierzbowa|16|35-959|17 852 21 11||17 852 22 92||dyzur@wsse.rzeszow.pl||http://www.wsse.rzeszow.pl/|50.34|22.145|50.0340299|22.014633474|
Wojewódzka Stacja Sanitarno-Epidemiologiczna Oddział LAB w Przemyślu|podkarpackie|przemyski|Przemyśl|Mariacka|4|37-700|16 678 88 58||16 678 85 58||przemysl@wsse.rzeszow.pl||https://www.gov.pl/web/wsse-rzeszow/laboratoria-pis|49.7842|22.7904|49.784252|22.7903972|
Wojewódzka Stacja Sanitarno-Epidemiologiczna Oddział LAB w Tarnobrzegu|podkarpackie|tarnobrzeski|Tarnobrzeg|1-Maja|5|39-400|15 823 44 10||15 823 44 52||tarnobrzeg@wsse.rzeszow.pl||https://www.gov.pl/web/wsse-rzeszow/laboratoria-pis|50.5697|21.6655|50.569383|21.6650171|
Wojewódzka Stacja Sanitarno-Epidemiologiczna Oddział LAB w Sanoku|podkarpackie|sanocki|Sanok|Jezierskiego|39|38-500|13 463 39 23||13 464 57 65||sanok@wsse.rzeszow.pl||https://www.gov.pl/web/wsse-rzeszow/laboratoria-pis|49.5505|22.2008|49.55034075|22.201037147|
Powiatowa Stacja Sanitarno-Epidemiologiczna Brzozów|podkarpackie|brzozowski|Brzozów|Moniuszki|17|36-200|13 434 14 59||13 434 14 59||psse.brzozow@pis.gov.pl||https://www.gov.pl/web/psse-brzozow|49.6923|22.87|49.692299|22.0086313|
Powiatowa Stacja Sanitarno-Epidemiologiczna Dębica|podkarpackie|dębicki|Dębica|Parkowa|2|39-200|14 680 93 70||14 680 93 71||psse.debica@pis.gov.pl||https://www.gov.pl/web/psse-debica|50.47|21.4023|50.046873|21.4021717|
Powiatowa Stacja Sanitarno-Epidemiologiczna Jarosław|podkarpackie|jarosławski|Jarosław|Grunwaldzka|7|37-500|16 624 24 40||16 621 25 18||psse.jaroslaw@pis.gov.pl||https://www.gov.pl/web/psse-jaroslaw|50.164|22.6801|50.0164027|22.6800911|
Powiatowa Stacja Sanitarno-Epidemiologiczna Jasło|podkarpackie|jasielski|Jasło|Koralewskiego|13|38-200|13 446 30 08||13 446 34 66||psse.jaslo@pis.gov.pl||https://www.gov.pl/web/psse-jaslo|49.7473|21.4717|49.7472795|21.471671087|
Powiatowa Stacja Sanitarno-Epidemiologiczna Krosno|podkarpackie|krośnieński|Krosno|Kisielewskiego|12|38-400|13 432 19 42||13 432 19 45||psse.krosno@pis.gov.pl||https://www.gov.pl/web/psse-krosno|49.6837|21.7553|49.68363755|21.755338227|
Powiatowa Stacja Sanitarno-Epidemiologiczna Leżajsk|podkarpackie|leżajski|Leżajsk|Mickiewicza|71|37-300|17 242 07 54||17 240 18 44||psse.lezajsk@pis.gov.pl||https://www.gov.pl/web/psse-lezajsk|50.2631|22.4177|50.26305135|22.41772495|
Powiatowa Stacja Sanitarno-Epidemiologiczna Lubaczów|podkarpackie|lubaczowski|Lubaczów|Mickiewicza|45|37-600|16 632 15 28||17 785 21 89||psse.lubaczow@pis.gov.pl||https://www.gov.pl/web/psse-lubaczow|50.1611|23.1211|50.1631733|23.1209719|
Powiatowa Stacja Sanitarno-Epidemiologiczna Łańcut|podkarpackie|łańcucki|Łańcut|Mickiewicza|6|37-100|17 225 00 70||17 225 00 72||psse.lancut@pis.gov.pl||https://www.gov.pl/web/psse-lancut|50.655|22.2293|50.0655109|22.229310939|
Powiatowa Stacja Sanitarno-Epidemiologiczna Nisko|podkarpackie|niżański|Nisko|Rudnicka|13|37-400|15 841 20 10||15 841 20 10||psse.nisko@pis.gov.pl||https://www.gov.pl/web/psse-nisko|50.5168|22.1572|50.5166484|22.157446179|
Powiatowa Stacja Sanitarno-Epidemiologiczna Przeworsk|podkarpackie|przeworski|Przeworsk|Rynek|1|37-200|16 648 75 95||16 648 79 01||psse.przeworsk@pis.gov.pl||https://www.gov.pl/web/psse-przeworsk|50.0568|22.4945|50.05676615|22.494518551|
Powiatowa Stacja Sanitarno-Epidemiologiczna Przemyśl|podkarpackie|przemyski|Przemyśl|Mariacka|4|37-700|16 670 76 91||16 670 07 38||psse.przemysl@pis.gov.pl||https://www.gov.pl/web/psse-przemysl|49.7842|22.7904|49.784252|22.7903972|
Powiatowa Stacja Sanitarno-Epidemiologiczna Ropczyce|podkarpackie|ropczycko-sędziszowski|Ropczyce|Mickiewicza|57|39-100|17 221 83 21||17 221 83 21 wew. 24||psse.ropczyce@pis.gov.pl||https://www.gov.pl/web/psse-ropczyce|50.548|21.6212|50.05482895|21.621085162|
Powiatowa Stacja Sanitarno-Epidemiologiczna Rzeszów|podkarpackie|rzeszowski|Rzeszów|Dąbrowskiego|79A|35-040|17 854 19 09||17 854 19 09 wew. 110||psse.rzeszow@pis.gov.pl||https://www.gov.pl/web/psse-rzeszow|50.235|21.9866|50.0234816|21.986565579|
Powiatowa Stacja Sanitarno-Epidemiologiczna Sanok|podkarpackie|sanocki|Sanok|Jezierskiego|39|38-500|13 464 12 19||13 464 12 19||psse.sanok@pis.gov.pl||https://www.gov.pl/web/psse-sanok|49.5505|22.2008|49.55034075|22.201037147|
Powiatowa Stacja Sanitarno-Epidemiologiczna Stalowa Wola|podkarpackie|stalowowolski|Stalowa Wola|Niezłomnych|66|37-450|15 842 51 30||15 842 11 81||psse.stalowawola@pis.gov.pl||https://www.gov.pl/web/psse-stalowa-wola|50.5707|22.484|50.5707447|22.048441592|
Powiatowa Stacja Sanitarno-Epidemiologiczna Strzyżów|podkarpackie|strzyżowski|Strzyżów|Słowackiego|8|38-100|17 276 11 52||17 276 11 52||psse.strzyzow@pis.gov.pl||https://www.gov.pl/web/psse-strzyzow/|49.8688|21.7885|49.86881215|21.788942397|
Powiatowa Stacja Sanitarno-Epidemiologiczna Ustrzyki Dolne|podkarpackie|bieszczadzki|Ustrzyki Dolne|29 Listopada|53|38-700|13 461 28 06||13 461 28-06||psse.ustrzykidolne@pis.gov.pl||https://www.gov.pl/web/psse-ustrzyki-dolne|49.4329|22.6029|49.4328471|22.6029547|
Powiatowa Stacja Sanitarno-Epidemiologiczna Tarnobrzeg|podkarpackie|tarnobrzeski|Tarnobrzeg|1-Maja|5|39-400|15 822 63 18||15 823 66 64||psse.tarnobrzeg@pis.gov.pl||https://www.gov.pl/web/psse-tarnobrzeg|50.5711|21.6654|50.569383|21.6650171|
Graniczna Stacja Sanitarno-Epidemiologiczna Przemyśl|podkarpackie|przemyski|Przemyśl|Mariacka|4|37-700|16 678 27 86||16 678 45 87||gsse.przemysl@pis.gov.pl||https://www.gov.pl/web/gsse-przemysl|49.7842|22.7904|49.784252|22.7903972|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Białymstoku|podlaskie|białostocki|Białystok|Warszawska|57 A|15-062|85 732 52 36|85 732 50 91|85 732 50 91||sekretariat@psse.bialystok.pl||https://www.gov.pl/web/psse-bialystok|53.1312|23.1745|53.13124245|23.174519931|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Augustowie|podlaskie|augustowski|Augustów|Brzostowskiego|10|16-300|87 643 32 80||87 643 32 80||psse_augustow@epoczta.pl||https://www.gov.pl/web/psse-augustow|53.8362|22.9872|53.6776985|23.101986087|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Bielsku Podlaskim|podlaskie|bielski|Bielsk Podlaski|Białowieska|28|17-100|85 730 17 17||85 730 80 90||pssebielsk@wsse.bialystok.pl||https://www.gov.pl/web/psse-bielsk-podlaski|52.7600|23.2036|52.7601598|23.2036284|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Grajewie|podlaskie|grajewski|Grajewo|Plac Niepodległości|12|19-200|86 272 26 00||86 272 61 00||pssegrajewo@bialystok.wsse.gov.pl||https://www.gov.pl/web/psse-grajewo|53.6474|22.4543|53.64741345|22.4543432|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Hajnówce|podlaskie|hajnowski|Hajnówka|Piłsudskiego|10|17-200|85 682 28 09||85 682 29 89||pssehajnowka@wsse.bialystok.pl||https://www.gov.pl/web/psse-hajnowka|52.7354|23.5915|52.7355898|23.5915878|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Kolnie|podlaskie|kolneński|Kolno|Wojska Polskiego|4|18-500|86 278 31 91||86 278 19 89||pssekolno@wsse.bialystok.pl||https://www.gov.pl/web/psse-kolno|53.4078|21.9329|53.4077642|21.9328523|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Mońkach|podlaskie|moniecki|Mońki|Tysiaclecia|5|19-100|85 716 26 17||85 727 90 65||sekretariat@monki.psse.gov.pl||https://www.gov.pl/web/psse-monki|53.4061|22.8003|53.40619025|22.800233751|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Sejnach|podlaskie|sejneński|Sejny|Rittlera|2|16-500|87 517 33 50||87 517 34 50||psse.sejny@pis.gov.pl||https://www.gov.pl/web/psse-sejny|54.1150|23.3532|54.1151624|23.353061279|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Siemiatyczach|podlaskie|siemiatycki|Siemiatycze|Kilińskiego|32|17-300|85 655 23 71|85 656 04 36|85 655 22 11||sekretariat@pssesiemiatycze.org||https://www.gov.pl/web/psse-siemiatycze|52.4285|22.8570|52.4286144|22.857103693|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Suwałkach|podlaskie|suwalski|Suwałki|Utrata|9A|16-400|87 565 28 60||87 565 28 61||psse.suwalki@pis.gov.pl||https://www.gov.pl/web/psse-suwalki|54.1029|22.9399|54.1027995|22.940061195|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Wysokiem Mazowieckiem|podlaskie|wysokomazowiecki|Wysokie Mazowieckie|1 Maja|9|18-200|86 275 25 91||86 275 25 85||pssewysmaz@wp.pl||https://www.gov.pl/web/psse-wysokie-mazowieckie|52.9122|22.5111|52.9121525|22.5110592|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Zambrowie|podlaskie|zambrowski|Zambrów|Obrońców Zambrowa|50|18-300|86 276 30 71|86 276 30 70|86 276 30 72||pssezambrow@wp.pl||https://www.gov.pl/web/psse-zambrow|52.9808|22.2369|52.98077985|22.236918601|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Łomży|podlaskie|łomżyński|Łomża|Ks.Janusza I|1|18-400|86 216 52 61|86 216 26 47|86 216 52 62||psselomza@psselomza.pl||https://www.gov.pl/web/psse-lomza|53.1623|22.0773|53.1623731|22.07739237|
Wojewódzka Stacja Sanitarno-Epidemiologiczna w Gdańsku|pomorskie||Gdańsk|Dębinki|4|80-211|58 344 73 00||58 520 19 70||poczta@wsse.gda.pl|wsse.gdansk@pis.gov.pl|http://www.wsse.gda.pl/|54.3652|18.6280|54.3651793|18.628011253|
