WOJEWÓDZTWO,TYP,NAZWA URZĘDU,KOD,MIASTO,ULICA,NR BUDYNKU / LOKALU,POCZTA,NR TELEFONU   wraz z nr kierunkowym,NR FAXU,ADRES E-MAIL URZĘDU,kod jednostki,ADRESY STRON BIP JEDNOSTEK KAS
lubelskie,US,Urząd Skarbowy w Łukowie,21-400,Łuków,Międzyrzecka ,72A,Łuków,(25) 640 05 26,(25) 640 05 44,sekretariat.us.lukow@mf.gov.pl,0613,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-lukowie
lubelskie,US,Urząd Skarbowy w Opolu Lubelskim,24-300,Opole Lubelskie,Józefa Piłsudskiego ,12,Opole Lubelskie,(81) 827-21-41,(81) 827-20-86,sekretariat.us.opole-lubelskie@mf.gov.pl,0614,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-opolu-lubelskim
lubelskie,US,Urząd Skarbowy w Parczewie,21-200,Parczew,Żabia ,2a,Parczew,(83) 342 72 08,(83) 354-39-30,sekretariat.us.parczew@mf.gov.pl,0615,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-parczewie
lubelskie,US,Urząd Skarbowy w Puławach,24-100,Puławy,Władysława Grabskiego ,4,Puławy,(81) 887-96-41 do 42,(81) 888-44-77,sekretariat.us.pulawy@mf.gov.pl,0616,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-pulawach
lubelskie,US,Urząd Skarbowy w Radzyniu Podlaskim,21-300,Radzyń Podlaski,Lubelska,1/2,Radzyń Podlaski,(83) 352-11-09,(83) 352-11-09 w. 400,sekretariat.us.radzyn-podlaski@mf.gov.pl,0617,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-radzyniu-podlaskim
lubelskie,US,Urząd Skarbowy w Tomaszowie Lubelskim,22-600,Tomaszów Lubelski,Rolnicza ,17,Tomaszów Lubelski,(84) 666-01-16,(84) 666-01-11,sekretariat.us.tomaszow-lubelski@mf.gov.pl,0618,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-tomaszowie-lubelskim
lubelskie,US,Urząd Skarbowy we Włodawie,22-200,Włodawa,Rynek ,9,Włodawa,(82) 572-44-00,(82) 572-39-00,sekretariat.us.wlodawa@mf.gov.pl,0619,www.lubelskie.kas.gov.pl/urzad-skarbowy-we-wlodawie
lubelskie,US,Urząd Skarbowy w Zamościu,22-400,Zamość,Jana Kilińskiego ,82,Zamość,(84) 677-63-00,(84) 638-32-23,sekretariat.us.zamosc@mf.gov.pl,0620,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-zamosciu
lubelskie,US,Urząd Skarbowy w Łęcznej,21-010,Łęczna,Aleja Jana Pawła II,95,Łęczna,(81) 524 69 50,(81) 752-36-26,sekretariat.us.leczna@mf.gov.pl,0621,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-lecznej
lubelskie,US,Urząd Skarbowy w Rykach,08-500,Ryki,Leona Wyczółkowskiego ,10A,Ryki,(81) 865-63-82 do 84,(81) 865-44-30,sekretariat.us.ryki@mf.gov.pl,0622,www.lubelskie.kas.gov.pl/urzad-skarbowy-w-rykach
lubelskie,WUS,Lubelski Urząd Skarbowy w Lublinie,20-601,Lublin,Tomasza Zana,38,Lublin,81 82 62 300,81 82 62 301,sekretariat.lus.lublin@mf.gov.pl,0671,www.lubelskie.kas.gov.pl/lubelski-urzad-skarbowy-w-lublinie
lubelskie,UCS,Lubelski Urząd Celno-Skarbowy w Białej Podlaskiej,21-500,Biała Podlaska,Celników Polskich ,21,Biała Podlaska,83 344 98 33,83 342 76 73,lubelski.ucs@mf.gov.pl,308000,www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
lubelskie,DUCS,Delegatura UCS w Białej Podlaskiej,21-500,Biała Podlaska,Celników Polskich ,23,Biała Podlaska,83 342 75 32 do 33,83 342 76 79,sekretariat.ucs.301000@mf.gov.pl,301000,www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
lubelskie,OC,Oddział Celny w Białej Podlaskiej,21-500,Biała Podlaska,Celników Polskich ,23,Biała Podlaska,"83 342 76 01, ,83 342 76 05",-,sekretariat.oc.301010@mf.gov.pl,301010,www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
lubelskie,OC,Oddział Celny w Małaszewiczach,21-540,Małaszewicze,"Słoneczna , Kobylany",152,Małaszewicze,83 376 12 40,83 376 12 54,sekretariat.oc.301020@mf.gov.pl,301020,www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
lubelskie,OC,Oddział Celny w Koroszczynie,21-550,Koroszczyn,Terminal Samochodowy w Koroszczynie,-,Terespol,83 376 40 00,83 376 41 44,sekretariat.oc.301040@mf.gov.pl,301040,www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
lubelskie,OC,Oddział Celny w Terespolu,21-550,Terespol,Męczenników Unickich ,1,Terespol,83 341 43 60 do 61; 797 029 583,83 341 43 69,sekretariat.oc.301050@mf.gov.pl,301050,www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
lubelskie,OC,Oddział Celny Drogowy w Terespolu,21-550,Terespol,Drogowe przejście graniczne w Terespolu,-,Terespol,83 353 44 50                               83 353 44 51,83 353 44 52,sekretariat.oc.301060@mf.gov.pl,301060,www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
lubelskie,OC,Oddział Celny w Sławatyczach,21-515,Sławatycze,Drogowe przejście graniczne w Sławatyczach,-,Sławatycze,83 341 45 00                               83 341 45 01,83 341 45 05,sekretariat.oc.301070@mf.gov.pl,301070,www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
lubelskie,DUCS,Delegatura UCS w Lublinie,20-468,Lublin,Energetyków ,20-22,Lublin,81 748 42 30,81 748 43 24,sekretariat.ucs.302000@mf.gov.pl,302000,www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
lubelskie,OC,Oddział Celny w Lublinie,20-468,Lublin,Energetyków ,20-22,Lublin,81 748 42 74,81 748 43 19,sekretariat.oc.302010@mf.gov.pl,302010,www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
lubelskie,OC,Oddział Celny w Puławach,24-100,Puławy,Dęblińska ,2,Puławy,81 748 43 70; 81 748 43 77,-,sekretariat.oc.302020@mf.gov.pl,302020,www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
lubelskie,OC,Oddział Celny w Chełmie,22-100,Chełm,Hutnicza ,21,Chełm,82 560 55 10                               82 560 55 12 ,82 560 55 15,sekretariat.oc.302040@mf.gov.pl,302040,www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
lubelskie,OC,Oddział Celny w Dorohusku,22-175,Dorohusk,Kolejowa ,10G,Dorohusk,"81 748 43 90, 81 748 43 91",-,sekretariat.oc.302050@mf.gov.pl,302050,www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
lubelskie,OC,Oddział Celny Drogowy w Dorohusku,22-175,Dorohusk,Drogowe przejście graniczne,-,Dorohusk,82 577 57 20                               82 577 57 23 ,82 577 57 22,sekretariat.oc.302060@mf.gov.pl,302060,www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
lubelskie,OC,Oddział Celny Pocztowy w Lublinie,20-900,Lublin,Wacława Moritza,2,Lublin,81 748 43 36,81 748 43 37,sekretariat.oc.302080@mf.gov.pl,302080,www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
lubelskie,OC,Oddział Celny Port Lotniczy w Lublinie,21-040,Świdnik,Króla Jana III Sobieskiego ,1,Świdnik,81 458 14 91 do 92,81 47 04 650 ,sekretariat.oc.302070@mf.gov.pl,302070,www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
lubelskie,DUCS,Delegatura UCS w Zamościu,22-400,Zamość,Strefowa ,5,Zamość,84 696 60 00,84 696 60 10,sekretariat.ucs.303000@mf.gov.pl,303000,www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
lubelskie,OC,Oddział Celny w Zamościu,22-400,Zamość,Stefowa ,5,Zamość,84 696 61 00,84 696 61 06,sekretariat.oc.303010@mf.gov.pl,303010,www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
lubelskie,OC,Oddział Celny w Hrebennem,22-681,Hrebenne,Drogowe przejście graniczne,-,Hrebenne,84 677 62 70                                84 677 62 73 ,84 677 62 71,sekretariat.oc.303020@mf.gov.pl,303020,www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
lubelskie,OC,Oddział Celny w Hrubieszowie,22-500,Hrubieszów,Nowa ,106,Hrubieszów,84 682 66 20                               84 682 66 22 ,84 682 66 21,sekretariat.oc.303030@mf.gov.pl,303030,www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
lubelskie,OC,Oddział Celny w Zosinie,22-523,Zosin,Drogowe przejście graniczne,-,Horodło,84 683 67 00                    84 683 67 02 ,84 683 67 06,sekretariat.oc.303040@mf.gov.pl,303040,www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
lubelskie,OC,Oddział Celny w Tomaszowie Lubelskim,22-600,Tomaszów Lubelski,Łaszczowiecka,12C,Tomaszów Lubelski,84 661 68 70                               84 661 68 72 ,84 661 68 78,sekretariat.oc.303080@mf.gov.pl,303080,www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
lubelskie,OC,Oddział Celny w Dołhobyczowie,22-540,Dołhobyczów,Drogowe przejście graniczne,-,Dołhobyczów,81 748 43 88 ,-,sekretariat.oc.303091@mf.gov.pl,303091,www.lubelskie.kas.gov.pl/lubelski-urzad-celno-skarbowy-w-bialej-podlaskiej
lubuskie,IAS,Izba Administracji Skarbowej w Zielonej Górze,65-454,Zielona Góra,Gen. Władysława Sikorskiego ,2,Zielona Góra,(68) 456-07-00,(68) 456-07-01,ias.zielonagora@mf.gov.pl,0801,www.lubuskie.kas.gov.pl
lubuskie,US,Urząd Skarbowy w Gorzowie Wielkopolskim,66-400,Gorzów Wielkopolski,Kazimierza Jagiellończyka,10,Gorzów Wielkopolski,(95) 711-57-42,(95)711-59-05,us.gorzowwielkopolski@mf.gov.pl,0802,www.lubuskie.kas.gov.pl/urzad-skarbowy-w-gorzowie-wielkopolskim
lubuskie,US,Urząd Skarbowy w Krośnie Odrzańskim,66-600,Krosno Odrzańskie,Słubicka,3,Krosno Odrzańskie,(68) 383-53-17,(68) 383-57-28,us.krosnoodrzanskie@mf.gov.pl,0803,www.lubuskie.kas.gov.pl/urzad-skarbowy-w-krosnie-odrzanskim
lubuskie,US,Urząd Skarbowy w Międzyrzeczu,66-300,Międzyrzecz,Rynek ,3,Międzyrzecz,(95) 742-35-00,(95) 742-35-01,us.miedzyrzecz@mf.gov.pl,0804,www.lubuskie.kas.gov.pl/urzad-skarbowy-w-miedzyrzeczu
lubuskie,US,Urząd Skarbowy w Nowej Soli,67-100,Nowa Sól,Staszica,1,Nowa Sól,(68) 456-03-02,(68) 456-03-01,us.nowasol@mf.gov.pl,0805,www.lubuskie.kas.gov.pl/urzad-skarbowy-w-nowej-soli
lubuskie,US,Urząd Skarbowy w Słubicach,69-100,Słubice,Wojska Polskiego ,155,Słubice,(95) 750-15-11,(95) 758-26-62,us.slubice@mf.gov.pl,0806,www.lubuskie.kas.gov.pl/urzad-skarbowy-w-slubicach
lubuskie,US,Urząd Skarbowy w Świebodzinie,66-200,Świebodzin,Sobieskiego,6,Świebodzin,(68) 456-06-10,(68) 456-06-01,us.swiebodzin@mf.gov.pl,0807,www.lubuskie.kas.gov.pl/urzad-skarbowy-w-swiebodzinie
lubuskie,US,Pierwszy Urząd Skarbowy w Zielonej Górze,65-054,Zielona Góra,Dr. Pieniężnego ,24,Zielona Góra,(68) 456-01-00,(68) 456-01-01,1us.zielonagora@mf.gov.pl,0808,www.lubuskie.kas.gov.pl/pierwszy-urzad-skarbowy-w-zielonej-gorze
lubuskie,US,Drugi Urząd Skarbowy w Zielonej Górze,65-054,Zielona Góra,Dr. Pieniężnego ,24,Zielona Góra,(68) 456-02-00,(68) 456-02-01,2us.zielonagora@mf.gov.pl,0809,www.lubuskie.kas.gov.pl/drugi-urzad-skarbowy-w-zielonej-gorze
lubuskie,US,Urząd Skarbowy w Żaganiu,68-100,Żagań,Skarbowa,26,Żagań,(68) 456-04-02,(68) 456-04-01,us.zagan@mf.gov.pl,0810,www.lubuskie.kas.gov.pl/urzad-skarbowy-w-zaganiu
lubuskie,US,Urząd Skarbowy w Żarach,68-200,Żary,Osadników Wojskowych ,3-4,Żary,(68) 456-05-00,(68) 456-05-01,us.zary@mf.gov.pl,0811,www.lubuskie.kas.gov.pl/urzad-skarbowy-w-zarach
lubuskie,US,Urząd Skarbowy w Drezdenku,66-530,Drezdenko,Pierwszej Brygady ,21,Drezdenko,(95) 763-73-00,(95) 763-73-02,us.drezdenko@mf.gov.pl,0812,www.lubuskie.kas.gov.pl/urzad-skarbowy-w-drezdenku
lubuskie,US,Urząd Skarbowy w Sulęcinie,69-200,Sulęcin,Daszyńskiego ,47,Sulęcin,(95) 756-00-11,(95) 755-22-24,us.sulecin@mf.gov.pl,0813,www.lubuskie.kas.gov.pl/urzad-skarbowy-w-sulecinie
lubuskie,US,Urząd Skarbowy we Wschowie,67-400,Wschowa,Zielony Rynek ,7,Wschowa,(65) 540-80-60,(65) 540-80-61,us.wschowa@mf.gov.pl,0814,www.lubuskie.kas.gov.pl/urzad-skarbowy-we-wschowie
lubuskie,WUS,Lubuski Urząd Skarbowy w Zielonej Górze,65-054,Zielona Góra,Dr. Pieniężnego ,24,Zielona Góra,(68) 456-09-00,(68) 456-09-01,lubuski.us@mf.gov.pl,0871,www.lubuskie.kas.gov.pl/lubuski-urzad-skarbowy-w-zielonej-gorze
lubuskie,UCS,Lubuski Urząd Celno-Skarbowy w Gorzowie Wielkopolskim,66-400,Gorzów Wielkopolski,Kazimierza Wielkiego ,65,Gorzów Wielkopolski,(95) 733 75 01;  (95) 713 35 22                 ,(95) 713 35 99    ,lubuski.ucs@mf.gov.pl,418000,www.lubuskie.kas.gov.pl/lubuski-urzad-celno-skarbowy-w-gorzowie-wielkopolskim
lubuskie,DUCS,Delegatura UCS w Zielonej Górze,65-127,Zielona Góra,Kostrzyńska ,14,Zielona Góra,68 322 92 01                                                                    ,68 322 92 33                                                                    ,dzg.lubuski.ucs@mf.gov.pl,411000,www.lubuskie.kas.gov.pl/lubuski-urzad-celno-skarbowy-w-gorzowie-wielkopolskim
lubuskie,OC,Oddział Celny w Zielonej Górze,65-127,Zielona Góra,Kostrzyńska ,14,Zielona Góra,(68) 322 92 83; (68) 322 92 80; (68) 322 92 81                ,(68) 322 92 33,oc-3.ucs.411010@mf.gov.pl,411010,www.lubuskie.kas.gov.pl/lubuski-urzad-celno-skarbowy-w-gorzowie-wielkopolskim
lubuskie,OC,Oddział Celny w Olszynie,68-217,Olszyna,,,Olszyna,(68) 375 64 10; (68) 375 64 12,(68) 375 64 12,oc-4.ucs.411020@mf.gov.pl,411020,www.lubuskie.kas.gov.pl/lubuski-urzad-celno-skarbowy-w-gorzowie-wielkopolskim
lubuskie,DUCS,Delegatura UCS w Rzepinie,69-110,Rzepin,Dworcowa ,5,Rzepin,"95 750 93 00, ,95 750 93 01                                 ",(95) 759 64 42,lubuski.ucs@mf.gov.pl,412000,www.lubuskie.kas.gov.pl/lubuski-urzad-celno-skarbowy-w-gorzowie-wielkopolskim
lubuskie,OC,Oddział Celny w Gorzowie Wielkopolskim,66-400,Gorzów Wielkopolski,Myśliborska ,34,Gorzów Wielkopolski,"95 733 75 61,,95 733 75 60",95 733 75 73                                                                    ,oc-2.ucs.412010@mf.gov.pl,412010,www.lubuskie.kas.gov.pl/lubuski-urzad-celno-skarbowy-w-gorzowie-wielkopolskim
lubuskie,OC,Oddział Celny w Świecku,69-100,Słubice,Świecko,37,Słubice,(95) 750 73 04,(95) 750 73 55,oc-1.ucs.412020@mf.gov.pl,412020,www.lubuskie.kas.gov.pl/lubuski-urzad-celno-skarbowy-w-gorzowie-wielkopolskim
łódzkie,IAS,Izba Administracji Skarbowej w Łodzi,90-436,Łódź,aleja Tadeusza Kościuszki ,83,Łódź,(42) 254-70-00,(42) 254-71-01,ias.lodz@mf.gov.pl,1001,www.lodzkie.kas.gov.pl
łódzkie,US,Urząd Skarbowy w Bełchatowie,97-400,Bełchatów,Józefa Piłsudskiego ,18,Bełchatów,(44) 632-49-86,(44) 632-30-63,us.belchatow@mf.gov.pl,1002,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-belchatowie
łódzkie,US,Urząd Skarbowy w Brzezinach,95-060,Brzeziny,Henryka Sienkiewicza ,16,Brzeziny,(46) 874-16-77,(46) 874-21-77,us.brzeziny@mf.gov.pl,1003,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-brzezinach
łódzkie,US,Urząd Skarbowy w Głownie,95-015,Głowno,Ludwika Norblina ,2,Głowno,(42) 719-19-81 ,-,us.glowno@mf.gov.pl,1004,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-glownie
łódzkie,US,Urząd Skarbowy w Kutnie,99-300,Kutno,Dr. Antoniego Troczewskiego ,12,Kutno,(24) 355-61-00,(24) 355-65-65,us.kutno@mf.gov.pl,1005,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-kutnie
łódzkie,US,Urząd Skarbowy w Łasku,98-100,Łask,9 Maja ,31,Łask,(43) 671-13-00,-,us.lask@mf.gov.pl,1006,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-lasku
łódzkie,US,Urząd Skarbowy w Łowiczu,99-400,Łowicz,Józefa Chełmońskiego ,2,Łowicz,(46) 837-80-28,-,us.lowicz@mf.gov.pl,1007,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-lowiczu
łódzkie,US,Pierwszy Urząd Skarbowy Łódź - Bałuty,91-066,Łódź,Zachodnia ,47,Łódź,(42) 253-56-00,(42) 253-57-22,1us.lodz.baluty@mf.gov.pl,1008,www.lodzkie.kas.gov.pl/pierwszy-urzad-skarbowy-lodz-baluty
łódzkie,US,Drugi Urząd Skarbowy Łódź - Bałuty,91-222,Łódź,Św. Teresy od Dzieciątka Jezus ,105,Łódź,(42) 253-40-00,(42) 253-42-50,2us.lodz.baluty@mf.gov.pl,1009,www.lodzkie.kas.gov.pl/drugi-urzad-skarbowy-lodz-baluty
łódzkie,US,Pierwszy Urząd Skarbowy Łódź - Górna,93-578,Łódź,Walerego Wróblewskiego ,10,Łódź,(42)258-81-00,-,1us.lodz.gorna@mf.gov.pl,1010,www.lodzkie.kas.gov.pl/pierwszy-urzad-skarbowy-lodz-gorna
łódzkie,US,Drugi Urząd Skarbowy Łódź - Górna,93-578,Łódź,Walerego Wróblewskiego,10A,Łódź,(42) 258-82-00,(42) 258-82-83,2us.lodz.gorna@mf.gov.pl,1011,www.lodzkie.kas.gov.pl/drugi-urzad-skarbowy-lodz-gorna
łódzkie,US,Urząd Skarbowy Łódź - Polesie,90-646 ,Łódź,6 Sierpnia ,86A,Łódź,(42) 254-60-00,(42) 254-62-51,us.lodz.polesie@mf.gov.pl,1012,www.lodzkie.kas.gov.pl/urzad-skarbowy-lodz-polesie
łódzkie,US,Urząd Skarbowy Łódź - Śródmieście,90-019,Łódź,Dowborczyków ,9/11,Łódź,(42 )253-06-00,(42) 253-07-01,us.lodz.srodmiescie@mf.gov.pl,1013,www.lodzkie.kas.gov.pl/urzad-skarbowy-lodz-srodmiescie
łódzkie,US,Urząd Skarbowy Łódź - Widzew,92-312,Łódź,Papiernicza,7,Łódź,(42) 275-08-00,(42) 275-09-08,us.lodz.widzew@mf.gov.pl,1014,www.lodzkie.kas.gov.pl/urzad-skarbowy-lodz-widzew
łódzkie,US,Urząd Skarbowy w Opocznie,26-300,Opoczno,Piotrkowska ,14,Opoczno,(44) 755-31-01,(44) 755-24-45,us.opoczno@mf.gov.pl,1015,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-opocznie
łódzkie,US,Urząd Skarbowy w Pabianicach,95-200,Pabianice,Zamkowa ,26,Pabianice,(42) 27-04-100,(42) 27-04-103,us.pabianice@mf.gov.pl,1016,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-pabianicach
łódzkie,US,Urząd Skarbowy w Piotrkowie Trybunalskim,97-300,Piotrków Trybunalski,Wronia ,65,Piotrków Trybunalski,(44) 645-01-00,(44) 649-90-36,us.piotrkow-trybunalski@mf.gov.pl,1017,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-piotrkowie-trybunalskim
łódzkie,US,Urząd Skarbowy w Poddębicach,99-200,Poddębice,Narutowicza ,12,Poddębice,(43) 678-77-00,(43) 678-77-01,us.poddebice@mf.gov.pl,1018,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-poddebicach
łódzkie,US,Urząd Skarbowy w Radomsku,97-500,Radomsko,Mickiewicza ,4,Radomsko,(44) 685-49-00,(44) 685-49-74,us.radomsko@mf.gov.pl,1019,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-radomsku
łódzkie,US,Urząd Skarbowy w Rawie Mazowieckiej,96-200,Rawa Mazowiecka,Juliusza Słowackiego ,4,Rawa Mazowiecka,(46) 814-47-46,-,us.rawa-mazowiecka@mf.gov.pl,1020,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-rawie-mazowieckiej
łódzkie,US,Urząd Skarbowy w Sieradzu,98-200,Sieradz,Spółdzielcza ,3,Sieradz,(43) 826-56-00,-,us.sieradz@mf.gov.pl,1021,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-sieradzu
łódzkie,US,Urząd Skarbowy w Skierniewicach,96-100,Skierniewice,Czerwona ,22,Skierniewice,(46) 834-63-00,(46) 834-63-94,us.skierniewice@mf.gov.pl,1022,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-skierniewicach
łódzkie,US,Urząd Skarbowy w Tomaszowie Mazowieckim,97-200,Tomaszów Mazowiecki,Mireckiego ,37,Tomaszów Mazowiecki,(44) 725-60-00,(44) 724-23-26,us.tomaszow-mazowiecki@mf.gov.pl,1023,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-tomaszowie-mazowieckim
łódzkie,US,Urząd Skarbowy w Wieluniu,98-300 ,Wieluń,Krakowskie Przedmieście ,34,Wieluń,(43) 843-91-36,-,us.wielun@mf.gov.pl,1024,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-wieluniu
łódzkie,US,Urząd Skarbowy w Zduńskiej Woli,98-220,Zduńska Wola,Zielona ,15,Zduńska Wola,(43) 824-19-00,(43) 824-19-40,us.zdunska-wola@mf.gov.pl,1025,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-zdunskiej-woli
łódzkie,US,Urząd Skarbowy w Zgierzu,95-100 ,Zgierz,ks. Jerzego Popiełuszki ,8,Zgierz,(42) 270-10-00,(42) 270-10-01,us.zgierz@mf.gov.pl,1026,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-zgierzu
łódzkie,US,Urząd Skarbowy w Wieruszowie,98-400,Wieruszów,Rynek ,12/13,Wieruszów,(62) 783-19-71,(62) 78-31-978,us.wieruszow@mf.gov.pl,1027,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-wieruszowie
łódzkie,US,Urząd Skarbowy w Łęczycy,99-100,Łęczyca,al. Jana Pawła II ,17,Łęczyca,(24) 721-70-12,(24) 721-23-12,us.leczyca@mf.gov.pl,1028,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-leczycy
łódzkie,US,Urząd Skarbowy w Pajęcznie,98-330,Pajęczno,1 Maja ,9,Pajęczno,(34) 311-39-60,(34) 311-33-55,us.pajeczno@mf.gov.pl,1029,www.lodzkie.kas.gov.pl/urzad-skarbowy-w-pajecznie
łódzkie,WUS,Łódzki Urząd Skarbowy w Łodzi,90-436,Łódź,aleja T. Kościuszki ,85,Łódź,(42) 253-05-00,(42) 253-05-06,lodzki.us@mf.gov.pl,1071,www.lodzkie.kas.gov.pl/lodzki-urzad-skarbowy-w-lodzi
łódzkie,UCS,Łódzki Urząd Celno-Skarbowy w Łodzi,91-315,Łódź,Ks. Stanisława Brzóski ,24,Łódź,42 639 41 00,426 54 13 86,lodzki.ucs@mf.gov.pl,368000,www.lodzkie.kas.gov.pl/lodzki-urzad-celno-skarbowy-w-lodzi
łódzkie,DUCS,Delegatura UCS I w Łodzi,93-350,Łódź,Ustronna ,3/9,Łódź,42 689 79 33,42 645 78 63,CZNCiO.ucs.368000@mf.gov.pl,361000,www.lodzkie.kas.gov.pl/lodzki-urzad-celno-skarbowy-w-lodzi
łódzkie,OC,Oddział Celny I w Łodzi,93-350,Łódź,Ustronna ,3/9,Łódź,42 689 79 40,42 645 78 63,sekretariat.oc.361010@mf.gov.pl,361010,www.lodzkie.kas.gov.pl/lodzki-urzad-celno-skarbowy-w-lodzi
łódzkie,OC,Oddział Celny w Sieradzu,98-200,Sieradz,Wojska Polskiego ,63,Sieradz,43 827 47 86,43 826 00 72,sekretariat.oc.361030@mf.gov.pl,361030,www.lodzkie.kas.gov.pl/lodzki-urzad-celno-skarbowy-w-lodzi
łódzkie,DUCS,Delegatura UCS II w Łodzi,91-341,Łódź,Św. Teresy od Dzieciątka Jezus ,106,Łódź,42 616 25 24,42 616 25 35,CZNCiO.ucs.368000@mf.gov.pl,362000,www.lodzkie.kas.gov.pl/lodzki-urzad-celno-skarbowy-w-lodzi
łódzkie,OC,Oddział Celny II w Łodzi,91-341,Łódź,Św. Teresy od Dzieciątka Jezus ,106,Łódź,42 616 25 24,42 616 25 35,oc-3.ucs.362000@mf.gov.pl,362010,www.lodzkie.kas.gov.pl/lodzki-urzad-celno-skarbowy-w-lodzi
łódzkie,OC,Oddział Celny w Kutnie,99-300,Kutno,Holenderska ,14,Kutno,24 253 86 53,-,sekretariat.oc.362030@mf.gov.pl,362030,www.lodzkie.kas.gov.pl/lodzki-urzad-celno-skarbowy-w-lodzi
łódzkie,OC,Oddział Celny Port Lotniczy Łódź-Lublinek,94-328,Łódź, Gen. Stanisława Maczka ,35,Łódź,42 253 14 19,42 253 14 18,lotnisko.oc.362040@mf.gov.pl,362040,www.lodzkie.kas.gov.pl/lodzki-urzad-celno-skarbowy-w-lodzi
łódzkie,DUCS,Delegatura UCS w Piotrkowie Trybunalskim,97-300,Piotrków Trybunalski,Dworska ,8,Piotrków Trybunalski,44 649 32 41,44 649 32 90,CZNCiO.ucs.368000@mf.gov.pl,363000,www.lodzkie.kas.gov.pl/lodzki-urzad-celno-skarbowy-w-lodzi
łódzkie,OC,Oddział Celny w Piotrkowie Trybunalskim,97-300,Piotrków Trybunalski,Dworska ,8,Piotrków Trybunalski,44 649 32 47,44 649 32 70,sekretariat.oc.363010@mf.gov.pl,363010,www.lodzkie.kas.gov.pl/lodzki-urzad-celno-skarbowy-w-lodzi
łódzkie,KIS,Delegatura Krajowej Informacji Skarbowej w Piotrkowie Trybunalskim,97-300,Piotrków Trybunalski,Wronia ,65,Piotrków Trybunalski,(44) 645-01-51,-,kis.piotrkow-trybunalski@mf.gov.pl,0113,www.kis.gov.pl
