amenity,capacity,email,name,official_name,opening_hours,operator,operator:type,operator:website,phone,website,wheelchair
kindergarten,102,zlobek2@oswiata.bielawa.pl,Żłobek Publiczny nr 2 w Bielawie,Żłobek Publiczny nr 2 w Bielawie,Mo-Fr 6:00-16:00,Gmina Bielawa,public,www.um.bielawa.pl,+48 746 633 202,https://,yes
childcare,14,biuro@littlestar.com.pl,Klub Dziecięcy Little Star,Klub Dziecięcy Little Star,Mo-Fr 6:00-17:00,Fundacja Mała Gwiazda,,,+48 503 079 087,https://www.littlestar.com.pl,no
childcare,22,akurz@babiak.org.pl,Gminny Klub Dziecięcy Miś w Babiaku,"Gminny Klub Dziecięcy ""Miś"" w Babiaku",Mo-Fr 06:00-17:00,Gmina Babiak,public,www.babiak.org.pl,+48 632 711 020,https://,yes
kindergarten,20,RZESZOW@PALACYKMALUCHA.COM.PL,Żłobek PAŁACYK MALUCHA,"Żłobek ""PAŁACYK MALUCHA""",Mo-Fr 07:00-17:00,"Centrum kształcenia europejskiego wiedza s.c. kubiś krzysztof, mroszczyk anna kolbuszowa ul. bolesława prusa 2",,www.rzeszow.palacykmalucha.pl,+48 607 141 800,https://www.rzeszow.palacykmalucha.pl/,no
kindergarten,22,chatkapuchatkazory@gmail.com,Niepubliczny Żłobek Chatka Puchatka,"Niepubliczny Żłobek ""Chatka Puchatka""",Mo-Fr 7:00-16:00,Jolanta Król Niepubliczny Żłobek Chatka Puchatka,private,www.chatkapuchatka.webd.pl,+48 785 054 997,http://www.chatkapuchatka.webd.pl/zlobek.html,no
kindergarten,220,zlobek16@wzz.wroc.pl,Żłobek nr 16,Żłobek nr 16,Mo-Fr 6:00-17:00,Gmina Wrocław,public,,,https://,no
kindergarten,18,biotula@onet.pl,BIOtula,BIOtula,Mo-Fr 06:15-17:00,Fildy Anna Czarnecka-Dybizbańska,,,+48 514 355 749,https://,yes
childcare,14,biuro@baczek.edu.pl,Klub Malucha  Bączek,"Klub Malucha "" Bączek""",Mo-Fr 07:00-17:00,Barbara Bąk,,,+48 517 595 826,https://www.baczek.edu.pl,yes
kindergarten,14,wiola0904@interia.pl,Niepubliczny Żłobek Słoneczko,"Niepubliczny Żłobek ""Słoneczko""",Mo-Fr 6:30-17:00,Wioleta Kotowska,private,,+48 534 867 788,https://brak,no
kindergarten,45,filiazlobek7@zlobki.mielec.pl,Filia Żłobka Miejskiego nr 7 w Mielcu,Filia Żłobka Miejskiego nr 7 w Mielcu,Mo-Fr 6:00-16:00,Gmina Miejska Mielec,public,www.mielec.pl,+48 177 874 675,http://zlobki.mielec.pl/,no
kindergarten,29,aniasobocinska@interia.pl,Żłobek sportowy Fit Kids,Żłobek sportowy Fit Kids,Mo-Fr 07:00-17:00,Opieka dzienna nad dziećmi FIT KIDS Anna Sobocińska,,www.fitkids.info.pl,+48 793 743 433,https://,yes
kindergarten,35,telesforek.chorzow@gmail.com,Żłobek Teodorek,Żłobek Teodorek,Mo-Fr 06:30-16:30,"Konsensus - mediacje, terapia, edukacja Justyna Wysocka - Kendzia",,www.telesforek.pl,+48 660 535 656,https://www.teodorek.pl,no
kindergarten,90,przedszkole@kidsplanet.info,Przedszkole & Żłobek w Parku,Przedszkole & Żłobek w Parku,Mo-Fr 6:00-16:30,Żłobek Kids Planet,,,+48 889 635 444,https://www.przedszkolewparku.eu/,yes
kindergarten,25,realizujmymarzenia@gmail.com,Żłobek akademia malucha,ŻŁOBEK AKADEMIA MALUCHA,Mo-Fr 6:30-16:30,Fundacja Oświatowa Realizujmy Marzenia,,,+48 662 003 636,https://,yes
childcare,22,biuro@majalandklub.pl,Klub Dziecięcy Majaland - Daria Siarkowska,"Klub Dziecięcy ""Majaland"" - Daria Siarkowska",Mo-Fr 06:00-17:00,Klub Dziecięcy Majaland - Daria Siarkowska,,www.majalandklub.pl,+48 666 632 101,https://www.majalandklub.pl,yes
childcare,20,klubmalucha@czarnocin.pl,Klub Malucha w Czarnocinie,Klub Malucha w Czarnocinie,Mo-Fr 7:00-17:00,Gmina Czarnocin,public,https://czarnocin.pl/,+48 446 165 853,https://,yes
kindergarten,20,przedszkole@szczesliwelata.pl,Przedszkole Niepubliczne Szczęśliwe lata Tomasz Czarnik,"Przedszkole Niepubliczne ""Szczęśliwe lata"" Tomasz Czarnik",Mo-Fr 7:00-17:00,"Przedszkole Niepubliczne ,,Szczęśliwe lata TOMASZ CZARNIK",private,szczesliwelata.pl,+48 781 286 803,https://szczesliwelata.pl,yes
kindergarten,56,montessori.littlepeople@gmail.com,Little People Niepubliczny Żłobek Montessori,Little People Niepubliczny Żłobek Montessori,Mo-Fr 6:30-16:30,Little People Niepubliczny Żłobek Montessori Karol Ciurzyński,private,little-people.pl,+48 724 842 567,https://little-people.pl,no
kindergarten,33,zlobek@urzadgminy.gniezno.pl,Gminny Żłobek w Zdziechowie,Gminny Żłobek w Zdziechowie,Mo-Fr 6:30-16:30,Gmina Gniezno,public,,+48 510 927 203,https://,yes
kindergarten,48,akademiaakuku@gmail.com,Integracyjny żłobek akuku,INTEGRACYJNY ŻŁOBEK AKUKU,Mo-Fr 06:30-17:00,Marcin Wróblewski,,www.akademiaakuku.pl,+48 790 250 200,https://www.akademiaakuku.pl,yes
childcare,30,klubdzieciecy@gminaprzylek.pl,Samorządowy Klub Dziecięcy Żółwik w Mszadli Starej,"Samorządowy Klub Dziecięcy ""Żółwik"" w Mszadli Starej",,Gmina Przyłęk,public,,,http://www.zolwik.przylek.naszastrona.net/,no
kindergarten,25,sekretariat@mis-przedszkole.pl,Niepubliczny Żłobek MIŚ,"Niepubliczny Żłobek ""MIŚ""",Mo-Fr 7:00-17:00,P.p.h.u. arfit,private,,+48 666 663 959,https://,yes
kindergarten,19,zlobek@koniecpol.pl,Samorządowy Żłobek w Koniecpolu Wesoły Skrzat,"Samorządowy Żłobek w Koniecpolu ""Wesoły Skrzat""",Mo-Fr 7:00-16:00,Gmina Koniecpol,public,www.koniecpol.pl,+48 886 270 290,https://,yes
childcare,19,a.baginskaaa@onet.pl,Niepubliczne Przedszkole i Klub Malucha MIŚ,"Niepubliczne Przedszkole i Klub Malucha ""MIŚ""",Mo-Fr 6:30-16:30,Agata Bagińska,private,,+48 570 255 087,https://,no
kindergarten,46,malymis.cieplewo@gmail.com,Niepubliczny Żłobek MAŁY MIŚ,Niepubliczny Żłobek MAŁY MIŚ,,Business investment barbara pawłowska,private,www.maly-mis.com,+48 796 155 283,https://www.maly-mis.com,yes
kindergarten,13,przedszkole@hula-hop.pl,Żłobek HULA HOP,Żłobek HULA HOP,Mo-Fr 07:00-18:00,Iwona Wiśniewska,,,+48 607 348 304,https://,no
kindergarten,26,k.kuszela@taxoffice.pulawy.pl,Niepubliczny Żłobek MARCHEWKOWE POLE,Niepubliczny Żłobek MARCHEWKOWE POLE,Mo-Fr 6:30-16:30,Przedszkolaki Spółka z ograniczoną odpowiedzialnością,private,www.marchewkowepole.pulawy.pl,+48 502 602 747,https://www.marchewkowepole.pulawy.pl,yes
kindergarten,75,pinokiorzeszow@wp.pl,Niepubliczny Żłobek Pinokio,Niepubliczny Żłobek Pinokio,,Monika Szubertowicz Niepubliczne Przedszkole PINOKIO,private,www.pinokio.rzeszow.pl,+48 606 475 850,https://www.pinokio.rzeszow.pl,no
kindergarten,20,zlobekgorzyce@wp.pl,Samorządowy ŻŁobek w Gorzycach,Samorządowy ŻŁobek w Gorzycach,,Gmina Gorzyce,public,www.gorzyce.itl.pl,+48 785 375 737,https://www.zlobekgorzyce.szkolnastrona.pl,yes
kindergarten,43,wesolyporanek@interia.pl,Wesoły Poranek Prywatna opieka nad dziećmi do lat 3,"""Wesoły Poranek"" Prywatna opieka nad dziećmi do lat 3",Mo-Fr 06:30-16:30,Luiza Łuszczew Prywatna Opieka nad dziećmi do lat 3 Wesoły Poranek,private,www.wesolyporanek.pl,+48 606 871 964,https://www.wesolyporanek.pl,no
kindergarten,12,zlobek@stumilowy-las.pl,Żłobek Maleństwa ze Stumilowego Lasu,Żłobek Maleństwa ze Stumilowego Lasu,Mo-Fr 07:00-17:00,POZMEDI Sp. z o.o.,,,+48 660 445 700,https://www.stumilowy-las.pl,no
kindergarten,44,zlobek.bobolandia@gmail.com,Niepubliczny Żłobek Bobolandia,Niepubliczny Żłobek Bobolandia,Mo-Fr 6:30-16:30,Bobolandia Tobiasz Grzegorski,private,,+48 731 560 518,https://,yes
kindergarten,64,miejskizlobek@eduoswiecim.pl,Miejski Żłobek nr 1 w Oświęcimiu,Miejski Żłobek nr 1 w Oświęcimiu,Mo-Fr 6:00-16:00,Miasto Oświęcim,public,,,https://,yes
kindergarten,49,goscicino@megamocni.edu.pl,Niepubliczny Żłobek MegaMocni Gościcino,Niepubliczny Żłobek MegaMocni Gościcino,Mo-Fr 6:30-17:30,Juneco Sp. z o.o.,private,https://megamocni.edu.pl/,+48 511 034 270,https://www.megamocnigoscicino.pl,no
kindergarten,75,borkowo@megamocni.edu.pl,Niepubliczny Żłobek MegaMocni Borkowo,Niepubliczny Żłobek MegaMocni Borkowo,Mo-Fr 6:00-17:30,Juneco Sp. z o.o.,private,https://megamocni.edu.pl/,+48 506 562 053,https://megamocni.edu.pl/megamocni-borkowo/,yes
kindergarten,110,sekretariat@zlobek.wielun.pl,Miejski Żłobek w Wieluniu,Miejski Żłobek w Wieluniu,Mo-Fr 6:30-16:30,Gmina Wieluń,public,www.um.wielun.pl,+48 438 218 988,https://www.zlobek.wielun.pl,yes
kindergarten,20,waclawik.karolina@gmail.com,Niepubliczny Żłobek Mali Odkrywcy,"Niepubliczny Żłobek ""Mali Odkrywcy""",Mo-Fr 07:00-17:00,Karolina Wacławik,private,,+48 697 709 281,https://maliodkrywcy24.pl,yes
kindergarten,29,biuro@funplay-ns.pl,Niepubliczny Żłobek Fun&Play,Niepubliczny Żłobek Fun&Play,Mo-Fr 06:30-17:00,Firma Fun & Play Katarzyna Starzyk,private,https://funplay-ns.pl/,+48 534 702 868,https://funplay-ns.pl/,yes
kindergarten,14,PRZEDSZKOLEKUZNIATALENTOW@WP.PL,Niepubliczny żłobek artystyczno-sportowy kuźnia talentów w rajszewie,NIEPUBLICZNY ŻŁOBEK ARTYSTYCZNO-SPORTOWY KUŹNIA TALENTÓW W RAJSZEWIE,Mo-Fr 6:00-18:00,Przedszkole kuźnia talentów w rajszewie s.c.,private,www.kuzniatalentow.net,+48 690 680 109,https://WWW.KUZNIATALENTOW.NET,no
kindergarten,33,biuro@przystanbliskosci.pl,Niepubliczny Żłobek Przystań Bliskości,Niepubliczny Żłobek Przystań Bliskości,Mo-Fr 7:00-17:00,Mikołaj Kołodyński Educore,private,www.przystanbliskosci.pl,+48 501 501 137,https://www.przystanbliskosci.pl,no
kindergarten,16,ewelinka_idd@wp.pl,Smerfuś - żłobek,Smerfuś - żłobek,Mo-Fr 6:30-17:00,Klub Malucha Smerfuś/Ewelina Dybich,,,+48 600 500 975,https://www.smerfusbrodnica.pl,yes
kindergarten,35,ulas70@op.pl,Żłobek Gwiazdeczka 4,Żłobek Gwiazdeczka 4,Mo-Fr 06:30-18:00,Urszula Smołecka,,,+48 509 584 343,https://,yes
childcare,30,sk@gorzkowice.pl,Samorządowy Klub Dziecięcy,Samorządowy Klub Dziecięcy,Mo-Fr 6:30-16:30,Gmina Gorzkowice,public,gorzkowice.pl,+48 446 818 124,https://,yes
childcare,25,radosny.poczatek@wp.pl,Niepubliczny Klub Dziecięcy Radosny Początek,Niepubliczny Klub Dziecięcy Radosny Początek,Mo-Fr 7:00-17:30,Piotr Remiszewski Radosny Początek,private,www.radosnypoczatek.pl,+48 607 071 102,https://www.radosnypoczatek.pl,no
kindergarten,66,ZARZAD@TPD.SZCZECIN.PL,Niepubliczny żłobek słoneczko w stargardzie,NIEPUBLICZNY ŻŁOBEK SŁONECZKO W STARGARDZIE,Mo-Fr 6:30-16:30,Towarzystwo przyjaciół dzieci zachodniopomorski oddział regionalny w szczecinie,private,WWW.TPD.SZCZECIN.PL,+48 691 474 797,https://WWW.TPD.SZCZECIN.PL,yes
childcare,21,rajmalucha.szczecin@wp.pl,Raj malucha paradiso per bambini,RAJ MALUCHA PARADISO PER BAMBINI,Mo-Fr 6:30-17:00,Raj malucha paradiso per bambini karolina jakowicz adriana matusiak spółka cywilna,,,+48 509 796 701,https://,no
kindergarten,48,dladziecizlobek@gmail.com,Prywatny Żłobek Bobo-Wiercipięta,Prywatny Żłobek Bobo-Wiercipięta,Mo-Fr 6:30-16:30,"Dladzieci, Dobrochna Cudak-Niemyt",private,,+48 781 412 891,https://,yes
childcare,15,przedszkolebajka@onet.pl,Klub Dziecięcy Bajka,Klub Dziecięcy Bajka,Mo-Fr 7:00-12:00,Fundacja Rodzice Dzieciom,,,+48 798 344 622,https://bajka-online.pl,no
kindergarten,15,debica@palacykmalucha.com.pl,Żłobek Pałacyk Malucha,"Żłobek ""Pałacyk Malucha""",Mo-Fr 06:30-18:00,"Centrum kształcenia europejskiego wiedza s.c. kubiś krzysztof, mroszczyk anna kolbuszowa ul. bolesława prusa 2",,www.rzeszow.palacykmalucha.pl,+48 603 097 886,http://www.debica.palacykmalucha.pl/kontakt,no
kindergarten,20,zarzad@tpd.szczecin.pl,Żłobek słoneczko towarzystwa przyjaciół dzieci w suchaniu,ŻŁOBEK SŁONECZKO TOWARZYSTWA PRZYJACIÓŁ DZIECI W SUCHANIU,Mo-Fr 6:30-16:30,Towarzystwo przyjaciół dzieci zachodniopomorski oddział regionalny w szczecinie,,WWW.TPD.SZCZECIN.PL,+48 691 474 797,https://,yes
childcare,16,kontakt@stacyjkowo.bydgoszcz.pl,Klub Malucha Stacyjkowo Magda Kutka,Klub Malucha Stacyjkowo Magda Kutka,Mo-Fr 06:30-17:00,Klub malucha stacyjkowo magda kutka,,WWW.STACYJKOWO.BYDGOSZCZ.PL,+48 730 567 107,https://www.stacyjkowo.bydgoszcz.pl,no
kindergarten,45,zlobekmajowa@gmail.com,Niepubliczny Żłobek MAJOWA ŁĄKA w Skawinie,"Niepubliczny Żłobek ""MAJOWA ŁĄKA"" w Skawinie",Mo-Fr 6:00-18:00,Fhu góralek agnieszka opałko-krochmal,private,www.zlobekmajowa.pl,+48 790 771 110,https://www.zlobekmajowa.pl,no
kindergarten,23,kontakt@przedszkolemotylek.pl,Żłobek Niepubliczny Motylek,"Żłobek Niepubliczny ""Motylek""",Mo-Fr 6:30-16:30,P.H.U. Urszula Ewa Kraska,private,www.przedszkolemotylek.pl,+48 798 898 902,https://www.przedszkolemotylek.pl,no
kindergarten,25,LOGOPEDA.SKK@GMAIL.COM,Niepubliczny żłobek równe szanse,NIEPUBLICZNY ŻŁOBEK RÓWNE SZANSE,Mo-Fr 06:30-16:30,Fundacja równe szanse,private,przedszkolerówneszanse.pl,,https://PRZEDSZKOLEROWNESZANSE.PL,yes
kindergarten,20,naszepociechy001@gmail.com,Żłobek Nasze Pociechy Agnieszka Paradowska,"Żłobek ""Nasze Pociechy"" Agnieszka Paradowska",Mo-Fr 06:00-16:00,Żłobek nasze pociechy agnieszka paradowska,,,+48 893 335 017,https://,no
kindergarten,40,s.markiewicz@pozytywneinicjatywy.pl,Pozytywny żłobek w Swarzewie,Pozytywny żłobek w Swarzewie,Mo-Fr 7:00-17:00,Pozytywne Inicjatywy - Edukacja Sp. z o. o.,,http://www.pozytywneinicjatywy.pl,+48 696 624 139,https://siec.pozytywneinicjatywy.pl/,yes
kindergarten,18,cuw@smetowograniczne.pl,Urząd Gminy Smętowo Graniczne (starogardzki),Urząd Gminy Smętowo Graniczne (starogardzki),,Gmina Smętowo Graniczne,public,,+48 585 619 118,https://,yes
kindergarten,25,jacek.danielcsd@gmail.pl,Żłobek Biedronka,Żłobek Biedronka,Mo-Fr 7:00-17:00,Centrum Szkoleniowo Doradcze Jacek Daniel,,e-csd.pl,+48 533 933 289,https://,yes
kindergarten,38,elemelek.stargard@gmail.com,Elemelek Żłobek i Przedszkole Niepubliczne,Elemelek Żłobek i Przedszkole Niepubliczne,Mo-Fr 6:30-17:00,Karolina Gwóźdź,private,www.elemelek-stargard.pl,+48 508 719 508,https://www.elemelek.lipnik.pl,yes
kindergarten,12,sekretariat@urwisek-police.pl,Niepubliczny Żłobek Urwisek,"Niepubliczny Żłobek ""Urwisek""",Mo-Fr 7:00-17:00,Centrum Edukacyjne Urwisek Katarzyna Szulecka,private,,+48 914 215 630,https://urwisek-police.pl,no
kindergarten,15,biuro@tinyfootsteps.edu.pl,Niepubliczny Żłobek Tiny Footsteps 2,"Niepubliczny Żłobek ""Tiny Footsteps 2""",Mo-Fr 07:30-18:00,"Edmondson, Hernik Spółka Jawna",private,,+48 604 994 300,https://,no
kindergarten,25,zlobek@misuszatekwrzesnia.pl,Żłobek Niepubliczny Miś Uszatek,Żłobek Niepubliczny Miś Uszatek,Mo-Fr 6:30-17:00,Donata Hedrych,private,,+48 614 362 849,https://wwwmisuszatekwrzesnia.pl,no
kindergarten,17,mzcentrala@gmail.com,Żłobek Plac Zabaw,Żłobek Plac Zabaw,Mo-Fr 6:00-16:00,Żłobek plac zabaw zbigniew lemiesz,,,+48 608 589 689,https://,yes
kindergarten,28,katarzyna.olszacka@onet.pl,Niepubliczny Żłobek Bajkowa Przystań,Niepubliczny Żłobek Bajkowa Przystań,Mo-Fr 06:30-17:30,Spółdzielnia socjalna sperare,private,brak,+48 609 374 150,https://brak,no
kindergarten,16,oswiata@maszewo.pl,Żłobek tuptuś,"ŻŁOBEK ""TUPTUŚ""",Mo-Fr 7:00-17:00,Gmina Maszewo,public,www.maszewo.pl,+48 798 667 575,https://,no
kindergarten,37,przedszkole@calineczka.lublin.pl,Żłobek Calineczka,Żłobek Calineczka,Mo-Fr 6:30-17:00,Fundacja INGENIUM,,BRAK,+48 507 366 062,https://www.calineczka.lublin.pl,no
kindergarten,36,biuro@fairplay-kliny.pl,Żłobek Fair Play Magdalena Jałocha,Żłobek Fair Play Magdalena Jałocha,Mo-Fr 07:00-18:00,Żłobek Fair Play Magdalena Jałocha,,www.przedszkolefairplay.pl,+48 660 311 619,https://przedszkolefairplay.info.pl/placowka/anny-szwed-sniadowskiej-41/,no
kindergarten,32,zlobek@wicko.pl,Gminny żłobek w charbrowie,GMINNY ŻŁOBEK W CHARBROWIE,Mo-Fr 06:30-16:30,Gmina Wicko,public,bip.wicko.pl,+48 726 032 095,https://,no
childcare,30,zlobekwsadzie@gmail.com,Klub Malucha w Sadzie Przybędza,Klub Malucha w Sadzie Przybędza,Mo-Fr 06:00-17:00,"Żłobek w sadzie, przedszkole w górach eliza sapeta",,www.zlobekwsadzie.pl,+48 697 909 134,https://www.zlobekwsadzie.pl,no
kindergarten,21,krainaedu@gmail.com,Edu-Trefliki,Edu-Trefliki,Mo-Fr 06:00-17:00,EDU Kraina Sp. z o.o.,,,+48 503 855 116,https://edutrefliki.pl,yes
kindergarten,46,info@zlobek.pulawy.pl,Żłobek HAPPY KIDS,"Żłobek ""HAPPY KIDS""",Mo-Fr 06:30-17:00,Biuro doradczo-księgowe j&j iga próchniak-czapla,,,+48 889 937 627,https://www.zlobek.pulawy.pl,yes
kindergarten,34,baja777@o2.pl,Niepubliczny Żłobek Gumisiowy Kraj,Niepubliczny Żłobek Gumisiowy Kraj,Mo-Fr 07:00-17:30,Gumisiowy Kraj Barbara Janczak,private,,+48 662 359 789,https://,no
kindergarten,52,rydygiera8@bebabyzlobek.pl,BeBaby żłobek_L.Rydygiera 8 Kraków,BeBaby żłobek_L.Rydygiera 8 Kraków,Mo-Fr 7:00-17:30,Ewa Kruszyńska BeBaby KRW,,www.bebabyzlobek.pl,+48 664 918 283,https://www.bebabyzlobek.pl,yes
kindergarten,21,sekretariatiqedu@gmail.com,EDU ŻŁOBEK - Żłobek Edukacyjny,EDU ŻŁOBEK - Żłobek Edukacyjny,Mo-Fr 07:00-17:00,IQ EDU NON PROFIT Sp z o.o.,,,+48 504 515 858,https://,yes
kindergarten,20,zlobekkrosnice@gmail.com,Żłobek niepubliczny Słoneczko,"Żłobek niepubliczny ""Słoneczko""",Mo-Fr 7:00-16:30,Agnieszka Kruk,private,www.zlobekkrosnice.pl,+48 697 353 228,https://www.zlobekkrosnice.pl,yes
kindergarten,35,paulina.pietrasz@wp.pl,Wesoła Chatka Małolatka 2,"""Wesoła Chatka Małolatka 2""",Mo-Fr 6:00-17:30,"Wesoła Chatka Małolatka 2 Spółka Jawna Paulina Pietrasz-Szargott, Damian Wawrzyniak Spółka Jawna",private,,+48 662 020 822,https://,no
kindergarten,25,zlobekakuku.garwo@gmail.com,Żłobek AkuKu II,Żłobek AkuKu II,Mo-Fr 07:00-17:00,Monika Widelska,,akukugarwolin.pl,+48 666 962 030,https://akukugarwolin.pl,no
kindergarten,62,rawicz@happy-house.com.pl,Happy house rawicz,HAPPY HOUSE RAWICZ,Mo-Fr 06:30-17:00,Happy House Spółka z o.o.,,www.happy-house.com.pl,+48 575 585 225,https://www.rawicz.happy-house.com.pl,no
kindergarten,15,zlobek@miejscepiastowe.pl,Gminny żłobek im. władysławy markiewiczówny w głowience,GMINNY ŻŁOBEK IM. WŁADYSŁAWY MARKIEWICZÓWNY W GŁOWIENCE,Mo-Fr 7:00-17:00,Gmina Miejsce Piastowe,public,www.miejscepiastowe.pl,+48 133 073 560,https://,yes
childcare,14,maluch@gminawinnica.pl,Gminny Klub Dziecięcy przy Zespole Placówek Oświatowych w Winnicy,Gminny Klub Dziecięcy przy Zespole Placówek Oświatowych w Winnicy,Mo-Fr 7:30-15:30,Gmina Winnica,public,www.gminawinnica.pl,+48 236 914 082,https://,no
childcare,30,domino.przedszkole@gmail.com,Kubusiowa Dolina,Kubusiowa Dolina,Mo-Fr 06:30-17:30,Domino Joanna Rowińska,,domino-przedszkole.pl,+48 505 244 052,https://,yes
kindergarten,8,akademiamontessori.leszno@gmail.com,AKADEMIA MONTESSORI Żłobek Dwujęzyczny,AKADEMIA MONTESSORI Żłobek Dwujęzyczny,Mo-Fr 7:30-16:30,Centrum Edukacji AKADEMIA MONTESSORI Barbara Mitelska,,,+48 603 212 105,https://montessorileszno.pl,no
kindergarten,34,biuro@zaczarowanakraina.com,Akademia Malucha Zaczarowana Kraina,"Akademia Malucha ""Zaczarowana Kraina""",Mo-Fr 7:00-17:00,Katarzyna Juranek,,,+48 602 741 180,https://www.zaczarowanakraina.com,yes
kindergarten,15,pnpirazdwatrzymy@wp.pl,"Niepubliczny Żłobek Raz, Dwa, Trzy - My! Żaneta Jaszczyk, Joanna Suchodolska s.c.","Niepubliczny Żłobek Raz, Dwa, Trzy - My! Żaneta Jaszczyk, Joanna Suchodolska s.c.",Mo-Fr 6:45-16:45,"Niepubliczny Żłobek Raz, Dwa, Trzy - My! Żaneta Jaszczyk, Joanna Suchodolska s.c",private,,+48 607 675 086,https://,no
kindergarten,20,SMERFOLANDIA@SMERFOLANDIA.PL,Żłobek smerfuś,ŻŁOBEK SMERFUŚ,Mo-Fr 6:30-18:00,Wiktoria wisławska żłobek smerfuś,,,+48 502 156 188,https://,no
kindergarten,35,biuromalinowydomek@gmail.com,Żłobek Niepubliczny Malinowy Domek,"Żłobek Niepubliczny ""Malinowy Domek""",Mo-Fr 7:00-17:30,Jakub wróblewski,private,lesneludki.edu.pl,+48 510 631 021,https://malinowydomek.edu.pl,yes
childcare,30,klubnr1pinczow@gmail.com,Klub Dziecięcy Nr 1 w Pińczowie,Klub Dziecięcy Nr 1 w Pińczowie,Mo-Fr 06:00-16:00,Gmina Pińczów,public,www.pinczow.com.pl,+48 413 902 990,https://,yes
kindergarten,34,karinasobczyk@onet.eu,Żłobek Niepubliczny Happy Days,"Żłobek Niepubliczny ""Happy Days""",Mo-Fr 06:30-17:00,Przedszkole niepubliczne happy days karina sobczyk-dzięgiel,private,,+48 502 357 602,https://,yes
kindergarten,25,iskierka@internetdsl.pl,grupa żłobkowa przy 'Iskierka Przedszkole Niepubliczne,"grupa żłobkowa przy 'Iskierka"" Przedszkole Niepubliczne",Mo-Fr 6:00-17:00,",,iskierka przedszkole niepubliczne, budownictwo, architektura, nieruchomości ewa godłowska-fornalczyk",private,iskierka.rumia.pl,+48 586 719 334,https://iskierka.rumia.pl,no
kindergarten,20,kontakt@zlobek-guziczek.pl,Niepubliczny Żłobek Guziczek,"Niepubliczny Żłobek ""Guziczek""",Mo-Fr 06:30-16:30,PG Piotr Guzik,private,,+48 662 828 983,https://www.zlobek-krosno.pl,no
childcare,12,klubdziececy@gmail.com,Gminny Klub Dziecięcy Tygrysek,"Gminny Klub Dziecięcy ""Tygrysek""",Mo-Fr 07:00-16:00,Gmina Popów,public,www.gminapopow.pl,+48 518 025 167,https://,no
childcare,17,krasnale.podkarpacie@wp.pl,Zespół Klubów Dziecięcych Klub Dziecięcy Żłobkowe Krasnale II,Zespół Klubów Dziecięcych Klub Dziecięcy Żłobkowe Krasnale II,Mo-Fr 6:00-17:00,Maciej Strózik,private,www.ekrasnale.pl,+48 533 155 622,https://www.ekrasnale.pl,yes
kindergarten,46,wesolymaluch@wp.pl,Żłobek guziczek,ŻŁOBEK GUZICZEK,Mo-Fr 07:00-17:00,Sylwia Krzewina,,,+48 502 047 158,https://,no
kindergarten,23,kasprowicza@jonatan.pl,Niepubliczny żłobek jonatan nr 2,NIEPUBLICZNY ŻŁOBEK JONATAN NR 2,Mo-Fr 7:00-17:00,"Placówka Oświatowa JONATAN s.c. Agnieszka Michalak, Jakub  Michalak",private,www.jonatan.edu.pl,+48 600 421 537,https://www.jonatan.pl,yes
kindergarten,62,przedszkolerozoweokulary@gmail.com,Niepubliczny Żłobek Różowe Okulary,"Niepubliczny Żłobek ""Różowe Okulary""",Mo-Fr 07:00-19:00,Piotr Stefan Ammol,private,,+48 573 085 921,https://,yes
kindergarten,30,zlobek@akademia-malych-artystow.pl,Żłobek Akademia Małych Artystów,Żłobek Akademia Małych Artystów,Mo-Fr 07:00-17:00,Regina Steczek Akademia Małych Artystów,,,+48 788 131 940,https://akademia-malych-artystow.pl,no
childcare,25,dosiak1@wp.pl,Klub Dziecięcy Wesołe Nutki w Świdniku,Klub Dziecięcy Wesołe Nutki w Świdniku,Mo-Fr 7:30-15:30,Dariusz Osiak Biuro Przygotowywania Projektów i Zarządzania Funduszami UE,private,www.biuroprojektow.pulawy.pl,+48 608 344 020,https://www.biuroprojektow.pulawy.pl,yes
kindergarten,19,iskierka.maszewo@interia.pl,Niepubliczny Żłobek Iskierka,"Niepubliczny Żłobek ""Iskierka""",Mo-Fr 6:30-16:30,Niepubliczne Przedszkole Iskierka Iwona Łakatosz,private,www.iskierkamaszewo.pl,+48 500 749 581,https://www.iskierkamaszewo.pl,yes
kindergarten,40,niedzialkowskiego2@zlobek.zabrze.pl,Filia Żłobka Miejskiego Niedziałkowskiego 2,Filia Żłobka Miejskiego Niedziałkowskiego 2,Mo-Fr 06:00-16:00,Miasto Zabrze,public,,+48 793 818 325,https://www.zlobek-zabrze.pl,no
kindergarten,15,izadominikcichocka@wp.pl,Żłobek Kochane niuniusie Bis Izabela Dominik - Cichocka,"Żłobek ""Kochane niuniusie Bis"" Izabela Dominik - Cichocka",Mo-Fr 6:30-17:00,Izabela Dominik - Cichocka,,,+48 790 333 945,https://,yes
kindergarten,36,biuro@przedszkole-koliberek.pl,Żłobek Niepubliczny Koliberek,"Żłobek Niepubliczny ""Koliberek""",Mo-Fr 07:00-17:00,Klub Malucha Koliberek - Barbara Guzek,private,www.przedszkole-koliberek.pl,+48 600 294 206,https://www.przedszkole-koliberek.pl,yes
